stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,9800,7:04:00,7:04:00,E TOWNE: VIA E SPRINGS,0.0116
2,9783,7:04:17,7:04:17,E TOWNE: VIA E SPRINGS,0.095
3,9391,7:04:54,7:04:54,E TOWNE,0.2734
4,9351,7:05:29,7:05:29,E TOWNE,0.4412
5,9140,7:06:23,7:06:23,E TOWNE,0.6969
6,9310,7:07:01,7:07:01,E TOWNE,0.8778
7,9620,7:08:00,7:08:00,E TOWNE,1.1398
8,9863,7:09:43,7:09:43,E TOWNE,1.4452
9,9917,7:11:02,7:11:02,E TOWNE,1.6801
10,9928,7:11:42,7:11:42,E TOWNE,1.8
11,9422,7:12:32,7:12:32,E TOWNE,1.9499
12,9800,7:14:00,7:14:00,DROP OFFS ONLY,2.1994
