stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4360,5:41:00,5:41:00,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,0.0068
2,4466,5:42:13,5:42:13,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,0.4569
3,4914,5:42:44,5:42:44,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,0.653
4,4945,5:43:37,5:43:37,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,0.9845
5,4837,5:44:04,5:44:04,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,1.1503
6,4613,5:44:38,5:44:38,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,1.3597
7,4953,5:45:15,5:45:15,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,1.5877
8,4752,5:45:33,5:45:33,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,1.7041
9,4188,5:46:05,5:46:05,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,1.9026
10,4182,5:47:00,5:47:00,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,2.2171
11,4788,5:47:34,5:47:34,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,2.373
12,4699,5:48:11,5:48:11,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,2.5411
13,4707,5:48:29,5:48:29,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,2.6252
14,4941,5:49:04,5:49:04,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,2.7823
15,4637,5:49:57,5:49:57,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,3.0239999999999996
16,4523,5:50:43,5:50:43,SOUTH TRANSFER,3.2312
17,4175,5:51:20,5:51:20,SOUTH TRANSFER,3.4013
18,4443,5:52:09,5:52:09,SOUTH TRANSFER,3.6218
19,4845,5:53:38,5:53:38,SOUTH TRANSFER,4.0212
20,353,5:54:14,5:54:14,SOUTH TRANSFER,4.1865
21,121,5:54:39,5:54:39,SOUTH TRANSFER,4.2996
22,173,5:55:14,5:55:14,SOUTH TRANSFER,4.4593
23,4100,5:56:00,5:56:00,DROP OFFS ONLY,4.6389
