stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,6:00:00,6:00:00,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,0.0096
2,590,6:00:46,6:00:46,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,0.2599
3,782,6:01:25,6:01:25,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,0.47
4,816,6:01:49,6:01:49,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,0.5995
5,4192,6:02:12,6:02:12,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,0.7242
6,4516,6:03:13,6:03:13,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,1.0513
7,4108,6:04:03,6:04:03,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,1.3231
8,4144,6:05:03,6:05:03,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,1.6431
9,4324,6:05:21,6:05:21,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,1.7399
10,4818,6:06:00,6:06:00,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,1.9283
11,4572,6:06:39,6:06:39,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,2.0876
12,4216,6:07:32,6:07:32,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,2.3054
13,4837,6:08:13,6:08:13,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,2.4731
14,4613,6:09:04,6:09:04,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,2.6825
15,4325,6:10:00,6:10:00,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,2.9124
16,4739,6:11:09,6:11:09,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,3.1919
17,4373,6:11:52,6:11:52,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,3.3663
18,4955,6:12:30,6:12:30,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,3.5207
19,4131,6:13:00,6:13:00,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,3.6257
20,4415,6:13:48,6:13:48,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,3.803
21,4712,6:14:35,6:14:35,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,3.9791
22,4322,6:15:44,6:15:44,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,4.2334
23,4268,6:16:18,6:16:18,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,4.3589
24,4910,6:17:31,6:17:31,SOUTH TRANSFER: VIA TODD: VIA GREENWAY,4.6302
25,4523,6:18:35,6:18:35,SOUTH TRANSFER,4.8679
26,4175,6:19:21,6:19:21,SOUTH TRANSFER,5.038
27,4443,6:20:20,6:20:20,SOUTH TRANSFER,5.2584
28,4845,6:22:08,6:22:08,SOUTH TRANSFER,5.6579
29,353,6:22:52,6:22:52,SOUTH TRANSFER,5.8232
30,121,6:23:22,6:23:22,SOUTH TRANSFER,5.9363
31,173,6:24:05,6:24:05,SOUTH TRANSFER,6.0961
32,4100,6:25:00,6:25:00,DROP OFFS ONLY,6.2757
