stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,6:15:00,6:15:00,SOUTH TRANSFER: VIA HATCHERY HILL: VIA LACY,0.0074
2,816,6:16:43,6:16:43,SOUTH TRANSFER: VIA HATCHERY HILL: VIA LACY,0.5973
3,4622,6:18:23,6:18:23,SOUTH TRANSFER: VIA HATCHERY HILL: VIA LACY,1.1674
4,4844,6:18:58,6:18:58,SOUTH TRANSFER: VIA HATCHERY HILL: VIA LACY,1.3695
5,4752,6:19:29,6:19:29,SOUTH TRANSFER: VIA HATCHERY HILL: VIA LACY,1.5464
6,4188,6:20:03,6:20:03,SOUTH TRANSFER: VIA HATCHERY HILL: VIA LACY,1.7449
7,4182,6:21:00,6:21:00,SOUTH TRANSFER: VIA HATCHERY HILL: VIA LACY,2.0594
8,4788,6:21:32,6:21:32,SOUTH TRANSFER: VIA HATCHERY HILL: VIA LACY,2.2153
9,4699,6:22:07,6:22:07,SOUTH TRANSFER: VIA HATCHERY HILL: VIA LACY,2.3833
10,4894,6:22:22,6:22:22,SOUTH TRANSFER: VIA LACY,2.4583
11,4682,6:23:17,6:23:17,SOUTH TRANSFER: VIA LACY,2.7222
12,4522,6:25:02,6:25:02,SOUTH TRANSFER: VIA LACY,3.2291
13,4701,6:25:20,6:25:20,SOUTH TRANSFER: VIA LACY,3.3191
14,4999,6:25:57,6:25:57,SOUTH TRANSFER: VIA LACY,3.4994
15,4660,6:26:36,6:26:36,SOUTH TRANSFER: VIA LACY,3.6902
16,4395,6:27:43,6:27:43,SOUTH TRANSFER: VIA LACY,4.0156
17,4936,6:28:23,6:28:23,SOUTH TRANSFER: VIA LACY,4.2105
18,4767,6:29:28,6:29:28,SOUTH TRANSFER: VIA LACY,4.5259
19,4801,6:30:00,6:30:00,SOUTH TRANSFER: VIA LACY,4.6471
20,4887,6:30:42,6:30:42,SOUTH TRANSFER: VIA LACY,4.8809
21,4245,6:31:26,6:31:26,SOUTH TRANSFER: VIA LACY,5.1259
22,4971,6:32:03,6:32:03,SOUTH TRANSFER: VIA LACY,5.3325
23,4193,6:34:13,6:34:13,SOUTH TRANSFER: VIA LACY,6.053
24,4137,6:34:50,6:34:50,SOUTH TRANSFER: VIA LACY,6.26
25,4343,6:35:30,6:35:30,SOUTH TRANSFER: VIA LACY,6.482
26,4253,6:36:18,6:36:18,SOUTH TRANSFER: VIA LACY,6.7525
27,4435,6:37:00,6:37:00,SOUTH TRANSFER: VIA LACY,6.9689
28,4100,6:43:00,6:43:00,DROP OFFS ONLY,9.64
