stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,8512,5:37:00,5:37:00,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,0.0343
2,8712,5:37:24,5:37:24,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,0.166
3,8352,5:37:50,5:37:50,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,0.3077
4,8100,5:38:49,5:38:49,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,0.6222
5,8872,5:39:34,5:39:34,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,0.8633
6,8281,5:40:06,5:40:06,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,1.0342
7,8569,5:40:50,5:40:50,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,1.2718
8,8166,5:41:41,5:41:41,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,1.5461
9,8188,5:42:05,5:42:05,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,1.6762
10,8301,5:42:52,5:42:52,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,1.9304
11,8769,5:43:25,5:43:25,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,2.1069
12,8131,5:43:56,5:43:56,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,2.275
13,8733,5:44:37,5:44:37,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,2.4939
14,8409,5:45:09,5:45:09,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,2.6654
15,8650,5:46:00,5:46:00,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,2.9096
16,8693,5:47:18,5:47:18,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,3.1783
17,8537,5:47:57,5:47:57,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,3.3138
18,8213,5:48:34,5:48:34,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,3.4418
19,8237,5:49:10,5:49:10,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,3.5667
20,8427,5:50:09,5:50:09,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,3.7712
21,8235,5:51:24,5:51:24,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,4.029
22,8241,5:52:18,5:52:18,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,4.2173
23,2383,5:53:49,5:53:49,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,4.5332
24,2665,5:54:25,5:54:25,WEST TRANSFER: VIA RAYMOND: VIA SCHROEDER,4.6569
25,6100,5:56:00,5:56:00,DROP OFFS ONLY,4.9703
