stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,6:00:00,6:00:00,ORCHARD POINT,0.0097
2,2522,6:01:17,6:01:17,ORCHARD POINT,0.3808
3,8428,6:06:00,6:06:00,ORCHARD POINT,1.7325
4,4654,6:06:50,6:06:50,ORCHARD POINT,1.9945
5,4972,6:07:38,6:07:38,ORCHARD POINT,2.2454
6,4258,6:08:21,6:08:21,ORCHARD POINT,2.4721
7,4151,6:09:08,6:09:08,ORCHARD POINT,2.7186
8,4836,6:10:00,6:10:00,ORCHARD POINT,2.9692
9,4984,6:10:12,6:10:12,ORCHARD POINT,3.0817
10,4485,6:10:59,6:10:59,ORCHARD POINT,3.5262
11,4822,6:11:14,6:11:14,ORCHARD POINT,3.6704
12,4138,6:11:37,6:11:37,ORCHARD POINT,3.8871
13,4201,6:12:00,6:12:00,DROP OFFS ONLY,4.0848
