stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,6:30:00,6:30:00,EPIC CAMPUS: VIA MIDTOWN,0.0097
2,2522,6:31:03,6:31:03,EPIC CAMPUS: VIA MIDTOWN,0.3808
3,6938,6:36:51,6:36:51,EPIC CAMPUS: VIA MIDTOWN,2.4231
4,6720,6:37:54,6:37:54,EPIC CAMPUS: VIA MIDTOWN,2.7962
5,8690,6:39:00,6:39:00,EPIC CAMPUS: VIA MIDTOWN,3.1767
6,8246,6:41:11,6:41:11,EPIC CAMPUS: VIA MIDTOWN,4.1208
7,8728,6:41:51,6:41:51,EPIC CAMPUS: VIA MIDTOWN,4.4101
8,8174,6:42:20,6:42:20,EPIC CAMPUS: VIA MIDTOWN,4.6205
9,8866,6:42:53,6:42:53,EPIC CAMPUS: VIA MIDTOWN,4.8607
10,8662,6:43:40,6:43:40,EPIC CAMPUS: VIA MIDTOWN,5.202000000000001
11,8386,6:45:01,6:45:01,EPIC CAMPUS: VIA MIDTOWN,5.7893
12,8268,6:46:00,6:46:00,EPIC CAMPUS: VIA MIDTOWN,6.1926
13,4401,6:55:00,6:55:00,DROP OFFS ONLY,9.0315
