stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,6:00:00,6:00:00,WEST TRANSFER: VIA W TOWNE,0.0097
2,2925,6:01:10,6:01:10,WEST TRANSFER: VIA W TOWNE,0.3175
3,2160,6:02:30,6:02:30,WEST TRANSFER: VIA W TOWNE,0.6697
4,6820,6:03:41,6:03:41,WEST TRANSFER: VIA W TOWNE,0.9817
5,6724,6:05:13,6:05:13,WEST TRANSFER: VIA W TOWNE,1.3875
6,6516,6:06:16,6:06:16,WEST TRANSFER: VIA W TOWNE,1.6634
7,6330,6:07:15,6:07:15,WEST TRANSFER: VIA W TOWNE,1.9237
8,6332,6:07:52,6:07:52,WEST TRANSFER: VIA W TOWNE,2.0865
9,6418,6:08:21,6:08:21,WEST TRANSFER: VIA W TOWNE,2.2139
10,6426,6:09:16,6:09:16,WEST TRANSFER: VIA W TOWNE,2.4588
11,6984,6:10:12,6:10:12,WEST TRANSFER: VIA W TOWNE,2.7074
12,6926,6:10:48,6:10:48,WEST TRANSFER: VIA W TOWNE,2.8652
13,6631,6:11:19,6:11:19,WEST TRANSFER: VIA W TOWNE,3.0045
14,6281,6:11:52,6:11:52,WEST TRANSFER: VIA W TOWNE,3.1503
15,6533,6:12:27,6:12:27,WEST TRANSFER: VIA W TOWNE,3.3064
16,6787,6:13:04,6:13:04,WEST TRANSFER: VIA W TOWNE,3.4697
17,6350,6:15:00,6:15:00,WEST TRANSFER: VIA W TOWNE,3.9488
18,6159,6:15:31,6:15:31,WEST TRANSFER,4.0824
19,6883,6:16:38,6:16:38,WEST TRANSFER,4.3677
20,6903,6:17:44,6:17:44,WEST TRANSFER,4.6473
21,6129,6:18:44,6:18:44,WEST TRANSFER,4.9034
22,6941,6:19:35,6:19:35,WEST TRANSFER,5.1196
23,2793,6:21:25,6:21:25,WEST TRANSFER,5.5856
24,2670,6:22:38,6:22:38,WEST TRANSFER,5.8941
25,2984,6:23:56,6:23:56,WEST TRANSFER,6.2251
26,6100,6:25:00,6:25:00,DROP OFFS ONLY,6.4822
