stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,5:35:00,5:35:00,E TOWNE: VIA MINERAL POINT: VIA MADISON COLLEGE & HAYES,0.0097
2,2115,5:35:48,5:35:48,E TOWNE: VIA MINERAL POINT: VIA MADISON COLLEGE & HAYES,0.3179
3,2625,5:36:13,5:36:13,E TOWNE: VIA MINERAL POINT: VIA MADISON COLLEGE & HAYES,0.4806
4,2169,5:36:45,5:36:45,E TOWNE: VIA MINERAL POINT: VIA MADISON COLLEGE & HAYES,0.6828
5,2701,5:37:11,5:37:11,E TOWNE: VIA MINERAL POINT: VIA MADISON COLLEGE & HAYES,0.8509
6,2829,5:38:02,5:38:02,E TOWNE: VIA MINERAL POINT: VIA MADISON COLLEGE & HAYES,1.1749
7,2519,5:38:32,5:38:32,E TOWNE: VIA MINERAL POINT: VIA MADISON COLLEGE & HAYES,1.3681
8,2647,5:39:05,5:39:05,E TOWNE: VIA MINERAL POINT: VIA MADISON COLLEGE & HAYES,1.5819
9,2975,5:39:26,5:39:26,E TOWNE: VIA MINERAL POINT: VIA MADISON COLLEGE & HAYES,1.7205
10,2263,5:40:00,5:40:00,E TOWNE: VIA MINERAL POINT: VIA MADISON COLLEGE & HAYES,1.9051
11,2133,5:40:35,5:40:35,E TOWNE: VIA MINERAL POINT: VIA MADISON COLLEGE & HAYES,2.0854
12,2325,5:41:06,5:41:06,E TOWNE: VIA MINERAL POINT: VIA MADISON COLLEGE & HAYES,2.2438
13,2737,5:41:29,5:41:29,E TOWNE: VIA MADISON COLLEGE & HAYES,2.3644
14,2659,5:42:04,5:42:04,E TOWNE: VIA MADISON COLLEGE & HAYES,2.5417
15,2231,5:42:30,5:42:30,E TOWNE: VIA MADISON COLLEGE & HAYES,2.6758
16,2137,5:43:04,5:43:04,E TOWNE: VIA MADISON COLLEGE & HAYES,2.8515
17,2377,5:44:25,5:44:25,E TOWNE: VIA MADISON COLLEGE & HAYES,3.2648
18,2773,5:44:42,5:44:42,E TOWNE: VIA MADISON COLLEGE & HAYES,3.3517
19,2899,5:45:08,5:45:08,E TOWNE: VIA MADISON COLLEGE & HAYES,3.486
20,2949,5:45:33,5:45:33,E TOWNE: VIA MADISON COLLEGE & HAYES,3.6127
21,2691,5:46:17,5:46:17,E TOWNE: VIA MADISON COLLEGE & HAYES,3.8384
22,533,5:46:45,5:46:45,E TOWNE: VIA MADISON COLLEGE & HAYES,3.9844
23,971,5:47:27,5:47:27,E TOWNE: VIA MADISON COLLEGE & HAYES,4.2007
24,585,5:47:49,5:47:49,E TOWNE: VIA MADISON COLLEGE & HAYES,4.3126
25,327,5:48:21,5:48:21,E TOWNE: VIA MADISON COLLEGE & HAYES,4.4773
26,115,5:49:00,5:49:00,E TOWNE: VIA MADISON COLLEGE & HAYES,4.6408
27,483,5:49:46,5:49:46,E TOWNE: VIA MADISON COLLEGE & HAYES,4.7296
28,561,5:50:42,5:50:42,E TOWNE: VIA MADISON COLLEGE & HAYES,4.8384
29,455,5:51:42,5:51:42,E TOWNE: VIA MADISON COLLEGE & HAYES,4.9549
30,765,5:53:28,5:53:28,E TOWNE: VIA MADISON COLLEGE & HAYES,5.1594
31,265,5:54:46,5:54:46,E TOWNE: VIA MADISON COLLEGE & HAYES,5.3099
32,505,5:56:09,5:56:09,E TOWNE: VIA MADISON COLLEGE & HAYES,5.4702
33,549,5:56:52,5:56:52,E TOWNE: VIA MADISON COLLEGE & HAYES,5.5542
34,803,5:57:37,5:57:37,E TOWNE: VIA MADISON COLLEGE & HAYES,5.6412
35,883,5:58:32,5:58:32,E TOWNE: VIA MADISON COLLEGE & HAYES,5.7474
36,1324,5:59:32,5:59:32,E TOWNE: VIA MADISON COLLEGE & HAYES,5.8629999999999995
37,1101,6:01:00,6:01:00,E TOWNE: VIA MADISON COLLEGE & HAYES,6.018
38,1787,6:01:47,6:01:47,E TOWNE: VIA MADISON COLLEGE & HAYES,6.1719
39,1323,6:02:33,6:02:33,E TOWNE: VIA MADISON COLLEGE & HAYES,6.3205
40,1579,6:03:33,6:03:33,E TOWNE: VIA MADISON COLLEGE & HAYES,6.5156
41,1927,6:04:50,6:04:50,E TOWNE: VIA MADISON COLLEGE & HAYES,6.7661
42,1565,6:05:38,6:05:38,E TOWNE: VIA MADISON COLLEGE & HAYES,6.9207
43,1199,6:07:00,6:07:00,E TOWNE: VIA MADISON COLLEGE & HAYES,7.1747
44,1883,6:07:49,6:07:49,E TOWNE: VIA MADISON COLLEGE & HAYES,7.4208
45,1513,6:08:37,6:08:37,E TOWNE: VIA MADISON COLLEGE & HAYES,7.6585
46,1241,6:09:22,6:09:22,E TOWNE: VIA MADISON COLLEGE & HAYES,7.8813
47,1107,6:09:55,6:09:55,E TOWNE: VIA MADISON COLLEGE & HAYES,8.0439
48,1141,6:10:38,6:10:38,E TOWNE: VIA MADISON COLLEGE & HAYES,8.2557
49,1233,6:11:28,6:11:28,E TOWNE: VIA MADISON COLLEGE & HAYES,8.5035
50,1311,6:12:05,6:12:05,E TOWNE: VIA MADISON COLLEGE & HAYES,8.6883
51,1269,6:13:00,6:13:00,E TOWNE: VIA MADISON COLLEGE & HAYES,8.9464
52,1481,6:14:03,6:14:03,E TOWNE: VIA MADISON COLLEGE & HAYES,9.1315
53,1757,6:15:03,6:15:03,E TOWNE: VIA MADISON COLLEGE & HAYES,9.3057
54,9339,6:16:42,6:16:42,E TOWNE: VIA MADISON COLLEGE & HAYES,9.5937
55,9135,6:17:42,6:17:42,E TOWNE: VIA MADISON COLLEGE & HAYES,9.77
56,9405,6:19:07,6:19:07,E TOWNE: VIA MADISON COLLEGE & HAYES,10.0191
57,9171,6:20:27,6:20:27,E TOWNE: VIA MADISON COLLEGE & HAYES,10.2531
58,9101,6:22:00,6:22:00,E TOWNE: VIA MADISON COLLEGE & HAYES,10.5117
59,9725,6:23:07,6:23:07,E TOWNE: VIA MADISON COLLEGE & HAYES,10.8549
60,9787,6:23:31,6:23:31,E TOWNE: VIA MADISON COLLEGE & HAYES,10.9817
61,9797,6:24:10,6:24:10,E TOWNE: VIA MADISON COLLEGE & HAYES,11.1811
62,9182,6:24:58,6:24:58,E TOWNE: VIA MADISON COLLEGE & HAYES,11.4271
63,9306,6:25:19,6:25:19,E TOWNE: VIA MADISON COLLEGE & HAYES,11.5346
64,9551,6:26:46,6:26:46,E TOWNE: VIA HAYES,11.9834
65,9573,6:27:16,6:27:16,E TOWNE: VIA HAYES,12.1387
66,9491,6:28:04,6:28:04,E TOWNE: VIA HAYES,12.3862
67,9587,6:28:50,6:28:50,E TOWNE: VIA HAYES,12.6244
68,9975,6:29:50,6:29:50,E TOWNE: VIA HAYES,12.9317
69,9207,6:30:29,6:30:29,E TOWNE: VIA HAYES,13.1339
70,9116,6:31:00,6:31:00,E TOWNE: VIA HAYES,13.2688
71,9670,6:31:20,6:31:20,E TOWNE: VIA HAYES,13.3988
72,9146,6:31:40,6:31:40,E TOWNE: VIA HAYES,13.5279
73,9143,6:32:20,6:32:20,E TOWNE: VIA HAYES,13.7864
74,9723,6:32:34,6:32:34,E TOWNE: VIA HAYES,13.8809
75,9939,6:33:13,6:33:13,E TOWNE: VIA HAYES,14.1287
76,9715,6:33:51,6:33:51,E TOWNE: VIA HAYES,14.370999999999999
77,9633,6:34:29,6:34:29,E TOWNE: VIA HAYES,14.6161
78,9549,6:34:50,6:34:50,E TOWNE: VIA HAYES,14.7512
79,9153,6:35:21,6:35:21,E TOWNE: VIA HAYES,14.948
80,9842,6:36:00,6:36:00,E TOWNE: VIA HAYES,15.1954
81,9480,6:36:34,6:36:34,E TOWNE: VIA HAYES,15.4147
82,9144,6:37:00,6:37:00,E TOWNE: VIA HAYES,15.5526
83,9198,6:37:29,6:37:29,E TOWNE: VIA HAYES,15.6637
84,9252,6:38:13,6:38:13,E TOWNE: VIA HAYES,15.8314
85,9520,6:39:06,6:39:06,E TOWNE: VIA HAYES,16.0355
86,9226,6:40:53,6:40:53,E TOWNE: VIA HAYES,16.4442
87,9800,6:42:00,6:42:00,DROP OFFS ONLY,16.6946
