stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,23:00:00,23:00:00,TO INGERSOLL: VIA TOKAY,0.0097
2,2939,23:01:02,23:01:02,TO INGERSOLL: VIA TOKAY,0.2648
3,2323,23:01:57,23:01:57,TO INGERSOLL: VIA TOKAY,0.4904
4,2417,23:02:24,23:02:24,TO INGERSOLL: VIA TOKAY,0.6047
5,2161,23:03:25,23:03:25,TO INGERSOLL: VIA TOKAY,0.8551
6,2615,23:04:10,23:04:10,TO INGERSOLL: VIA TOKAY,1.0422
7,2111,23:05:05,23:05:05,TO INGERSOLL: VIA TOKAY,1.2672
8,2233,23:05:43,23:05:43,TO INGERSOLL: VIA TOKAY,1.4239
9,2431,23:06:19,23:06:19,TO INGERSOLL: VIA TOKAY,1.5743
10,2889,23:07:00,23:07:00,TO INGERSOLL: VIA TOKAY,1.7252
11,2387,23:07:27,23:07:27,TO INGERSOLL: VIA TOKAY,1.8818
12,2437,23:07:56,23:07:56,TO INGERSOLL: VIA TOKAY,2.0533
13,2737,23:08:25,23:08:25,TO INGERSOLL,2.2254
14,2659,23:08:55,23:08:55,TO INGERSOLL,2.4028
15,2231,23:09:18,23:09:18,TO INGERSOLL,2.5368
16,2137,23:09:48,23:09:48,TO INGERSOLL,2.7126
17,2377,23:10:59,23:10:59,TO INGERSOLL,3.1258
18,2773,23:11:14,23:11:14,TO INGERSOLL,3.2127
19,2899,23:11:37,23:11:37,TO INGERSOLL,3.347
20,2949,23:11:58,23:11:58,TO INGERSOLL,3.4738
21,2691,23:12:37,23:12:37,TO INGERSOLL,3.6994
22,533,23:13:02,23:13:02,TO INGERSOLL,3.8455
23,971,23:13:39,23:13:39,TO INGERSOLL,4.0618
24,585,23:13:58,23:13:58,TO INGERSOLL,4.1736
25,327,23:14:26,23:14:26,TO INGERSOLL,4.3383
26,115,23:15:00,23:15:00,TO INGERSOLL,4.5018
27,483,23:15:38,23:15:38,TO INGERSOLL,4.5906
28,561,23:16:25,23:16:25,TO INGERSOLL,4.6995
29,455,23:17:15,23:17:15,TO INGERSOLL,4.8159
30,765,23:18:44,23:18:44,TO INGERSOLL,5.0204
31,265,23:19:49,23:19:49,TO INGERSOLL,5.1709
32,505,23:20:58,23:20:58,TO INGERSOLL,5.3313
33,549,23:21:34,23:21:34,TO INGERSOLL,5.4152
34,803,23:22:11,23:22:11,TO INGERSOLL,5.5022
35,883,23:22:57,23:22:57,TO INGERSOLL,5.6085
36,1324,23:23:47,23:23:47,TO INGERSOLL,5.7241
37,1101,23:25:00,23:25:00,TO INGERSOLL,5.879
38,1787,23:25:38,23:25:38,TO INGERSOLL,6.0329999999999995
39,1323,23:26:15,23:26:15,TO INGERSOLL,6.1815
40,1579,23:27:04,23:27:04,TO INGERSOLL,6.3766
41,1927,23:28:07,23:28:07,TO INGERSOLL,6.6271
42,1565,23:28:45,23:28:45,TO INGERSOLL,6.7818
43,1700,23:30:00,23:30:00,DROP OFFS ONLY,7.0705
