stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,9800,5:33:00,5:33:00,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,0.0116
2,9759,5:33:52,5:33:52,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,0.2727
3,9810,5:34:16,5:34:16,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,0.3969
4,9152,5:35:20,5:35:20,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,0.7168
5,9984,5:35:59,5:35:59,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,0.9154
6,9554,5:36:48,5:36:48,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,1.1621
7,9874,5:37:12,5:37:12,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,1.2867
8,9237,5:38:26,5:38:26,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,1.6592
9,9175,5:38:49,5:38:49,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,1.7756
10,9373,5:39:37,5:39:37,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,2.0153
11,9918,5:40:07,5:40:07,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,2.1681
12,9364,5:40:56,5:40:56,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,2.4143
13,9100,5:42:00,5:42:00,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,2.7039999999999997
14,9642,5:43:03,5:43:03,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,2.9869
15,9378,5:43:56,5:43:56,WEST TRANSFER: VIA MADISON COLLEGE: VIA TOKAY,3.2255
16,9322,5:44:12,5:44:12,WEST TRANSFER: VIA TOKAY,3.2974
17,9172,5:45:01,5:45:01,WEST TRANSFER: VIA TOKAY,3.5189
18,9552,5:45:29,5:45:29,WEST TRANSFER: VIA TOKAY,3.6445
19,1164,5:46:32,5:46:32,WEST TRANSFER: VIA TOKAY,3.9311
20,1938,5:47:10,5:47:10,WEST TRANSFER: VIA TOKAY,4.1041
21,1280,5:48:00,5:48:00,WEST TRANSFER: VIA TOKAY,4.3166
22,1112,5:48:52,5:48:52,WEST TRANSFER: VIA TOKAY,4.5774
23,1846,5:49:29,5:49:29,WEST TRANSFER: VIA TOKAY,4.7613
24,1488,5:50:05,5:50:05,WEST TRANSFER: VIA TOKAY,4.9419
25,1382,5:50:55,5:50:55,WEST TRANSFER: VIA TOKAY,5.1902
26,1350,5:51:32,5:51:32,WEST TRANSFER: VIA TOKAY,5.3744
27,1412,5:52:08,5:52:08,WEST TRANSFER: VIA TOKAY,5.5568
28,1730,5:53:05,5:53:05,WEST TRANSFER: VIA TOKAY,5.8416
29,1650,5:54:00,5:54:00,WEST TRANSFER: VIA TOKAY,6.0951
