stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6667,12:31:00,12:31:00,CAPITOL SQUARE: VIA DISCOVERY,0.0313
2,6983,12:31:51,12:31:51,CAPITOL SQUARE: VIA DISCOVERY,0.3054
3,6261,12:32:13,12:32:13,CAPITOL SQUARE: VIA DISCOVERY,0.4234
4,6231,12:32:58,12:32:58,CAPITOL SQUARE: VIA DISCOVERY,0.6614
5,6111,12:33:31,12:33:31,CAPITOL SQUARE: VIA DISCOVERY,0.8389
6,6673,12:34:08,12:34:08,CAPITOL SQUARE: VIA DISCOVERY,1.0387
7,6363,12:35:00,12:35:00,CAPITOL SQUARE: VIA DISCOVERY,1.2975
8,6394,12:35:36,12:35:36,CAPITOL SQUARE: VIA DISCOVERY,1.4744
9,6421,12:36:19,12:36:19,CAPITOL SQUARE: VIA DISCOVERY,1.6839
10,6927,12:37:04,12:37:04,CAPITOL SQUARE: VIA DISCOVERY,1.9033
11,6639,12:37:33,12:37:33,CAPITOL SQUARE: VIA DISCOVERY,2.0469
12,6471,12:38:00,12:38:00,CAPITOL SQUARE: VIA DISCOVERY,2.1818
13,6635,12:38:39,12:38:39,CAPITOL SQUARE: VIA DISCOVERY,2.3731
14,6484,12:39:27,12:39:27,CAPITOL SQUARE,2.6081
15,6372,12:40:17,12:40:17,CAPITOL SQUARE,2.8531
16,6721,12:41:00,12:41:00,CAPITOL SQUARE,3.0392
17,6973,12:42:36,12:42:36,CAPITOL SQUARE,3.4368
18,6663,12:43:10,12:43:10,CAPITOL SQUARE,3.5791
19,6627,12:44:15,12:44:15,CAPITOL SQUARE,3.8476
20,6207,12:45:23,12:45:23,CAPITOL SQUARE,4.1297
21,6489,12:46:41,12:46:41,CAPITOL SQUARE,4.4515
22,6167,12:47:30,12:47:30,CAPITOL SQUARE,4.6565
23,6651,12:48:22,12:48:22,CAPITOL SQUARE,4.8735
24,6653,12:49:27,12:49:27,CAPITOL SQUARE,5.1426
25,6901,12:50:44,12:50:44,CAPITOL SQUARE,5.4618
26,6878,12:52:00,12:52:00,CAPITOL SQUARE,5.7497
27,6110,12:52:34,12:52:34,CAPITOL SQUARE,5.9243
28,6560,12:53:03,12:53:03,CAPITOL SQUARE,6.0753
29,6582,12:54:09,12:54:09,CAPITOL SQUARE,6.4142
30,6120,12:54:56,12:54:56,CAPITOL SQUARE,6.6562
31,6642,12:55:52,12:55:52,CAPITOL SQUARE,6.9454
32,6318,12:56:28,12:56:28,CAPITOL SQUARE,7.1306
33,6106,12:57:26,12:57:26,CAPITOL SQUARE,7.4259
34,6894,12:58:00,12:58:00,CAPITOL SQUARE,7.5804
35,6291,12:59:14,12:59:14,CAPITOL SQUARE,7.9028
36,6326,12:59:57,12:59:57,CAPITOL SQUARE,8.0925
37,2392,13:01:12,13:01:12,CAPITOL SQUARE,8.4201
38,2892,13:02:00,13:02:00,CAPITOL SQUARE,8.6232
39,2404,13:02:37,13:02:37,CAPITOL SQUARE,8.8594
40,2230,13:03:08,13:03:08,CAPITOL SQUARE,9.0557
41,2359,13:03:35,13:03:35,CAPITOL SQUARE,9.2263
42,2923,13:05:03,13:05:03,CAPITOL SQUARE,9.7772
43,2191,13:05:49,13:05:49,CAPITOL SQUARE,10.0668
44,2755,13:06:18,13:06:18,CAPITOL SQUARE,10.2501
45,2595,13:06:40,13:06:40,CAPITOL SQUARE,10.3937
46,2945,13:07:25,13:07:25,CAPITOL SQUARE,10.6792
47,2465,13:08:03,13:08:03,CAPITOL SQUARE,10.9223
48,809,13:11:12,13:11:12,CAPITOL SQUARE,12.1073
49,581,13:12:00,13:12:00,CAPITOL SQUARE,12.3712
50,743,13:12:53,13:12:53,CAPITOL SQUARE,12.4812
51,455,13:14:21,13:14:21,CAPITOL SQUARE,12.6639
52,435,13:15:34,13:15:34,CAPITOL SQUARE,12.8156
53,941,13:16:13,13:16:13,CAPITOL SQUARE,12.8964
54,839,13:18:13,13:18:13,CAPITOL SQUARE,13.1449
55,883,13:19:46,13:19:46,CAPITOL SQUARE,13.3389
56,1324,13:20:41,13:20:41,CAPITOL SQUARE,13.4544
57,1101,13:22:00,13:22:00,DROP OFFS ONLY,13.6094
