stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6441,5:37:00,5:37:00,CAPITOL SQUARE: VIA TERRACE,0.0254
2,6785,5:37:17,5:37:17,CAPITOL SQUARE: VIA TERRACE,0.1047
3,6196,5:37:44,5:37:44,CAPITOL SQUARE: VIA TERRACE,0.2324
4,6325,5:38:43,5:38:43,CAPITOL SQUARE: VIA TERRACE,0.5108
5,6109,5:39:42,5:39:42,CAPITOL SQUARE: VIA TERRACE,0.7852
6,6611,5:40:07,5:40:07,CAPITOL SQUARE: VIA TERRACE,0.9045
7,6543,5:41:27,5:41:27,CAPITOL SQUARE: VIA TERRACE,1.2775
8,6887,5:41:59,5:41:59,CAPITOL SQUARE: VIA TERRACE,1.4299
9,6899,5:42:27,5:42:27,CAPITOL SQUARE: VIA TERRACE,1.5617
10,6891,5:42:56,5:42:56,CAPITOL SQUARE: VIA TERRACE,1.6979
11,6395,5:43:33,5:43:33,CAPITOL SQUARE: VIA TERRACE,1.8732
12,6625,5:44:00,5:44:00,CAPITOL SQUARE: VIA TERRACE,1.9756
13,6177,5:44:30,5:44:30,CAPITOL SQUARE: VIA TERRACE,2.1593
14,6803,5:44:57,5:44:57,CAPITOL SQUARE: VIA TERRACE,2.3257
15,6628,5:45:15,5:45:15,CAPITOL SQUARE: VIA TERRACE,2.4378
16,6526,5:46:09,5:46:09,CAPITOL SQUARE: VIA TERRACE,2.7608
17,6484,5:46:45,5:46:45,CAPITOL SQUARE,2.9761
18,6372,5:47:26,5:47:26,CAPITOL SQUARE,3.221
19,6721,5:48:00,5:48:00,CAPITOL SQUARE,3.4072
20,6973,5:49:36,5:49:36,CAPITOL SQUARE,3.8048
21,6663,5:50:10,5:50:10,CAPITOL SQUARE,3.9471
22,6627,5:51:15,5:51:15,CAPITOL SQUARE,4.2156
23,6207,5:52:23,5:52:23,CAPITOL SQUARE,4.4977
24,6489,5:53:41,5:53:41,CAPITOL SQUARE,4.8195
25,6167,5:54:30,5:54:30,CAPITOL SQUARE,5.0245
26,6651,5:55:22,5:55:22,CAPITOL SQUARE,5.2414
27,6653,5:56:27,5:56:27,CAPITOL SQUARE,5.5106
28,6901,5:57:44,5:57:44,CAPITOL SQUARE,5.8298
29,6878,5:59:00,5:59:00,CAPITOL SQUARE,6.1176
30,6110,5:59:34,5:59:34,CAPITOL SQUARE,6.2922
31,6560,6:00:03,6:00:03,CAPITOL SQUARE,6.4432
32,6582,6:01:09,6:01:09,CAPITOL SQUARE,6.7822
33,6120,6:01:56,6:01:56,CAPITOL SQUARE,7.0242
34,6642,6:02:52,6:02:52,CAPITOL SQUARE,7.3133
35,6318,6:03:28,6:03:28,CAPITOL SQUARE,7.4986
36,6106,6:04:26,6:04:26,CAPITOL SQUARE,7.7939
37,6894,6:05:00,6:05:00,CAPITOL SQUARE,7.9484
38,6291,6:06:14,6:06:14,CAPITOL SQUARE,8.2708
39,6326,6:06:57,6:06:57,CAPITOL SQUARE,8.4605
40,2392,6:08:12,6:08:12,CAPITOL SQUARE,8.788
41,2892,6:09:00,6:09:00,CAPITOL SQUARE,8.9912
42,2404,6:09:34,6:09:34,CAPITOL SQUARE,9.2273
43,2230,6:10:02,6:10:02,CAPITOL SQUARE,9.4236
44,2359,6:10:26,6:10:26,CAPITOL SQUARE,9.5943
45,2923,6:11:45,6:11:45,CAPITOL SQUARE,10.1452
46,2191,6:12:26,6:12:26,CAPITOL SQUARE,10.4347
47,2755,6:12:52,6:12:52,CAPITOL SQUARE,10.6181
48,2595,6:13:12,6:13:12,CAPITOL SQUARE,10.7616
49,2945,6:13:53,6:13:53,CAPITOL SQUARE,11.0472
50,2465,6:14:28,6:14:28,CAPITOL SQUARE,11.2902
51,809,6:17:18,6:17:18,CAPITOL SQUARE,12.4753
52,581,6:18:00,6:18:00,CAPITOL SQUARE,12.7392
53,743,6:18:47,6:18:47,CAPITOL SQUARE,12.8492
54,455,6:20:06,6:20:06,CAPITOL SQUARE,13.0319
55,435,6:21:12,6:21:12,CAPITOL SQUARE,13.1836
56,941,6:21:47,6:21:47,CAPITOL SQUARE,13.2643
57,839,6:23:35,6:23:35,CAPITOL SQUARE,13.5129
58,883,6:24:59,6:24:59,CAPITOL SQUARE,13.7069
59,1324,6:25:49,6:25:49,CAPITOL SQUARE,13.8224
60,1101,6:27:00,6:27:00,DROP OFFS ONLY,13.9774
