stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,1101,6:33:00,6:33:00,MIDDLETON: VIA DISCOVERY,0.0227
2,1787,6:34:22,6:34:22,MIDDLETON: VIA DISCOVERY,0.1766
3,1100,6:35:43,6:35:43,MIDDLETON: VIA DISCOVERY,0.3287
4,1310,6:36:40,6:36:40,MIDDLETON: VIA DISCOVERY,0.4355
5,1558,6:37:30,6:37:30,MIDDLETON: VIA DISCOVERY,0.5304
6,898,6:38:16,6:38:16,MIDDLETON: VIA DISCOVERY,0.618
7,252,6:39:02,6:39:02,MIDDLETON: VIA DISCOVERY,0.705
8,568,6:41:37,6:41:37,MIDDLETON: VIA DISCOVERY,0.9959
9,670,6:42:25,6:42:25,MIDDLETON: VIA DISCOVERY,1.0867
10,100,6:44:00,6:44:00,MIDDLETON: VIA DISCOVERY,1.2564
11,234,6:44:24,6:44:24,MIDDLETON: VIA DISCOVERY,1.3831
12,178,6:44:54,6:44:54,MIDDLETON: VIA DISCOVERY,1.5423
13,160,6:45:16,6:45:16,MIDDLETON: VIA DISCOVERY,1.6616
14,2698,6:49:23,6:49:23,MIDDLETON: VIA DISCOVERY,2.9537
15,2270,6:50:03,6:50:03,MIDDLETON: VIA DISCOVERY,3.1635
16,2712,6:50:57,6:50:57,MIDDLETON: VIA DISCOVERY,3.4479
17,2266,6:51:25,6:51:25,MIDDLETON: VIA DISCOVERY,3.5951
18,2200,6:52:09,6:52:09,MIDDLETON: VIA DISCOVERY,3.8251
19,2370,6:53:00,6:53:00,MIDDLETON: VIA DISCOVERY,4.0768
20,2790,6:54:20,6:54:20,MIDDLETON: VIA DISCOVERY,4.6622
21,2867,6:54:43,6:54:43,MIDDLETON: VIA DISCOVERY,4.8352
22,2193,6:55:08,6:55:08,MIDDLETON: VIA DISCOVERY,5.0215
23,2197,6:55:34,6:55:34,MIDDLETON: VIA DISCOVERY,5.2133
24,6243,6:56:01,6:56:01,MIDDLETON: VIA DISCOVERY,5.4153
25,6569,6:56:51,6:56:51,MIDDLETON: VIA DISCOVERY,5.7829
26,6439,6:57:20,6:57:20,MIDDLETON: VIA DISCOVERY,5.999
27,6171,6:58:00,6:58:00,MIDDLETON: VIA DISCOVERY,6.2649
28,6301,6:58:30,6:58:30,MIDDLETON: VIA DISCOVERY,6.4419
29,6691,6:59:15,6:59:15,MIDDLETON: VIA DISCOVERY,6.7072
30,6205,6:59:51,6:59:51,MIDDLETON: VIA DISCOVERY,6.9218
31,6651,7:00:29,7:00:29,MIDDLETON: VIA DISCOVERY,7.1504
32,6653,7:01:14,7:01:14,MIDDLETON: VIA DISCOVERY,7.4196
33,6901,7:02:08,7:02:08,MIDDLETON: VIA DISCOVERY,7.7388
34,6878,7:03:00,7:03:00,MIDDLETON: VIA DISCOVERY,8.0266
35,6110,7:03:29,7:03:29,MIDDLETON: VIA DISCOVERY,8.2012
36,6560,7:03:54,7:03:54,MIDDLETON: VIA DISCOVERY,8.3522
37,6582,7:04:51,7:04:51,MIDDLETON: VIA DISCOVERY,8.6912
38,6120,7:05:32,7:05:32,MIDDLETON: VIA DISCOVERY,8.9332
39,6676,7:06:04,7:06:04,MIDDLETON: VIA DISCOVERY,9.1222
40,6628,7:06:53,7:06:53,MIDDLETON: VIA DISCOVERY,9.4152
41,6288,7:07:47,7:07:47,MIDDLETON: VIA DISCOVERY,9.7337
42,6388,7:08:24,7:08:24,MIDDLETON: VIA DISCOVERY,9.9552
43,6684,7:09:20,7:09:20,MIDDLETON: VIA DISCOVERY,10.2879
44,6852,7:09:47,7:09:47,MIDDLETON: VIA DISCOVERY,10.447000000000001
45,6853,7:11:00,7:11:00,MIDDLETON: VIA DISCOVERY,10.8511
46,6157,7:11:25,7:11:25,MIDDLETON: VIA DISCOVERY,11.0306
47,6929,7:11:54,7:11:54,MIDDLETON: VIA DISCOVERY,11.2407
48,6146,7:12:24,7:12:24,MIDDLETON: VIA DISCOVERY,11.4552
49,6856,7:12:53,7:12:53,MIDDLETON: VIA DISCOVERY,11.667
50,6208,7:13:12,7:13:12,MIDDLETON: VIA DISCOVERY,11.8019
51,6458,7:13:28,7:13:28,MIDDLETON: VIA DISCOVERY,11.9156
52,6805,7:14:07,7:14:07,MIDDLETON: VIA DISCOVERY,12.1929
53,6683,7:14:32,7:14:32,MIDDLETON: VIA DISCOVERY,12.3744
54,6798,7:15:00,7:15:00,MIDDLETON: VIA DISCOVERY,12.5497
55,6924,7:16:12,7:16:12,MIDDLETON: VIA DISCOVERY,12.8541
56,6470,7:16:50,7:16:50,MIDDLETON: VIA DISCOVERY,13.0179
57,6656,7:17:39,7:17:39,MIDDLETON: VIA DISCOVERY,13.2265
58,6304,7:18:20,7:18:20,MIDDLETON: VIA DISCOVERY,13.4031
59,6958,7:18:53,7:18:53,MIDDLETON: VIA DISCOVERY,13.5461
60,6476,7:20:00,7:20:00,DROP OFFS ONLY,13.8139
