stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,1101,11:30:00,11:30:00,MIDDLETON: VIA TERRACE,0.0227
2,1787,11:31:22,11:31:22,MIDDLETON: VIA TERRACE,0.1766
3,1100,11:32:43,11:32:43,MIDDLETON: VIA TERRACE,0.3287
4,1310,11:33:40,11:33:40,MIDDLETON: VIA TERRACE,0.4355
5,1558,11:34:30,11:34:30,MIDDLETON: VIA TERRACE,0.5304
6,898,11:35:16,11:35:16,MIDDLETON: VIA TERRACE,0.618
7,252,11:36:02,11:36:02,MIDDLETON: VIA TERRACE,0.705
8,568,11:38:37,11:38:37,MIDDLETON: VIA TERRACE,0.9959
9,670,11:39:25,11:39:25,MIDDLETON: VIA TERRACE,1.0867
10,100,11:41:00,11:41:00,MIDDLETON: VIA TERRACE,1.2564
11,234,11:41:24,11:41:24,MIDDLETON: VIA TERRACE,1.3831
12,178,11:41:54,11:41:54,MIDDLETON: VIA TERRACE,1.5423
13,160,11:42:16,11:42:16,MIDDLETON: VIA TERRACE,1.6616
14,2698,11:46:23,11:46:23,MIDDLETON: VIA TERRACE,2.9537
15,2270,11:47:03,11:47:03,MIDDLETON: VIA TERRACE,3.1635
16,2712,11:47:57,11:47:57,MIDDLETON: VIA TERRACE,3.4479
17,2266,11:48:25,11:48:25,MIDDLETON: VIA TERRACE,3.5951
18,2200,11:49:09,11:49:09,MIDDLETON: VIA TERRACE,3.8251
19,2370,11:50:00,11:50:00,MIDDLETON: VIA TERRACE,4.0768
20,2790,11:51:36,11:51:36,MIDDLETON: VIA TERRACE,4.6622
21,2867,11:52:04,11:52:04,MIDDLETON: VIA TERRACE,4.8352
22,2193,11:52:34,11:52:34,MIDDLETON: VIA TERRACE,5.0215
23,2197,11:53:05,11:53:05,MIDDLETON: VIA TERRACE,5.2133
24,6243,11:53:38,11:53:38,MIDDLETON: VIA TERRACE,5.4153
25,6569,11:54:38,11:54:38,MIDDLETON: VIA TERRACE,5.7829
26,6439,11:55:13,11:55:13,MIDDLETON: VIA TERRACE,5.999
27,6171,11:56:00,11:56:00,MIDDLETON: VIA TERRACE,6.2649
28,6301,11:56:30,11:56:30,MIDDLETON: VIA TERRACE,6.4419
29,6691,11:57:15,11:57:15,MIDDLETON: VIA TERRACE,6.7072
30,6205,11:57:51,11:57:51,MIDDLETON: VIA TERRACE,6.9218
31,6651,11:58:29,11:58:29,MIDDLETON: VIA TERRACE,7.1504
32,6653,11:59:14,11:59:14,MIDDLETON: VIA TERRACE,7.4196
33,6901,12:00:08,12:00:08,MIDDLETON: VIA TERRACE,7.7388
34,6878,12:01:00,12:01:00,MIDDLETON: VIA TERRACE,8.0266
35,6110,12:01:29,12:01:29,MIDDLETON: VIA TERRACE,8.2012
36,6560,12:01:54,12:01:54,MIDDLETON: VIA TERRACE,8.3522
37,6582,12:02:51,12:02:51,MIDDLETON: VIA TERRACE,8.6912
38,6120,12:03:32,12:03:32,MIDDLETON: VIA TERRACE,8.9332
39,6676,12:04:04,12:04:04,MIDDLETON: VIA TERRACE,9.1222
40,6628,12:04:53,12:04:53,MIDDLETON: VIA TERRACE,9.4152
41,6288,12:05:47,12:05:47,MIDDLETON: VIA TERRACE,9.7337
42,6388,12:06:24,12:06:24,MIDDLETON: VIA TERRACE,9.9552
43,6684,12:07:20,12:07:20,MIDDLETON: VIA TERRACE,10.2879
44,6852,12:07:47,12:07:47,MIDDLETON: VIA TERRACE,10.447000000000001
45,6853,12:09:00,12:09:00,MIDDLETON: VIA TERRACE,10.8511
46,6157,12:09:30,12:09:30,MIDDLETON: VIA TERRACE,11.0306
47,6929,12:10:06,12:10:06,MIDDLETON: VIA TERRACE,11.2407
48,6943,12:10:43,12:10:43,MIDDLETON: VIA TERRACE,11.4584
49,6706,12:11:55,12:11:55,MIDDLETON: VIA TERRACE,11.878
50,6306,12:12:30,12:12:30,MIDDLETON: VIA TERRACE,12.0856
51,6650,12:13:00,12:13:00,MIDDLETON: VIA TERRACE,12.2465
52,6822,12:13:24,12:13:24,MIDDLETON: VIA TERRACE,12.3773
53,6632,12:13:54,12:13:54,MIDDLETON: VIA TERRACE,12.5447
54,6192,12:14:27,12:14:27,MIDDLETON: VIA TERRACE,12.7282
55,6900,12:15:06,12:15:06,MIDDLETON: VIA TERRACE,12.9445
56,6802,12:16:13,12:16:13,MIDDLETON: VIA TERRACE,13.312000000000001
57,6364,12:16:35,12:16:35,MIDDLETON: VIA TERRACE,13.4357
58,6345,12:17:30,12:17:30,MIDDLETON: VIA TERRACE,13.7387
59,6947,12:18:16,12:18:16,MIDDLETON: VIA TERRACE,13.9897
60,6592,12:18:36,12:18:36,MIDDLETON: VIA TERRACE,14.0993
61,6966,12:19:00,12:19:00,MIDDLETON: VIA TERRACE,14.2012
62,6150,12:20:15,12:20:15,MIDDLETON: VIA TERRACE,14.4863
63,6392,12:21:42,12:21:42,MIDDLETON: VIA TERRACE,14.8171
64,6667,12:23:00,12:23:00,DROP OFFS ONLY,15.1049
