stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6667,15:59:00,15:59:00,CAPITOL SQUARE: VIA ALLEN,0.0229
2,6983,15:59:43,15:59:43,CAPITOL SQUARE: VIA ALLEN,0.297
3,6261,16:00:01,16:00:01,CAPITOL SQUARE: VIA ALLEN,0.415
4,6808,16:00:39,16:00:39,CAPITOL SQUARE: VIA ALLEN,0.6569
5,6226,16:01:13,16:01:13,CAPITOL SQUARE: VIA ALLEN,0.8734
6,6844,16:01:52,16:01:52,CAPITOL SQUARE: VIA ALLEN,1.1258
7,6828,16:02:16,16:02:16,CAPITOL SQUARE: VIA ALLEN,1.2814
8,6655,16:03:17,16:03:17,CAPITOL SQUARE: VIA ALLEN,1.6729
9,6591,16:04:38,16:04:38,CAPITOL SQUARE: VIA ALLEN,2.1859
10,6775,16:05:00,16:05:00,CAPITOL SQUARE: VIA ALLEN,2.3015
11,6851,16:05:58,16:05:58,CAPITOL SQUARE: VIA ALLEN,2.5637
12,6479,16:06:39,16:06:39,CAPITOL SQUARE: VIA ALLEN,2.7502
13,6369,16:08:43,16:08:43,CAPITOL SQUARE: VIA ALLEN,3.3024
14,6553,16:10:14,16:10:14,CAPITOL SQUARE: VIA ALLEN,3.7101
15,6359,16:11:22,16:11:22,CAPITOL SQUARE: VIA ALLEN,4.016
16,6973,16:12:25,16:12:25,CAPITOL SQUARE: VIA ALLEN,4.297
17,6663,16:13:00,16:13:00,CAPITOL SQUARE: VIA ALLEN,4.4394
18,6627,16:14:07,16:14:07,CAPITOL SQUARE: VIA ALLEN,4.7078
19,6207,16:15:18,16:15:18,CAPITOL SQUARE: VIA ALLEN,4.9899
20,6489,16:16:39,16:16:39,CAPITOL SQUARE: VIA ALLEN,5.3118
21,6167,16:17:30,16:17:30,CAPITOL SQUARE: VIA ALLEN,5.5167
22,6642,16:18:17,16:18:17,CAPITOL SQUARE: VIA ALLEN,5.7059
23,6318,16:19:03,16:19:03,CAPITOL SQUARE: VIA ALLEN,5.8911
24,6106,16:20:17,16:20:17,CAPITOL SQUARE: VIA ALLEN,6.1864
25,6894,16:21:00,16:21:00,CAPITOL SQUARE: VIA ALLEN,6.3409
26,6291,16:22:14,16:22:14,CAPITOL SQUARE,6.6634
27,6326,16:22:57,16:22:57,CAPITOL SQUARE,6.853
28,2392,16:24:12,16:24:12,CAPITOL SQUARE,7.1806
29,2892,16:25:00,16:25:00,CAPITOL SQUARE,7.3837
30,2404,16:25:45,16:25:45,CAPITOL SQUARE,7.6199
31,2230,16:26:22,16:26:22,CAPITOL SQUARE,7.8162
32,2359,16:26:54,16:26:54,CAPITOL SQUARE,7.9868
33,2923,16:28:39,16:28:39,CAPITOL SQUARE,8.5377
34,2191,16:29:34,16:29:34,CAPITOL SQUARE,8.8273
35,2945,16:31:31,16:31:31,CAPITOL SQUARE,9.4397
36,2465,16:32:17,16:32:17,CAPITOL SQUARE,9.6827
37,809,16:36:04,16:36:04,CAPITOL SQUARE,10.8678
38,581,16:37:00,16:37:00,CAPITOL SQUARE,11.1316
39,743,16:37:53,16:37:53,CAPITOL SQUARE,11.2417
40,455,16:39:21,16:39:21,CAPITOL SQUARE,11.4244
41,435,16:40:34,16:40:34,CAPITOL SQUARE,11.5761
42,941,16:41:13,16:41:13,CAPITOL SQUARE,11.6569
43,839,16:43:13,16:43:13,CAPITOL SQUARE,11.9054
44,883,16:44:46,16:44:46,CAPITOL SQUARE,12.0994
45,1324,16:45:41,16:45:41,CAPITOL SQUARE,12.2149
46,1101,16:47:00,16:47:00,DROP OFFS ONLY,12.3699
