stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6667,6:12:00,6:12:00,CAPITOL SQUARE: VIA BRANCH,0.0229
2,6983,6:13:04,6:13:04,CAPITOL SQUARE: VIA BRANCH,0.297
3,6261,6:13:31,6:13:31,CAPITOL SQUARE: VIA BRANCH,0.415
4,6231,6:14:27,6:14:27,CAPITOL SQUARE: VIA BRANCH,0.653
5,6111,6:15:09,6:15:09,CAPITOL SQUARE: VIA BRANCH,0.8305
6,6673,6:15:56,6:15:56,CAPITOL SQUARE: VIA BRANCH,1.0303
7,6363,6:17:00,6:17:00,CAPITOL SQUARE: VIA BRANCH,1.2891
8,6394,6:17:39,6:17:39,CAPITOL SQUARE: VIA BRANCH,1.466
9,6421,6:18:26,6:18:26,CAPITOL SQUARE: VIA BRANCH,1.6755
10,6927,6:19:15,6:19:15,CAPITOL SQUARE: VIA BRANCH,1.8949
11,6639,6:19:47,6:19:47,CAPITOL SQUARE: VIA BRANCH,2.0385
12,6471,6:20:17,6:20:17,CAPITOL SQUARE: VIA BRANCH,2.1734
13,6635,6:21:00,6:21:00,CAPITOL SQUARE: VIA BRANCH,2.3647
14,6484,6:21:52,6:21:52,CAPITOL SQUARE: VIA BRANCH,2.5997
15,6529,6:22:46,6:22:46,CAPITOL SQUARE: VIA BRANCH,2.8421
16,6475,6:24:00,6:24:00,CAPITOL SQUARE: VIA BRANCH,3.1555
17,6627,6:24:50,6:24:50,CAPITOL SQUARE: VIA BRANCH,3.4691
18,6207,6:25:35,6:25:35,CAPITOL SQUARE: VIA BRANCH,3.7512
19,6489,6:26:27,6:26:27,CAPITOL SQUARE: VIA BRANCH,4.0731
20,6167,6:27:00,6:27:00,CAPITOL SQUARE: VIA BRANCH,4.2780000000000005
21,6651,6:27:35,6:27:35,CAPITOL SQUARE: VIA BRANCH,4.495
22,6653,6:28:18,6:28:18,CAPITOL SQUARE: VIA BRANCH,4.7641
23,6901,6:29:09,6:29:09,CAPITOL SQUARE: VIA BRANCH,5.0833
24,6878,6:30:00,6:30:00,CAPITOL SQUARE: VIA BRANCH,5.3712
25,6110,6:30:40,6:30:40,CAPITOL SQUARE: VIA BRANCH,5.5458
26,6560,6:31:14,6:31:14,CAPITOL SQUARE: VIA BRANCH,5.6968
27,6582,6:32:32,6:32:32,CAPITOL SQUARE: VIA BRANCH,6.0357
28,6120,6:33:27,6:33:27,CAPITOL SQUARE: VIA BRANCH,6.2777
29,6676,6:34:10,6:34:10,CAPITOL SQUARE: VIA BRANCH,6.4668
30,6706,6:35:32,6:35:32,CAPITOL SQUARE: VIA BRANCH,6.8262
31,6306,6:36:19,6:36:19,CAPITOL SQUARE: VIA BRANCH,7.0338
32,6650,6:37:00,6:37:00,CAPITOL SQUARE: VIA BRANCH,7.1948
33,6213,6:37:27,6:37:27,CAPITOL SQUARE: VIA BRANCH,7.3351
34,6420,6:37:48,6:37:48,CAPITOL SQUARE: VIA BRANCH,7.4477
35,6322,6:38:38,6:38:38,CAPITOL SQUARE: VIA BRANCH,7.7096
36,6291,6:39:38,6:39:38,CAPITOL SQUARE,8.0236
37,6326,6:40:14,6:40:14,CAPITOL SQUARE,8.2132
38,2392,6:41:17,6:41:17,CAPITOL SQUARE,8.5408
39,2892,6:42:00,6:42:00,CAPITOL SQUARE,8.744
40,2404,6:42:37,6:42:37,CAPITOL SQUARE,8.9801
41,2230,6:43:08,6:43:08,CAPITOL SQUARE,9.1764
42,2359,6:43:35,6:43:35,CAPITOL SQUARE,9.347000000000001
43,2923,6:45:03,6:45:03,CAPITOL SQUARE,9.8979
44,2191,6:45:49,6:45:49,CAPITOL SQUARE,10.1875
45,2945,6:47:27,6:47:27,CAPITOL SQUARE,10.8
46,2465,6:48:05,6:48:05,CAPITOL SQUARE,11.043
47,809,6:51:14,6:51:14,CAPITOL SQUARE,12.228
48,581,6:52:00,6:52:00,CAPITOL SQUARE,12.4919
49,743,6:52:42,6:52:42,CAPITOL SQUARE,12.6019
50,455,6:53:52,6:53:52,CAPITOL SQUARE,12.7847
51,435,6:54:50,6:54:50,CAPITOL SQUARE,12.9363
52,941,6:55:21,6:55:21,CAPITOL SQUARE,13.0171
53,839,6:56:57,6:56:57,CAPITOL SQUARE,13.2656
54,883,6:58:12,6:58:12,CAPITOL SQUARE,13.4596
55,1324,6:58:56,6:58:56,CAPITOL SQUARE,13.5751
56,1101,7:00:00,7:00:00,DROP OFFS ONLY,13.7302
