stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,23:00:00,23:00:00,TO OLD SAUK,0.0097
2,6296,23:01:06,23:01:06,TO OLD SAUK,0.3337
3,6952,23:01:43,23:01:43,TO OLD SAUK,0.5185
4,6154,23:02:04,23:02:04,TO OLD SAUK,0.6213
5,6188,23:02:38,23:02:38,TO OLD SAUK,0.7893
6,6266,23:03:41,23:03:41,TO OLD SAUK,1.1
7,6382,23:04:42,23:04:42,TO OLD SAUK,1.401
8,6638,23:05:16,23:05:16,TO OLD SAUK,1.5719
9,6422,23:05:59,23:05:59,TO OLD SAUK,1.7835
10,6938,23:07:19,23:07:19,TO OLD SAUK,2.1777
11,6464,23:08:01,23:08:01,TO OLD SAUK,2.3871
12,6720,23:08:34,23:08:34,TO OLD SAUK,2.5508
13,6204,23:09:06,23:09:06,TO OLD SAUK,2.7108
14,6630,23:10:00,23:10:00,TO OLD SAUK,2.9435
15,6504,23:10:42,23:10:42,TO OLD SAUK,3.1534
16,6842,23:11:13,23:11:13,TO OLD SAUK,3.3085
17,6455,23:12:00,23:12:00,TO OLD SAUK,3.5441
18,6923,23:13:08,23:13:08,TO OLD SAUK,3.8822
19,6457,23:13:56,23:13:56,TO OLD SAUK,4.1255
20,6925,23:14:15,23:14:15,TO OLD SAUK,4.2237
21,6551,23:14:39,23:14:39,TO OLD SAUK,4.3431
22,6279,23:15:21,23:15:21,TO OLD SAUK,4.5541
23,6365,23:16:00,23:16:00,TO OLD SAUK,4.7316
24,6605,23:16:26,23:16:26,DROP OFFS ONLY,4.8652
