stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6476,12:28:00,12:28:00,WEST TRANSFER: VIA DEMING,0.0162
2,6122,12:28:15,12:28:15,WEST TRANSFER: VIA DEMING,0.0846
3,6838,12:28:43,12:28:43,WEST TRANSFER: VIA DEMING,0.2126
4,6354,12:29:13,12:29:13,WEST TRANSFER: VIA DEMING,0.3471
5,6906,12:29:59,12:29:59,WEST TRANSFER: VIA DEMING,0.5559
6,6751,12:30:39,12:30:39,WEST TRANSFER: VIA DEMING,0.738
7,6402,12:31:02,12:31:02,WEST TRANSFER: VIA DEMING,0.8451
8,6660,12:32:00,12:32:00,WEST TRANSFER: VIA DEMING,1.0906
9,6218,12:32:55,12:32:55,WEST TRANSFER: VIA DEMING,1.3006
10,6334,12:33:54,12:33:54,WEST TRANSFER: VIA DEMING,1.5247
11,6483,12:34:56,12:34:56,WEST TRANSFER: VIA DEMING,1.7588
12,6840,12:36:00,12:36:00,WEST TRANSFER,1.9931
13,6430,12:36:40,12:36:40,WEST TRANSFER,2.2211
14,6818,12:37:06,12:37:06,WEST TRANSFER,2.3735
15,6800,12:37:41,12:37:41,WEST TRANSFER,2.5756
16,6368,12:38:00,12:38:00,WEST TRANSFER,2.6853
17,6860,12:38:19,12:38:19,WEST TRANSFER,2.7937
18,6748,12:38:52,12:38:52,WEST TRANSFER,2.9843
19,6863,12:40:08,12:40:08,WEST TRANSFER,3.418
20,6193,12:40:49,12:40:49,WEST TRANSFER,3.6545
21,6237,12:41:09,12:41:09,WEST TRANSFER,3.7713
22,6105,12:42:00,12:42:00,WEST TRANSFER,4.0334
23,6123,12:42:46,12:42:46,WEST TRANSFER,4.2538
24,6979,12:43:14,12:43:14,WEST TRANSFER,4.3879
25,6199,12:43:54,12:43:54,WEST TRANSFER,4.5817
26,6269,12:44:40,12:44:40,WEST TRANSFER,4.8045
27,6685,12:46:13,12:46:13,WEST TRANSFER,5.2496
28,6357,12:46:39,12:46:39,WEST TRANSFER,5.377000000000001
29,6223,12:47:22,12:47:22,WEST TRANSFER,5.5875
30,6241,12:48:12,12:48:12,WEST TRANSFER,5.8297
31,6169,12:49:16,12:49:16,WEST TRANSFER,6.1405
32,6319,12:49:47,12:49:47,WEST TRANSFER,6.2916
33,6265,12:50:19,12:50:19,WEST TRANSFER,6.4481
34,6423,12:50:39,12:50:39,WEST TRANSFER,6.5471
35,6100,12:52:00,12:52:00,DROP OFFS ONLY,6.9039
