stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6476,6:29:00,6:29:00,WEST TRANSFER: VIA FOURIER,0.0162
2,6884,6:29:15,6:29:15,WEST TRANSFER: VIA FOURIER,0.0951
3,6602,6:29:41,6:29:41,WEST TRANSFER: VIA FOURIER,0.23
4,6336,6:30:11,6:30:11,WEST TRANSFER: VIA FOURIER,0.3806
5,6114,6:30:49,6:30:49,WEST TRANSFER: VIA FOURIER,0.5728
6,6180,6:31:23,6:31:23,WEST TRANSFER: VIA FOURIER,0.7436
7,6944,6:32:00,6:32:00,WEST TRANSFER: VIA FOURIER,0.9195
8,6149,6:32:56,6:32:56,WEST TRANSFER: VIA FOURIER,1.0643
9,6796,6:33:42,6:33:42,WEST TRANSFER: VIA FOURIER,1.1826
10,6490,6:34:44,6:34:44,WEST TRANSFER: VIA FOURIER,1.3428
11,6840,6:36:00,6:36:00,WEST TRANSFER,1.5358
12,6430,6:36:40,6:36:40,WEST TRANSFER,1.7638
13,6818,6:37:06,6:37:06,WEST TRANSFER,1.9162
14,6800,6:37:41,6:37:41,WEST TRANSFER,2.1182
15,6368,6:38:00,6:38:00,WEST TRANSFER,2.228
16,6860,6:38:19,6:38:19,WEST TRANSFER,2.3363
17,6748,6:38:52,6:38:52,WEST TRANSFER,2.5269999999999997
18,6863,6:40:08,6:40:08,WEST TRANSFER,2.9607
19,6193,6:40:49,6:40:49,WEST TRANSFER,3.1972
20,6237,6:41:09,6:41:09,WEST TRANSFER,3.3139
21,6105,6:42:00,6:42:00,WEST TRANSFER,3.5762
22,6123,6:42:46,6:42:46,WEST TRANSFER,3.7965
23,6979,6:43:14,6:43:14,WEST TRANSFER,3.9305
24,6199,6:43:54,6:43:54,WEST TRANSFER,4.1243
25,6269,6:44:40,6:44:40,WEST TRANSFER,4.3472
26,6685,6:46:13,6:46:13,WEST TRANSFER,4.7923
27,6357,6:46:39,6:46:39,WEST TRANSFER,4.9197
28,6223,6:47:22,6:47:22,WEST TRANSFER,5.1302
29,6241,6:48:12,6:48:12,WEST TRANSFER,5.3724
30,6169,6:49:16,6:49:16,WEST TRANSFER,5.6832
31,6319,6:49:47,6:49:47,WEST TRANSFER,5.8342
32,6265,6:50:19,6:50:19,WEST TRANSFER,5.9907
33,6423,6:50:39,6:50:39,WEST TRANSFER,6.0897
34,6100,6:52:00,6:52:00,DROP OFFS ONLY,6.4466
