stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,5:32:00,5:32:00,EAST TRANSFER: VIA MONROE,0.0097
2,2324,5:32:40,5:32:40,EAST TRANSFER: VIA MONROE,0.2342
3,2801,5:33:22,5:33:22,EAST TRANSFER: VIA MONROE,0.47100000000000003
4,2253,5:33:57,5:33:57,EAST TRANSFER: VIA MONROE,0.6711
5,2597,5:34:34,5:34:34,EAST TRANSFER: VIA MONROE,0.8818
6,2729,5:35:23,5:35:23,EAST TRANSFER: VIA MONROE,1.1579
7,2119,5:35:52,5:35:52,EAST TRANSFER: VIA MONROE,1.324
8,2433,5:36:26,5:36:26,EAST TRANSFER: VIA MONROE,1.5188
9,2357,5:36:58,5:36:58,EAST TRANSFER: VIA MONROE,1.7009
10,2105,5:37:23,5:37:23,EAST TRANSFER: VIA MONROE,1.8418
11,2593,5:37:47,5:37:47,EAST TRANSFER: VIA MONROE,1.9768
12,2265,5:38:05,5:38:05,EAST TRANSFER: VIA MONROE,2.0816
13,2505,5:39:00,5:39:00,EAST TRANSFER: VIA MONROE,2.3615
14,2753,5:39:48,5:39:48,EAST TRANSFER: VIA MONROE,2.5757
15,2883,5:40:32,5:40:32,EAST TRANSFER: VIA MONROE,2.7731
16,2497,5:41:02,5:41:02,EAST TRANSFER: VIA MONROE,2.909
17,2389,5:42:00,5:42:00,EAST TRANSFER: VIA MONROE,3.1660000000000004
18,2885,5:43:13,5:43:13,EAST TRANSFER: VIA MONROE,3.488
19,2255,5:43:57,5:43:57,EAST TRANSFER: VIA MONROE,3.6855
20,241,5:44:20,5:44:20,EAST TRANSFER: VIA MONROE,3.7906
21,245,5:46:06,5:46:06,EAST TRANSFER: VIA MONROE,4.2581
22,581,5:46:47,5:46:47,EAST TRANSFER: VIA MONROE,4.44
23,743,5:47:12,5:47:12,EAST TRANSFER: VIA MONROE,4.55
24,455,5:48:00,5:48:00,EAST TRANSFER,4.7327
25,435,5:49:16,5:49:16,EAST TRANSFER,4.8844
26,941,5:49:57,5:49:57,EAST TRANSFER,4.9651
27,839,5:52:03,5:52:03,EAST TRANSFER,5.2137
28,883,5:53:41,5:53:41,EAST TRANSFER,5.4077
29,1324,5:54:39,5:54:39,EAST TRANSFER,5.5233
30,1101,5:56:00,5:56:00,EAST TRANSFER,5.6782
31,1823,5:56:29,5:56:29,EAST TRANSFER,5.7916
32,1737,5:57:01,5:57:01,EAST TRANSFER,5.915
33,1839,5:57:49,5:57:49,EAST TRANSFER,6.0993
34,1509,5:58:50,5:58:50,EAST TRANSFER,6.3327
35,1167,5:59:31,5:59:31,EAST TRANSFER,6.4897
36,1615,5:59:51,5:59:51,EAST TRANSFER,6.5683
37,1959,6:00:31,6:00:31,EAST TRANSFER,6.7217
38,1505,6:01:00,6:01:00,EAST TRANSFER,6.8175
39,1559,6:01:29,6:01:29,EAST TRANSFER,6.9436
40,1689,6:01:58,6:01:58,EAST TRANSFER,7.0684
41,1213,6:02:48,6:02:48,EAST TRANSFER,7.2860000000000005
42,1645,6:03:17,6:03:17,EAST TRANSFER,7.4127
43,1935,6:03:42,6:03:42,EAST TRANSFER,7.52
44,1901,6:04:24,6:04:24,EAST TRANSFER,7.7031
45,1963,6:05:00,6:05:00,EAST TRANSFER,7.8454
46,1643,6:05:48,6:05:48,EAST TRANSFER,8.0703
47,1887,6:06:13,6:06:13,EAST TRANSFER,8.1897
48,1391,6:06:35,6:06:35,EAST TRANSFER,8.2928
49,1219,6:07:07,6:07:07,EAST TRANSFER,8.4449
50,1327,6:07:31,6:07:31,EAST TRANSFER,8.5586
51,1353,6:08:19,6:08:19,EAST TRANSFER,8.7856
52,1751,6:09:48,6:09:48,EAST TRANSFER,9.2069
53,1309,6:10:20,6:10:20,EAST TRANSFER,9.3605
54,1105,6:10:52,6:10:52,EAST TRANSFER,9.5111
55,7100,6:12:00,6:12:00,DROP OFFS ONLY,9.8115
