stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,7100,5:15:00,5:15:00,WEST TRANSFER: VIA MONROE,0.0092
2,1886,5:16:21,5:16:21,WEST TRANSFER: VIA MONROE,0.3451
3,1206,5:16:54,5:16:54,WEST TRANSFER: VIA MONROE,0.4819
4,1984,5:17:38,5:17:38,WEST TRANSFER: VIA MONROE,0.6673
5,1640,5:19:02,5:19:02,WEST TRANSFER: VIA MONROE,1.0144
6,1718,5:19:59,5:19:59,WEST TRANSFER: VIA MONROE,1.2503
7,1894,5:20:31,5:20:31,WEST TRANSFER: VIA MONROE,1.3826
8,1682,5:21:07,5:21:07,WEST TRANSFER: VIA MONROE,1.5345
9,1398,5:21:31,5:21:31,WEST TRANSFER: VIA MONROE,1.6375
10,1384,5:22:06,5:22:06,WEST TRANSFER: VIA MONROE,1.7822
11,1188,5:23:00,5:23:00,WEST TRANSFER: VIA MONROE,1.9916
12,1830,5:23:28,5:23:28,WEST TRANSFER: VIA MONROE,2.1007
13,1472,5:24:01,5:24:01,WEST TRANSFER: VIA MONROE,2.2321
14,1208,5:24:32,5:24:32,WEST TRANSFER: VIA MONROE,2.3524
15,1526,5:25:12,5:25:12,WEST TRANSFER: VIA MONROE,2.5077
16,1530,5:26:01,5:26:01,WEST TRANSFER: VIA MONROE,2.7005
17,1750,5:26:24,5:26:24,WEST TRANSFER: VIA MONROE,2.7933
18,1878,5:27:00,5:27:00,WEST TRANSFER: VIA MONROE,2.9198
19,1190,5:27:30,5:27:30,WEST TRANSFER: VIA MONROE,3.0442
20,1536,5:28:00,5:28:00,WEST TRANSFER: VIA MONROE,3.1689999999999996
21,1194,5:28:30,5:28:30,WEST TRANSFER: VIA MONROE,3.2922
22,1720,5:28:55,5:28:55,WEST TRANSFER: VIA MONROE,3.3931
23,1480,5:29:14,5:29:14,WEST TRANSFER: VIA MONROE,3.4703
24,1150,5:29:56,5:29:56,WEST TRANSFER: VIA MONROE,3.6416
25,1468,5:30:31,5:30:31,WEST TRANSFER: VIA MONROE,3.7856
26,1787,5:31:18,5:31:18,WEST TRANSFER: VIA MONROE,3.9755
27,1100,5:32:00,5:32:00,WEST TRANSFER: VIA MONROE,4.1276
28,1310,5:32:41,5:32:41,WEST TRANSFER: VIA MONROE,4.2344
29,1558,5:33:17,5:33:17,WEST TRANSFER: VIA MONROE,4.3293
30,898,5:33:51,5:33:51,WEST TRANSFER: VIA MONROE,4.417
31,252,5:34:24,5:34:24,WEST TRANSFER: VIA MONROE,4.504
32,568,5:36:16,5:36:16,WEST TRANSFER: VIA MONROE,4.7949
33,670,5:36:51,5:36:51,WEST TRANSFER: VIA MONROE,4.8856
34,100,5:38:00,5:38:00,WEST TRANSFER: VIA MONROE,5.0553
35,234,5:38:28,5:38:28,WEST TRANSFER: VIA MONROE,5.1821
36,178,5:39:03,5:39:03,WEST TRANSFER: VIA MONROE,5.3412
37,336,5:39:46,5:39:46,WEST TRANSFER: VIA MONROE,5.5345
38,2940,5:41:32,5:41:32,WEST TRANSFER: VIA MONROE,6.0126
39,2608,5:42:09,5:42:09,WEST TRANSFER: VIA MONROE,6.1802
40,2566,5:42:47,5:42:47,WEST TRANSFER: VIA MONROE,6.3535
41,2524,5:43:55,5:43:55,WEST TRANSFER: VIA MONROE,6.6592
42,2856,5:44:52,5:44:52,WEST TRANSFER: VIA MONROE,6.9166
43,2388,5:45:18,5:45:18,WEST TRANSFER: VIA MONROE,7.034
44,2836,5:46:06,5:46:06,WEST TRANSFER: VIA MONROE,7.2487
45,2112,5:47:00,5:47:00,WEST TRANSFER: VIA MONROE,7.4686
46,2918,5:47:51,5:47:51,WEST TRANSFER: VIA MONROE,7.7172
47,2212,5:48:35,5:48:35,WEST TRANSFER: VIA MONROE,7.9283
48,2114,5:49:02,5:49:02,WEST TRANSFER: VIA MONROE,8.0622
49,2872,5:49:53,5:49:53,WEST TRANSFER: VIA MONROE,8.3095
50,2786,5:50:32,5:50:32,WEST TRANSFER: VIA MONROE,8.4966
51,2224,5:51:00,5:51:00,WEST TRANSFER: VIA MONROE,8.6335
52,2732,5:51:57,5:51:57,WEST TRANSFER: VIA MONROE,8.9096
53,2302,5:52:35,5:52:35,WEST TRANSFER: VIA MONROE,9.0917
54,2946,5:53:12,5:53:12,WEST TRANSFER: VIA MONROE,9.2701
55,2665,5:53:49,5:53:49,WEST TRANSFER: VIA MONROE,9.4509
56,6100,5:55:00,5:55:00,DROP OFFS ONLY,9.7644
