stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,2892,7:25:00,7:25:00,CAPITOL SQUARE,0.0251
2,2404,7:25:42,7:25:42,CAPITOL SQUARE,0.2612
3,2230,7:26:17,7:26:17,CAPITOL SQUARE,0.4575
4,2398,7:26:45,7:26:45,CAPITOL SQUARE,0.6186
5,2397,7:27:25,7:27:25,CAPITOL SQUARE,0.8440000000000001
6,2175,7:28:00,7:28:00,CAPITOL SQUARE,1.0294
7,2101,7:28:37,7:28:37,CAPITOL SQUARE,1.2296
8,2395,7:29:01,7:29:01,CAPITOL SQUARE,1.3597
9,2752,7:29:23,7:29:23,CAPITOL SQUARE,1.4788
10,2637,7:30:09,7:30:09,CAPITOL SQUARE,1.7232
11,2641,7:30:22,7:30:22,CAPITOL SQUARE,1.7936
12,2487,7:30:47,7:30:47,CAPITOL SQUARE,1.9292
13,2693,7:31:10,7:31:10,CAPITOL SQUARE,2.0511
14,2775,7:31:43,7:31:43,CAPITOL SQUARE,2.2298
15,2663,7:31:58,7:31:58,CAPITOL SQUARE,2.31
16,2725,7:32:27,7:32:27,CAPITOL SQUARE,2.4663
17,2177,7:33:00,7:33:00,CAPITOL SQUARE,2.6414
18,2965,7:33:19,7:33:19,CAPITOL SQUARE,2.7457
19,2171,7:34:00,7:34:00,CAPITOL SQUARE,2.9265
20,2465,7:34:30,7:34:30,CAPITOL SQUARE,3.0615
21,809,7:38:59,7:38:59,CAPITOL SQUARE,4.2465
22,581,7:40:00,7:40:00,CAPITOL SQUARE,4.5104
23,743,7:40:53,7:40:53,CAPITOL SQUARE,4.6205
24,455,7:42:21,7:42:21,CAPITOL SQUARE,4.8032
25,435,7:43:34,7:43:34,CAPITOL SQUARE,4.9548
26,941,7:44:13,7:44:13,CAPITOL SQUARE,5.0357
27,839,7:46:13,7:46:13,CAPITOL SQUARE,5.2842
28,883,7:47:46,7:47:46,CAPITOL SQUARE,5.4781
29,1324,7:48:41,7:48:41,CAPITOL SQUARE,5.5937
30,1101,7:50:00,7:50:00,DROP OFFS ONLY,5.7487
