stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,10,8:42:00,8:42:00,TO EAGLE HTS,0.0081
2,60,8:43:43,8:43:43,TO EAGLE HTS,0.2635
3,52,8:44:26,8:44:26,TO EAGLE HTS,0.3702
4,488,8:45:20,8:45:20,TO EAGLE HTS,0.5053
5,184,8:46:22,8:46:22,TO EAGLE HTS,0.6601
6,532,8:47:05,8:47:05,TO EAGLE HTS,0.7676
7,2996,8:47:52,8:47:52,TO EAGLE HTS,0.8845
8,2978,8:49:00,8:49:00,TO EAGLE HTS,1.0467
9,2442,8:49:44,8:49:44,TO EAGLE HTS,1.1983
10,2088,8:51:23,8:51:23,TO EAGLE HTS,1.5375
11,2125,8:52:17,8:52:17,TO EAGLE HTS,1.7236
12,2023,8:53:07,8:53:07,TO EAGLE HTS,1.8941
13,2027,8:54:00,8:54:00,TO EAGLE HTS,2.0662
14,2938,8:54:52,8:54:52,TO EAGLE HTS,2.3378
15,2041,8:55:46,8:55:46,TO EAGLE HTS,2.6184
16,2018,8:56:25,8:56:25,TO EAGLE HTS,2.8219
17,2026,8:56:41,8:56:41,TO EAGLE HTS,2.906
18,2082,8:57:00,8:57:00,DROP OFFS ONLY,3.0008
