stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,2082,8:59:00,8:59:00,EAGLE HEIGHTS,0.0232
2,2054,8:59:30,8:59:30,EAGLE HEIGHTS,0.2
3,2039,9:00:24,9:00:24,EAGLE HEIGHTS,0.5136
4,2061,9:00:35,9:00:35,EAGLE HEIGHTS,0.5820000000000001
5,2071,9:00:50,9:00:50,EAGLE HEIGHTS,0.6717
6,2014,9:01:22,9:01:22,EAGLE HEIGHTS,0.8562
7,2034,9:02:00,9:02:00,EAGLE HEIGHTS,1.0501
8,2048,9:02:45,9:02:45,EAGLE HEIGHTS: LIMITED STOPS,1.193
9,2881,9:04:12,9:04:12,EAGLE HEIGHTS: LIMITED STOPS,1.4711
10,2349,9:07:00,9:07:00,EAGLE HEIGHTS: LIMITED STOPS,1.9996
11,2267,9:11:00,9:11:00,EAGLE HEIGHTS: LIMITED STOPS,2.5951
12,488,9:15:00,9:15:00,EAGLE HEIGHTS: LIMITED STOPS,3.4457
13,532,9:16:00,9:16:00,EAGLE HEIGHTS: LIMITED STOPS,3.7079
14,2442,9:19:00,9:19:00,EAGLE HEIGHTS: LIMITED STOPS,4.1162
15,2125,9:22:00,9:22:00,EAGLE HEIGHTS: LIMITED STOPS,4.6415
16,2938,9:23:55,9:23:55,EAGLE HEIGHTS,5.2558
17,2041,9:24:47,9:24:47,EAGLE HEIGHTS,5.5363
18,2018,9:25:25,9:25:25,EAGLE HEIGHTS,5.7399
19,2026,9:25:40,9:25:40,EAGLE HEIGHTS,5.8239
20,2082,9:26:00,9:26:00,DROP OFFS ONLY,5.9187
