stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,2082,15:59:00,15:59:00,EAGLE HEIGHTS,0.0232
2,2054,15:59:30,15:59:30,EAGLE HEIGHTS,0.2
3,2039,16:00:24,16:00:24,EAGLE HEIGHTS,0.5136
4,2061,16:00:35,16:00:35,EAGLE HEIGHTS,0.5820000000000001
5,2071,16:00:50,16:00:50,EAGLE HEIGHTS,0.6717
6,2014,16:01:22,16:01:22,EAGLE HEIGHTS,0.8562
7,2034,16:02:00,16:02:00,EAGLE HEIGHTS,1.0501
8,2048,16:02:45,16:02:45,TO EAGLE HEIGHTS: LIMITED STOPS,1.193
9,2881,16:04:12,16:04:12,TO EAGLE HEIGHTS: LIMITED STOPS,1.4711
10,2349,16:07:00,16:07:00,TO EAGLE HEIGHTS: LIMITED STOPS,1.9996
11,2267,16:11:00,16:11:00,TO EAGLE HEIGHTS: LIMITED STOPS,2.5951
12,488,16:15:00,16:15:00,TO EAGLE HEIGHTS: LIMITED STOPS,3.4457
13,532,16:16:00,16:16:00,TO EAGLE HEIGHTS: LIMITED STOPS,3.7079
14,2442,16:19:00,16:19:00,TO EAGLE HEIGHTS: LIMITED STOPS,4.1162
15,2125,16:22:00,16:22:00,TO EAGLE HEIGHTS: LIMITED STOPS,4.6415
16,2938,16:23:55,16:23:55,TO EAGLE HTS,5.2558
17,2041,16:24:47,16:24:47,TO EAGLE HTS,5.5363
18,2018,16:25:25,16:25:25,TO EAGLE HTS,5.7399
19,2026,16:25:40,16:25:40,DROP OFFS ONLY,5.8239
20,2082,16:26:00,16:26:00,DROP OFFS ONLY,5.9187
