stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,10,26:35:00,26:35:00,TO U.W. HOSPITAL: VIA EAGLE HTS,0.0081
2,60,26:36:13,26:36:13,TO U.W. HOSPITAL: VIA EAGLE HTS,0.2635
3,52,26:36:43,26:36:43,TO U.W. HOSPITAL: VIA EAGLE HTS,0.3702
4,488,26:37:22,26:37:22,TO U.W. HOSPITAL: VIA EAGLE HTS,0.5053
5,184,26:38:06,26:38:06,TO U.W. HOSPITAL: VIA EAGLE HTS,0.6601
6,532,26:38:37,26:38:37,TO U.W. HOSPITAL: VIA EAGLE HTS,0.7676
7,2996,26:39:10,26:39:10,TO U.W. HOSPITAL: VIA EAGLE HTS,0.8845
8,2978,26:40:00,26:40:00,TO U.W. HOSPITAL: VIA EAGLE HTS,1.0467
9,2442,26:40:35,26:40:35,TO U.W. HOSPITAL: VIA EAGLE HTS,1.1983
10,2088,26:41:54,26:41:54,TO U.W. HOSPITAL: VIA EAGLE HTS,1.5375
11,2125,26:42:37,26:42:37,TO U.W. HOSPITAL: VIA EAGLE HTS,1.7236
12,2023,26:43:17,26:43:17,TO U.W. HOSPITAL: VIA EAGLE HTS,1.8941
13,2027,26:44:00,26:44:00,TO U.W. HOSPITAL: VIA EAGLE HTS,2.0662
14,2938,26:45:09,26:45:09,TO U.W. HOSPITAL: VIA EAGLE HTS,2.3378
15,2041,26:46:21,26:46:21,TO U.W. HOSPITAL: VIA EAGLE HTS,2.6184
16,2018,26:47:13,26:47:13,TO U.W. HOSPITAL: VIA EAGLE HTS,2.8219
17,2026,26:47:34,26:47:34,TO U.W. HOSPITAL: VIA EAGLE HTS,2.906
18,2082,26:48:00,26:48:00,TO U.W. HOSPITAL: VIA EAGLE HTS,3.0008
19,2054,26:48:28,26:48:28,TO U.W. HOSPITAL: VIA EAGLE HTS,3.1775
20,2039,26:49:18,26:49:18,TO U.W. HOSPITAL: VIA EAGLE HTS,3.4911
21,2061,26:49:28,26:49:28,TO U.W. HOSPITAL: VIA EAGLE HTS,3.5595
22,2071,26:49:42,26:49:42,TO U.W. HOSPITAL: VIA EAGLE HTS,3.6493
23,2014,26:50:11,26:50:11,TO U.W. HOSPITAL: VIA EAGLE HTS,3.8338
24,2034,26:50:42,26:50:42,TO U.W. HOSPITAL,4.0277
25,2048,26:51:04,26:51:04,TO U.W. HOSPITAL,4.1706
26,2881,26:51:48,26:51:48,TO U.W. HOSPITAL,4.4487
27,2050,26:52:26,26:52:26,DROP OFFS ONLY,4.6886
28,2076,26:53:00,26:53:00,DROP OFFS ONLY,4.8744
