route_num,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled,service_id
81,1,99,18:35:00,18:35:00,MEMORIAL UNION: VIA JOHNSON: VIA WASHINGTON,0.0224,92_WKD:L#6
81,2,25,18:36:00,18:36:00,MEMORIAL UNION: VIA JOHNSON: VIA WASHINGTON,0.1853,92_WKD:L#6
81,3,89,18:37:38,18:37:38,MEMORIAL UNION: VIA JOHNSON: VIA WASHINGTON,0.4522,92_WKD:L#6
81,4,45,18:38:38,18:38:38,MEMORIAL UNION: VIA JOHNSON: VIA WASHINGTON,0.6153,92_WKD:L#6
81,5,96,18:39:29,18:39:29,MEMORIAL UNION: VIA JOHNSON: VIA WASHINGTON,0.7552,92_WKD:L#6
81,6,1227,18:41:17,18:41:17,MEMORIAL UNION: VIA JOHNSON: VIA WASHINGTON,1.0497,92_WKD:L#6
81,7,1593,18:42:00,18:42:00,MEMORIAL UNION: VIA JOHNSON: VIA WASHINGTON,1.1578,92_WKD:L#6
81,8,752,18:42:54,18:42:54,MEMORIAL UNION: VIA WASHINGTON,1.2993,92_WKD:L#6
81,9,914,18:44:27,18:44:27,MEMORIAL UNION: VIA WASHINGTON,1.5428,92_WKD:L#6
81,10,480,18:45:46,18:45:46,MEMORIAL UNION: VIA WASHINGTON,1.7484,92_WKD:L#6
81,11,688,18:46:27,18:46:27,MEMORIAL UNION: VIA WASHINGTON,1.8572,92_WKD:L#6
81,12,506,18:47:16,18:47:16,MEMORIAL UNION: VIA WASHINGTON,1.9846,92_WKD:L#6
81,13,926,18:48:22,18:48:22,MEMORIAL UNION: VIA WASHINGTON,2.1581,92_WKD:L#6
81,14,68,18:49:04,18:49:04,MEMORIAL UNION: VIA WASHINGTON,2.2682,92_WKD:L#6
81,15,853,18:50:15,18:50:15,MEMORIAL UNION: VIA WASHINGTON,2.4553,92_WKD:L#6
81,16,558,18:51:13,18:51:13,MEMORIAL UNION: VIA WASHINGTON,2.6082,92_WKD:L#6
81,17,967,18:52:00,18:52:00,MEMORIAL UNION: VIA WASHINGTON,2.718,92_WKD:L#6
81,18,710,18:52:48,18:52:48,MEMORIAL UNION,2.8433,92_WKD:L#6
81,19,520,18:53:33,18:53:33,MEMORIAL UNION,2.9589,92_WKD:L#6
81,20,313,18:54:18,18:54:18,MEMORIAL UNION,3.0765,92_WKD:L#6
81,21,161,18:55:18,18:55:18,MEMORIAL UNION,3.2315,92_WKD:L#6
81,22,965,18:56:02,18:56:02,MEMORIAL UNION,3.3466,92_WKD:L#6
81,23,593,18:57:09,18:57:09,MEMORIAL UNION,3.5195,92_WKD:L#6
81,24,87,18:57:46,18:57:46,MEMORIAL UNION,3.6154,92_WKD:L#6
81,25,568,18:59:11,18:59:11,MEMORIAL UNION,3.8354,92_WKD:L#6
81,26,670,18:59:46,18:59:46,MEMORIAL UNION,3.9261,92_WKD:L#6
81,27,795,19:01:12,19:01:12,MEMORIAL UNION,4.1492,92_WKD:L#6
81,28,99,19:02:00,19:02:00,DROP OFFS ONLY,4.2574,92_WKD:L#6
82,1,10,18:50:00,18:50:00,MEMORIAL UNION: VIA OBSERVATORY: VIA BREESE,0.069,92_WKD:L#6
82,2,60,18:51:26,18:51:26,MEMORIAL UNION: VIA OBSERVATORY: VIA BREESE,0.3244,92_WKD:L#6
82,3,52,18:52:02,18:52:02,MEMORIAL UNION: VIA OBSERVATORY: VIA BREESE,0.4311,92_WKD:L#6
82,4,56,18:52:29,18:52:29,MEMORIAL UNION: VIA OBSERVATORY: VIA BREESE,0.5111,92_WKD:L#6
82,5,2996,18:54:12,18:54:12,MEMORIAL UNION: VIA OBSERVATORY: VIA BREESE,0.8156,92_WKD:L#6
82,6,2978,18:55:06,18:55:06,MEMORIAL UNION: VIA OBSERVATORY: VIA BREESE,0.9778,92_WKD:L#6
82,7,2442,18:55:57,18:55:57,MEMORIAL UNION: VIA OBSERVATORY: VIA BREESE,1.1294,92_WKD:L#6
82,8,2094,18:58:00,18:58:00,MEMORIAL UNION: VIA BREESE,1.4875,92_WKD:L#6
82,9,2502,18:58:48,18:58:48,MEMORIAL UNION: VIA BREESE,1.6143,92_WKD:L#6
82,10,2605,18:59:48,18:59:48,MEMORIAL UNION: VIA BREESE,1.7711,92_WKD:L#6
82,11,2717,19:00:57,19:00:57,MEMORIAL UNION: VIA BREESE,1.9507,92_WKD:L#6
82,12,2921,19:02:10,19:02:10,MEMORIAL UNION: VIA BREESE,2.1424,92_WKD:L#6
82,13,542,19:03:26,19:03:26,MEMORIAL UNION: VIA BREESE,2.342,92_WKD:L#6
82,14,454,19:04:38,19:04:38,MEMORIAL UNION: VIA BREESE,2.529,92_WKD:L#6
82,15,533,19:06:00,19:06:00,MEMORIAL UNION: VIA BREESE,2.7328,92_WKD:L#6
82,16,971,19:07:25,19:07:25,MEMORIAL UNION,2.9492,92_WKD:L#6
82,17,585,19:08:09,19:08:09,MEMORIAL UNION,3.0610000000000004,92_WKD:L#6
82,18,327,19:09:14,19:09:14,MEMORIAL UNION,3.2257,92_WKD:L#6
82,19,115,19:10:18,19:10:18,MEMORIAL UNION,3.3892,92_WKD:L#6
82,20,483,19:10:53,19:10:53,MEMORIAL UNION,3.478,92_WKD:L#6
82,21,75,19:11:55,19:11:55,MEMORIAL UNION,3.6341,92_WKD:L#6
82,22,43,19:12:37,19:12:37,MEMORIAL UNION,3.7416,92_WKD:L#6
82,23,39,19:13:11,19:13:11,MEMORIAL UNION,3.8286,92_WKD:L#6
82,24,765,19:13:43,19:13:43,MEMORIAL UNION,3.9101,92_WKD:L#6
82,25,49,19:14:50,19:14:50,MEMORIAL UNION,4.081,92_WKD:L#6
82,26,10,19:16:00,19:16:00,DROP OFFS ONLY,4.2426,92_WKD:L#6
80,1,10,16:48:00,16:48:00,TO U.W. HOSPITAL: VIA EAGLE HTS,0.0081,92_WKD:R
80,2,60,16:49:43,16:49:43,TO U.W. HOSPITAL: VIA EAGLE HTS,0.2635,92_WKD:R
80,3,52,16:50:26,16:50:26,TO U.W. HOSPITAL: VIA EAGLE HTS,0.3702,92_WKD:R
80,4,488,16:51:20,16:51:20,TO U.W. HOSPITAL: VIA EAGLE HTS,0.5053,92_WKD:R
80,5,184,16:52:22,16:52:22,TO U.W. HOSPITAL: VIA EAGLE HTS,0.6601,92_WKD:R
80,6,532,16:53:05,16:53:05,TO U.W. HOSPITAL: VIA EAGLE HTS,0.7676,92_WKD:R
80,7,2996,16:53:52,16:53:52,TO U.W. HOSPITAL: VIA EAGLE HTS,0.8845,92_WKD:R
80,8,2978,16:55:00,16:55:00,TO U.W. HOSPITAL: VIA EAGLE HTS,1.0467,92_WKD:R
80,9,2442,16:55:44,16:55:44,TO U.W. HOSPITAL: VIA EAGLE HTS,1.1983,92_WKD:R
80,10,2088,16:57:23,16:57:23,TO U.W. HOSPITAL: VIA EAGLE HTS,1.5375,92_WKD:R
80,11,2125,16:58:17,16:58:17,TO U.W. HOSPITAL: VIA EAGLE HTS,1.7236,92_WKD:R
80,12,2023,16:59:07,16:59:07,TO U.W. HOSPITAL: VIA EAGLE HTS,1.8941,92_WKD:R
80,13,2027,17:00:00,17:00:00,TO U.W. HOSPITAL: VIA EAGLE HTS,2.0662,92_WKD:R
80,14,2938,17:00:52,17:00:52,TO U.W. HOSPITAL: VIA EAGLE HTS,2.3378,92_WKD:R
80,15,2041,17:01:46,17:01:46,TO U.W. HOSPITAL: VIA EAGLE HTS,2.6184,92_WKD:R
80,16,2018,17:02:25,17:02:25,TO U.W. HOSPITAL: VIA EAGLE HTS,2.8219,92_WKD:R
80,17,2026,17:02:41,17:02:41,TO U.W. HOSPITAL: VIA EAGLE HTS,2.906,92_WKD:R
80,18,2082,17:03:00,17:03:00,TO U.W. HOSPITAL: VIA EAGLE HTS,3.0008,92_WKD:R
80,19,2054,17:03:39,17:03:39,TO U.W. HOSPITAL: VIA EAGLE HTS,3.1775,92_WKD:R
80,20,2039,17:04:49,17:04:49,TO U.W. HOSPITAL: VIA EAGLE HTS,3.4911,92_WKD:R
80,21,2061,17:05:04,17:05:04,TO U.W. HOSPITAL: VIA EAGLE HTS,3.5595,92_WKD:R
80,22,2071,17:05:24,17:05:24,TO U.W. HOSPITAL: VIA EAGLE HTS,3.6493,92_WKD:R
80,23,2014,17:06:05,17:06:05,TO U.W. HOSPITAL: VIA EAGLE HTS,3.8338,92_WKD:R
80,24,2034,17:06:48,17:06:48,TO U.W. HOSPITAL,4.0277,92_WKD:R
80,25,2048,17:07:20,17:07:20,TO U.W. HOSPITAL,4.1706,92_WKD:R
80,26,2881,17:08:22,17:08:22,TO U.W. HOSPITAL,4.4487,92_WKD:R
80,27,2050,17:09:15,17:09:15,DROP OFFS ONLY,4.6886,92_WKD:R
80,28,2076,17:10:00,17:10:00,DROP OFFS ONLY,4.8744,92_WKD:R
80,1,336,6:08:00,6:08:00,MEMORIAL UNION,0.0153,92_WKD:R
80,2,5,6:09:02,6:09:02,MEMORIAL UNION,0.1831,92_WKD:R
80,3,61,6:10:03,6:10:03,MEMORIAL UNION,0.3484,92_WKD:R
80,4,75,6:11:12,6:11:12,MEMORIAL UNION,0.5336,92_WKD:R
