OBJECTID,WARD,ALD_DIST,SUP_DIST,ASM_DIST,SEN_DIST,ADDRESS,HANDICAP_ACCESS,SPEC_COMMENTS,PHONE_NO,BALLOT_COLOR,SHAPESTArea,SHAPESTLength
19467,154,1,15,78,26,,,,,,1544363.14871216,5341.39656653345
19468,2,16,24,47,16,,,,,,73270443.1384888,52985.9412938981
19469,3,16,24,47,16,,,,,,8318128.87908936,13256.8322920076
19470,4,16,24,48,16,,,,,,7036292.10174561,14714.0855198503
19471,5,16,16,48,16,,,,,,13674409.3470764,20753.3467086923
19472,6,16,16,48,16,,,,,,16702464.8026733,19342.753137849
19473,8,3,16,48,16,,,,,,74627564.1818848,79197.7961745142
19474,9,3,16,48,16,,,,,,37570514.2967834,33814.909055768
19475,10,3,17,48,16,,,,,,17362089.6558533,17502.8818693128
19476,11,3,17,48,16,,,,,,11595425.5716858,14094.6950580878
19477,12,3,17,48,16,,,,,,23086359.2431335,19854.5464138502
19478,13,15,24,47,16,,,,,,13646105.6791382,15202.3801033261
19479,14,15,24,48,16,,,,,,7308485.07870483,16156.7114429578
19480,15,15,17,48,16,,,,,,11034516.1275635,13688.0549951284
19481,16,15,17,48,16,,,,,,31624643.2344055,35922.5530372525
19482,17,15,17,48,16,,,,,,10823221.5396423,15907.4405687984
19483,18,15,21,48,16,,,,,,13778333.2166443,15649.3203126141
19484,19,15,6,48,16,,,,,,13116438.2956238,16332.1411226172
19485,20,15,6,76,26,,,,,,2742361.28717041,8037.48104218749
19486,21,17,21,48,16,,,,,,42097181.7017517,31139.3065246707
19487,22,17,21,48,16,,,,,,12105032.7337341,24012.2407389255
19488,23,17,21,48,16,,,,,,44865979.6677856,56400.1065719601
19489,24,17,21,48,16,,,,,,53812395.6186218,34858.3458084776
19490,25,17,12,48,16,,,,,,17624246.9634399,16872.8930776416
19491,26,17,12,48,16,,,,,,68127607.8525391,75063.2343202477
19492,27,12,12,48,16,,,,,,68786656.6491394,38221.5546605143
19493,28,12,12,76,26,,,,,,30821799.774353,23610.443829566
19494,30,12,12,76,26,,,,,,13238572.3077087,15965.9815155825
19495,31,12,12,48,16,,,,,,17200981.8790283,22094.7600432271
19496,32,12,12,48,16,,,,,,5732874.37884521,9747.87042564887
19497,33,12,18,48,16,,,,,,10673960.2455444,17763.1162686547
19498,34,18,18,48,16,,,,,,9785802.74981689,13247.8934752202
19499,35,18,18,48,16,,,,,,11345106.6653137,17361.5647428838
19500,36,18,18,48,16,,,,,,33335471.7868652,39507.4222193507
19501,37,18,18,48,16,,,,,,12638914.0742188,17739.666917942
19502,38,18,18,48,16,,,,,,61352861.5543823,66195.8781634491
19503,39,6,6,76,26,,,,,,12968626.641449,20038.5225107177
19504,40,6,6,76,26,,,,,,11514354.2614746,14458.3460312553
19505,41,6,6,76,26,,,,,,10696317.5667725,15558.347580571
19506,42,6,6,76,26,,,,,,12420663.0608521,15509.448380547
19507,43,6,1,76,26,,,,,,1027778.93304443,4143.52807842862
19508,44,2,2,76,26,,,,,,7444411.4899292,12762.8206696677
19509,45,2,2,76,26,,,,,,8251374.63705444,17995.3908968852
19510,46,2,2,76,26,,,,,,3520336.47457886,8243.67687165904
19511,47,2,1,76,26,,,,,,1388959.37286377,5167.76819934967
19512,48,2,5,76,26,,,,,,554535.331939697,3461.36712298254
19513,49,4,5,76,26,,,,,,1748809.69564819,5841.3948640739
19514,50,4,1,76,26,,,,,,2882730.82745361,7670.0620845495
19515,51,4,1,76,26,,,,,,3207747.76327515,8611.29621529356
19516,52,4,1,76,26,,,,,,3796338.1965332,11257.7569425934
