Ward,2 unit Apartment,3-7 unit Apartment,Condominium,Other,Single family,None.HS,East,Lafollette,Memorial,Optional,West,2008Registered_Voters,2009Registered_Voters,2010Registered_Voters,2011Registered_Voters,2012Registered_Voters,2013Registered_Voters,2014Registered_Voters,2015Registered_Voters,2016Registered_Voters,2017Registered_Voters,2018Registered_Voters,2019Registered_Voters,2008Turnout,2009Turnout,2010Turnout,2011Turnout,2012Turnout,2013Turnout,2014Turnout,2015Turnout,2016Turnout,2017Turnout,2018Turnout,2019Turnout,m,lat,lon,people in one unit,condo,2 unit,2 more,total
1,12,3,130,2,803,1,0,1,0,0,0,5020,5516,7926,11314,6227,1585,4405,3102,6402,3734,6213,3626,2919,950,2447,3221,3400,222,1422,376,2946,531,2738,813,0.31,43.03580156,-89.27695652,2066.139597,488.5984785,90.20279604,44.66629633,2689.607168
2,21,1,74,0,487,0,0,1,0,0,0,5032,5324,7294,9886,5626,1229,3374,2320,4596,2464,4001,2204,2847,1075,2470,3597,3043,332,1122,559,2350,588,2100,749,0.36,43.05793615,-89.29822488,1253.063492,278.1252878,157.8548931,14.88876544,1703.932438
3,10,5,3,0,393,0,0,1,0,0,0,2672,2836,3912,5174,4297,903,2637,1742,3555,1848,3152,1715,1561,655,1316,2008,2597,235,955,463,1828,428,1635,616,0.39,43.06907121,-89.28433753,1011.199081,11.2753495,75.1689967,74.44382722,1172.087254
4,10,2,35,0,292,0,0,1,0,0,0,3066,3416,4440,6082,2990,643,1832,1262,2532,1316,2347,1265,1675,511,2198,1746,1826,206,780,364,1381,352,1311,503,0.41,43.0710819,-89.29553022,751.3234899,131.5457442,75.1689967,29.77753089,987.8157617
5,2,0,0,0,526,0,0,1,0,0,0,4362,5586,8153,12140,5317,1140,3156,2097,4210,2217,3822,2024,3006,902,2800,3587,3147,342,1270,617,2302,551,2003,776,0.34,43.07725224,-89.30160544,1353.411492,0,15.03379934,0,1368.445291
6,67,0,9,0,838,0,0,1,0,0,0,3284,3402,4600,6290,9020,1964,5558,3847,7692,4031,6911,3767,1855,774,1736,2478,5169,550,2240,1099,4048,1043,3726,1393,0.4,43.07998798,-89.29165234,2156.195495,33.82604851,503.6322779,0,2693.653821
7,18,2,439,0,152,0,0,1,0,0,0,3746,3986,5356,7410,5366,1170,3335,2345,4634,2481,4165,2329,2057,629,1843,2580,3145,316,1207,580,2346,520,2203,880,0.37,43.08034714,-89.27138943,391.0998989,1649.959477,135.3041941,29.77753089,2206.141101
8,12,3,214,0,659,1,0,1,0,0,0,3556,4024,4945,6696,7746,1803,5263,3717,7504,4073,6518,3946,1709,467,1274,1605,4522,469,1841,694,3657,737,3343,1157,0.33,43.10756744,-89.26031282,1695.623904,804.3082647,90.20279604,44.66629633,2634.801261
9,2,9,348,1,889,0,0,1,0,0,0,1834,2140,2476,1738,8497,1996,5559,4100,8580,5122,8925,5584,803,145,589,476,4893,599,2219,988,4631,1026,4706,1684,0.34,43.09569069,-89.27666181,2287.419803,1307.940543,15.03379934,133.998889,3744.393034
10,8,0,0,0,781,0,0,1,0,0,0,3290,3490,4676,6436,8056,1665,4655,3229,6454,3343,5942,3159,1872,736,1533,2420,5053,633,1981,1055,3565,908,3241,1339,0.42,43.091695,-89.29144959,2009.533033,0,60.13519736,0,2069.66823
11,72,1,33,0,185,0,0,1,0,0,0,5006,5312,7098,9790,4000,978,2594,1813,3528,1937,2860,1732,2676,1080,2181,3577,2041,137,779,294,1525,233,1230,356,0.31,43.10272994,-89.29341214,476.0097453,124.0288445,541.2167762,14.88876544,1156.144132
12,38,0,94,0,888,0,0,1,0,0,0,2422,2664,3326,4666,9404,2039,5860,3891,7911,4197,6967,3804,1236,381,825,1467,5487,571,2284,1017,4519,1110,3567,1330,0.37,43.0916229,-89.30574185,2284.846778,353.2942845,285.6421874,0,2923.783249
13,36,19,0,0,268,0,0,1,0,0,0,1156,1266,1579,2246,2865,643,1798,1222,2437,1318,2103,1149,526,166,478,637,1701,206,643,311,1238,253,973,402,0.35,43.06632825,-89.31741552,689.5708743,0,270.6083881,282.8865434,1243.065806
14,4,1,0,0,305,0,0,1,0,0,0,2682,2994,3851,2646,2522,532,1499,1025,2070,1073,1860,999,1872,407,1076,1066,1630,197,655,314,1129,362,1232,512,0.44,43.07376568,-89.32027018,784.7728234,0,30.06759868,14.88876544,829.7291875
