X,Y,OBJECTID,StopID,StopDescription,Lat,Lon,IntersectionID,Weekday,Saturday,Sunday,Weekday_1_79,Saturday_1_79,Sunday_1_79,WkdSvc,WkdBdPerSvc,DotSize
-89.4070129656482,43.0710530583991,10799,5,Dayton fs Orchard,43.071061,-89.407019,200,322.93,79.33,82.51,0,0,0,0,0,1614630.66
-89.4002289669525,43.0758890570175,10800,10,Langdon ns Park,43.075897,-89.400235,76,971.9,562.56,425.49,0,0,0,0,0,4859498.97
-89.3969899677741,43.0758410568999,10801,25,EB Langdon fs Lake,43.075849,-89.396996,759,24.06,9.68,9,0,0,0,0,0,120276.59
-89.3973089681123,43.0718190578856,10802,39,Lake ns Johnson,43.071827,-89.397315,735,664.91,80.67,72.07,0,0,0,0,0,3324569.38
-89.3900769689855,43.078389055931,10803,45,EB Langdon ns Wisconsin,43.078397,-89.390083,77,0.78,6.67,0,0,0,0,0,0,3897.85
-89.4127119635866,43.0746310583779,10804,47,NB Babcock ns Linden,43.074639,-89.412718,751,6.22,0,0,0,0,0,0,0,31115.27
-89.3973099677128,43.0756230574144,10805,49,Lake ns Langdon,43.075631,-89.397316,759,723.73,138.14,94.1,0,0,0,0,0,3618639.87
-89.4024819670196,43.0693850586472,10806,50,WB Spring ns Brooks,43.069393,-89.402488,723,0,0,0,0,0,0,0,0,0
-89.4056189655139,43.0760620572921,10807,52,WB Observatory ns Charter,43.07607,-89.405625,426,269.4,30.02,6.22,0,0,0,0,0,1346990.88
-89.4037959652028,43.0758460571122,10808,53,EB Observatory at North Hall,43.075854,-89.403802,39,0,1,0.33,0,0,0,0,0,0
-89.4038429665611,43.0693880585365,10809,54,WB Spring ns Mills,43.069396,-89.403849,407,0,0,0,0,0,0,0,0,0
-89.4070419649955,43.0766200571986,10810,56,WB Observatory at Liz Waters,43.076628,-89.407048,978,2.9,3.34,0.33,0,0,0,0,0,14477.74
-89.403612965506,43.0759060571241,10811,60,WB Observatory at Bascom,43.075914,-89.403619,39,167.84,36.33,1.39,0,0,0,0,0,839214.57
-89.4037379664852,43.0709690584395,10812,61,Dayton fs Mills,43.070977,-89.403744,731,102.48,15.33,7.66,0,0,0,0,0,512420.98
-89.3975179675412,43.0722070574404,10813,68,SB Lake ns Johnson,43.072215,-89.397524,735,5.45,0.68,4.67,0,0,0,0,0,27234.49
-89.4006779665012,43.0743090576665,10814,70,SB Park ns Lathrop,43.074317,-89.400684,977,5.11,0,0.33,0,0,0,0,0,25567.07
-89.3996829677464,43.0709060580293,10815,75,Dayton fs Park,43.070914,-89.399689,730,421.49,78.67,52.92,0,0,0,0,0,2107429.39
-89.3924129688467,43.0740650569229,10816,87,NB Broom ns Gorham,43.074073,-89.392419,742,109.15,39.67,3.67,0,0,0,0,0,545727.85
-89.3921709686868,43.0769190571039,10817,89,EB Langdon fs Henry,43.076927,-89.392177,764,2.23,6.67,0.67,0,0,0,0,0,11136.72
-89.3881579704907,43.0775960565141,10818,96,SB Wisconsin ns Gorham,43.077604,-89.388164,760,3.79,19.36,0,0,0,0,0,0,18932.43
-89.4001059667139,43.0758170575372,10819,99,Langdon fs Park,43.075825,-89.400112,76,156.68,128.54,118,0,0,0,0,0,783381.33
-89.4013519664126,43.0733450574635,10820,100,WB University fs Park,43.073353,-89.401358,194,1177.57,236.65,170.68,0,0,0,0,0,5887857.48
-89.4041909666729,43.0711930583395,10821,104,SB Mills ns Dayton,43.071201,-89.404197,731,125.3,18.09,18.33,0,0,0,0,0,626490.9
-89.3966269703184,43.0544100604269,10822,107,NB Park fs Olin,43.054418,-89.396633,366,30.38,13.35,8.07,0,0,0,0,0,151924.58
-89.3925169721634,43.0498450607193,10823,110,Gilson ns Beld,43.049853,-89.392523,348,0,0,0,0,0,0,0,0,0
-89.3977189691215,43.064983058607,10824,113,EB Washington at Brittingham,43.064991,-89.397725,60,17.16,9,11.33,0,0,0,0,0,85805.04
-89.4008059673311,43.0680700590404,10825,115,NB Park fs Regent,43.068078,-89.400812,710,50.74,23,12.41,0,0,0,0,0,253707.16
-89.4011779705338,43.0385330637114,10826,121,EB Badger fs Fiedler,43.038541,-89.401184,317,6.37,5.36,3.34,0,0,0,0,0,31857.08
-89.394214971094,43.0489760618152,10827,124,SB Park fs Wingra,43.048984,-89.394221,653,2.02,1.67,0.67,0,0,0,0,0,10078.27
-89.413250962685,43.0733290585543,10828,133,EB University fs Breese,43.073337,-89.413257,420,123.65,42.2,26.4,0,0,0,0,0,618264.38
-89.3991239695494,43.0540500607604,10829,146,SB Fish Hatchery fs Midland,43.054058,-89.39913,668,1.34,0.33,0.67,0,0,0,0,0,6693.74
-89.3919089710768,43.0539460607294,10830,147,EB Olin fs Hickory,43.053954,-89.391915,667,4.95,3.68,3.04,0,0,0,0,0,24742.37
-89.3842519752785,43.0412570620729,10831,150,Rusk ns Nygard,43.041265,-89.384258,103,17.79,7.69,4.72,0,0,0,0,0,88925.88
-89.3806139750332,43.0520950602689,10832,153,EB Olin fs Expo,43.052103,-89.38062,101,5.74,2.34,2.36,0,0,0,0,0,28703.92
-89.4041129671056,43.0629340593982,10833,158,SB Mills fs Vilas,43.062942,-89.404119,700,4.01,1,0.67,0,0,0,0,0,20067.69
-89.4094269641828,43.07349805823,10834,160,WB University fs Randall,43.073506,-89.409433,191,805.06,105.93,80.51,0,0,0,0,0,4025294.73
-89.3870839716459,43.0701420574788,10835,161,NB Broom fs Doty,43.07015,-89.38709,975,297.76,5.76,3.67,0,0,0,0,0,1488780.33
-89.4009589673295,43.0651730586907,10836,162,SB Park at Meriter,43.065181,-89.400965,61,4.03,1.34,3.37,0,0,0,0,0,20167.13
-89.3756049767601,43.0457980607398,10837,166,SB Rimrock fs John Nolen,43.045806,-89.375611,649,4.62,5.01,3.04,0,0,0,0,0,23075.7
-89.4039929669303,43.0651510589307,10838,167,NB Mills ns Mound,43.065159,-89.403999,706,85.42,14.07,14.33,0,0,0,0,0,427108.39
-89.3870259714949,43.0727230571842,10839,168,WB Washington ns Henry,43.072731,-89.387032,737,25.45,5.33,4.33,0,0,0,0,0,127254.69
-89.4040649686089,43.0416550629722,10840,170,SB Fish Hatchery ns Catalpa,43.041663,-89.404071,327,3.68,0,1.33,0,0,0,0,0,18401.02
-89.3918319721372,43.0428680622656,10841,171,NB Fisher ns Dane,43.042876,-89.391838,330,5.4,5.35,1.35,0,0,0,0,0,27015.46
-89.3980329710853,43.038498063126,10842,173,EB Badger ns Cypress,43.038506,-89.398039,316,4.92,2,3.02,0,0,0,0,0,24603.1
-89.3986939693627,43.0564840600604,10843,174,SB Park fs Fish Hatchery,43.056492,-89.3987,676,3.94,1.67,1.68,0,0,0,0,0,19688.72
-89.4070449654141,43.0734970578543,10844,178,WB University fs Orchard,43.073505,-89.407051,192,1101.21,114.61,86.56,0,0,0,0,0,5506064.76
-89.400944966676,43.0711240579469,10845,180,SB Park ns Dayton,43.071132,-89.400951,730,72.9,57.21,28.84,0,0,0,0,0,364496.97
-89.3949789704211,43.0523680607852,10846,181,NB Park fs Beld,43.052376,-89.394985,661,16.6,6,8.33,0,0,0,0,0,82988.13
-89.4103989635091,43.0751730581951,10847,184,WB Linden ns Henry,43.075181,-89.410405,81,206.26,15.33,11.14,0,0,0,0,0,1031312.08
-89.40414796692,43.0679600588571,10848,190,SB Mills ns Regent,43.067968,-89.404154,711,51.15,9.04,10.67,0,0,0,0,0,255755.86
-89.391900971601,43.0540740608447,10849,192,WB Olin ns Hickory,43.054082,-89.391907,667,29.47,6.01,3.71,0,0,0,0,0,147339.15
-89.3938919712884,43.0471500619849,10850,195,Park at Park House,43.047158,-89.393898,217,19.82,1.67,3,0,0,0,0,0,99099.24
-89.3770519771352,43.0433090616455,10851,203,NB Rimrock fs Rusk,43.043317,-89.377058,102,21.47,5.01,5.73,0,0,0,0,0,107374.51
-89.4071479660446,43.0678520587824,10852,208,WB Regent ns Orchard,43.06786,-89.407154,712,32.22,17.41,8.71,0,0,0,0,0,161106.49
-89.400623967805,43.063734058971,10853,217,Park fs Washington,43.063742,-89.40063,701,13.71,8.35,8.43,0,0,0,0,0,68562.56
-89.3918399717605,43.0455260621101,10854,222,SB Fisher fs Bram,43.045534,-89.391846,218,6.53,3.68,2.02,0,0,0,0,0,32643.68
-89.3962119694518,43.0660240589238,10855,225,EB Washington at Park View,43.066032,-89.396218,59,5.95,3,2,0,0,0,0,0,29729.56
-89.3978609688502,43.0678000582201,10856,226,WB Regent ns Campus,43.067808,-89.397867,56,0.33,0,0,0,0,0,0,0,1666.67
-89.4038479659248,43.0733950576605,10857,234,WB University ns Mills,43.073403,-89.403854,417,172.16,20.38,14.38,0,0,0,0,0,860785.89
-89.3873009706359,43.072455057495,10858,235,WB Washington ns Henry,43.072463,-89.387307,737,6.16,2,3.67,0,0,0,0,0,30818.31
-89.4137049637574,43.0671350595684,10859,241,Monroe at Breese,43.067143,-89.413711,1001,0,12.33,16.12,0,0,0,0,0,0
-89.3746899769634,43.0472390605818,10860,243,NB John Nolen fs Rimrock,43.047247,-89.374696,649,34.01,6.01,1.01,0,0,0,0,0,170053.58
-89.4089769640679,43.0719750583804,10861,245,Randall ns Engineering,43.071983,-89.408983,193,0,25.33,23.51,0,0,0,0,0,0
-89.3823939725029,43.0718340572782,10862,248,WB Wilson ns Carroll,43.071842,-89.3824,79,30.94,0,0,0,0,0,0,0,154717.58
-89.4006139685357,43.060118060188,10863,251,Park fs Erin,43.060126,-89.40062,683,37.98,17.01,17.76,0,0,0,0,0,189915.36
-89.3913939699123,43.0748410570036,10864,252,WB State ns Gorham,43.074849,-89.3914,749,318.55,172.02,139.86,0,0,0,0,0,1592732.64
-89.40417496598,43.0730700583103,10865,256,SB Mills fs University,43.073078,-89.404181,417,28.68,3.01,5.39,0,0,0,0,0,143404.39
-89.3967969679211,43.0748290569974,10866,265,EB State fs Lake,43.074837,-89.396803,196,283.72,83.86,63.12,0,0,0,0,0,1418592.06
-89.3990709685448,43.0562920607867,10867,266,Fish Hatchery fs Park,43.0563,-89.399077,676,1.56,2.01,2,0,0,0,0,0,7804.85
-89.4003369677786,43.067587058455,10868,271,EB Regent fs Park,43.067595,-89.400343,710,2.56,0,0,0,0,0,0,0,12777.78
-89.3980709680433,43.0675700587599,10869,273,EB Regent fs Campus,43.067578,-89.398077,56,0.89,0,0,0,0,0,0,0,4444.44
-89.3892439708432,43.0712320573227,10870,274,WB Washington fs Broom,43.07124,-89.38925,733,58.4,13.67,10,0,0,0,0,0,291987.93
-89.40083496778,43.0595740603692,10871,288,SB Park fs Erin,43.059582,-89.400841,683,54.03,19.05,13.37,0,0,0,0,0,270159.55
-89.3899399723414,43.0539600606088,10872,289,EB Olin fs Gilson,43.053968,-89.389946,365,2.81,1,1.69,0,0,0,0,0,14070.55
-89.3842749749382,43.0395110621448,10873,294,Rusk ns Rusk,43.039519,-89.384281,104,3.49,0.33,0.67,0,0,0,0,0,17447.48
-89.4127079626835,43.0754450584331,10874,298,SB Babcock ns Linden,43.075453,-89.412714,751,199.84,6.67,1.74,0,0,0,0,0,999206.81
-89.4037989671359,43.0599210605398,10875,300,WB Erin ns Mills,43.059929,-89.403805,682,52.72,8.04,7,0,0,0,0,0,263581.02
-89.3870039716404,43.0684330579307,10876,313,EB Wilson fs Bassett,43.068441,-89.38701,976,20.36,3.39,0,0,0,0,0,0,101779.86
-89.3919399724583,43.0430210623611,10877,320,SB Fisher ns Dane,43.043029,-89.391946,330,6.3,3.34,3.04,0,0,0,0,0,31518.03
-89.4037939663026,43.0676620591253,10878,327,EB Regent fs Mills,43.06767,-89.4038,711,53.93,32,25.44,0,0,0,0,0,269673.36
-89.4091309650278,43.0720210587552,10879,336,Randall fs Engineering,43.072029,-89.409137,193,427.32,84.67,92.08,0,0,0,0,0,2136582.45
-89.4005109664891,43.0730270576466,10880,341,NB Park ns University,43.073035,-89.400517,194,7.89,9.49,9.67,0,0,0,0,0,39462.22
-89.3872719729075,43.0539760600714,10881,346,WB Olin fs Lake,43.053984,-89.387278,364,14.52,1,2.02,0,0,0,0,0,72604.04
-89.4137949641049,43.0680130596499,10882,349,NB Breese fs Regent,43.068021,-89.413801,62,71.24,13.56,9.33,0,0,0,0,0,356207.97
-89.4030639698991,43.0385720637928,10883,353,EB Badger fs Fish Hatchery,43.03858,-89.40307,638,9.06,1.34,2,0,0,0,0,0,45276.84
-89.3901989720184,43.0537830600904,10884,357,Gilson ns Olin,43.053791,-89.390205,365,4.78,0,0,0,0,0,0,0,23888.89
-89.3971499696577,43.0546280603012,10885,360,SB Park ns Olin,43.054636,-89.397156,366,2.24,1,0,0,0,0,0,0,11222.92
-89.3872019728017,43.0537840605084,10886,367,EB Olin fs Lake,43.053792,-89.387208,364,2.03,1,1.01,0,0,0,0,0,10130.8
-89.4040329669383,43.0633110598863,10887,375,NB Mills fs Vilas,43.063319,-89.404039,700,78.3,17.75,14,0,0,0,0,0,391494.17
-89.377972975247,43.0517420603004,10888,379,John Nolen fs Olin,43.05175,-89.377979,660,0.11,0,0,0,0,0,0,0,556.34
-89.4010409675672,43.069435058279,10889,388,SB Park ns Spring,43.069443,-89.401047,405,16.48,11.36,6.71,0,0,0,0,0,82388.47
-89.4038249690972,43.0444350629024,10890,391,NB Fish Hatchery ns Carver,43.044443,-89.403831,335,28.11,11.39,5.33,0,0,0,0,0,140527.97
-89.4041149662919,43.0697050588608,10891,392,SB Mills ns Spring,43.069713,-89.404121,407,16.37,7.7,4,0,0,0,0,0,81829.12
-89.4092739643299,43.0678670591762,10892,398,WB Regent fs Randall,43.067875,-89.40928,207,28.04,40.29,17.06,0,0,0,0,0,140214.81
-89.4038519688942,43.0417880630602,10893,405,NB Fish Hatchery fs Catalpa,43.041796,-89.403858,327,19.85,4.02,6.67,0,0,0,0,0,99267.95
-89.4143169631583,43.0678920590816,10894,406,WB Regent fs Breese,43.0679,-89.414323,62,18.93,10.67,6.37,0,0,0,0,0,94630.45
-89.3774319764009,43.0429140611941,10895,410,SB Rimrock ns Rusk,43.042922,-89.377438,102,2.25,1,1.01,0,0,0,0,0,11251.25
-89.392339970105,43.0690120577316,10896,418,WB Washington ns Bedford,43.06902,-89.392346,720,37.7,9.33,10,0,0,0,0,0,188502.88
-89.3838019737081,43.0531240602944,10897,424,WB Olin ns Colby,43.053132,-89.383808,663,2.7,2,0,0,0,0,0,0,13507.73
-89.3926259716446,43.0496440610116,10898,433,NB Beld ns Gilson,43.049652,-89.392632,348,3.78,0,0,0,0,0,0,0,18888.89
-89.3971679682928,43.0720090577318,10899,435,EB Johnson fs Lake,43.072017,-89.397174,735,200.3,55.09,50.57,0,0,0,0,0,1001501.95
-89.4064729646492,43.0750390578,10900,438,EB Linden ns Charter,43.075047,-89.406479,190,666.26,15.67,8.01,0,0,0,0,0,3331291.37
-89.4040349663087,43.0718870580361,10901,441,NB Mills ns Johnson,43.071895,-89.404041,417,30.34,11.39,10.67,0,0,0,0,0,151718.05
-89.4040189666114,43.0698690586415,10902,445,NB Mills fs Spring,43.069877,-89.404025,407,25.82,11.39,14,0,0,0,0,0,129103.24
