OBJECTID,StopID,Route,Lat,Lon,DailyBoard,DotSize,geometry
1385,5,80,43.071061,-89.407019,79.33,793333.33,POINT (-89.40701296564816 43.07105305839906)
1386,10,80,43.075897,-89.400235,441.33,4413333.33,POINT (-89.40022896695245 43.07588905701752)
1387,10,81,43.075897,-89.400235,115.47,1154662.06,POINT (-89.40022896695245 43.07588905701752)
1388,10,82,43.075897,-89.400235,5.76,57641.44,POINT (-89.40022896695245 43.07588905701752)
1389,25,81,43.075849,-89.396996,9.68,96778.03,POINT (-89.39698996777406 43.07584105689991)
1390,39,80,43.071827,-89.397315,80.67,806666.67,POINT (-89.39730896811234 43.07181905788557)
1391,45,81,43.078397,-89.390083,6.67,66743.47,POINT (-89.39007696898551 43.07838905593098)
1392,49,80,43.075631,-89.397316,107.67,1076666.67,POINT (-89.39730996771283 43.0756230574144)
1393,49,81,43.075631,-89.397316,23.69,236939.32,POINT (-89.39730996771283 43.0756230574144)
1394,49,82,43.075631,-89.397316,6.78,67813.46,POINT (-89.39730996771283 43.0756230574144)
1395,52,80,43.07607,-89.405625,9.67,96666.67,POINT (-89.40561896551391 43.07606205729214)
1396,52,81,43.07607,-89.405625,20.36,203567.59,POINT (-89.40561896551391 43.07606205729214)
1397,53,81,43.075854,-89.403802,1.0,10011.52,POINT (-89.40379596520279 43.07584605711215)
1398,56,81,43.076628,-89.407048,3.34,33371.74,POINT (-89.40704196499546 43.07662005719862)
1399,60,80,43.075914,-89.403619,35.33,353333.33,POINT (-89.40361296550596 43.07590605712405)
1400,60,81,43.075914,-89.403619,1.0,10011.52,POINT (-89.40361296550596 43.07590605712405)
1401,61,80,43.070977,-89.403744,15.33,153333.33,POINT (-89.40373796648522 43.07096905843948)
1402,68,82,43.072215,-89.397524,0.68,6781.35,POINT (-89.39751796754121 43.07220705744043)
1403,75,80,43.070914,-89.399689,78.67,786666.67,POINT (-89.39968296774644 43.07090605802932)
1404,87,82,43.074073,-89.392419,39.67,396708.72,POINT (-89.3924129688467 43.07406505692287)
1405,89,81,43.076927,-89.392177,6.67,66743.47,POINT (-89.39217096868681 43.07691905710394)
1406,96,81,43.077604,-89.388164,19.36,193556.07,POINT (-89.38815797049072 43.07759605651413)
1407,99,81,43.075825,-89.400112,82.43,824281.87,POINT (-89.40010596671391 43.07581705753719)
1408,99,82,43.075825,-89.400112,46.11,461131.5,POINT (-89.40010596671391 43.07581705753719)
1409,100,2,43.073353,-89.401358,147.49,1474938.58,POINT (-89.40135196641265 43.0733450574635)
