OBJECTID,StopID,Route,Lat,Lon,DailyBoard,DotSize,geometry
1306,5,80,43.071061,-89.407019,82.51,825131.3,POINT (-89.40701296564816 43.07105305839906)
1307,10,80,43.075897,-89.400235,332.49,3324896.17,POINT (-89.40022896695245 43.07588905701752)
1308,10,81,43.075897,-89.400235,69.0,690000.0,POINT (-89.40022896695245 43.07588905701752)
1309,10,82,43.075897,-89.400235,24.0,240000.0,POINT (-89.40022896695245 43.07588905701752)
1310,25,81,43.075849,-89.396996,9.0,90000.0,POINT (-89.39698996777406 43.07584105689991)
1311,39,80,43.071827,-89.397315,72.07,720684.3,POINT (-89.39730896811234 43.07181905788557)
1312,49,80,43.075631,-89.397316,72.76,727647.43,POINT (-89.39730996771283 43.0756230574144)
1313,49,81,43.075631,-89.397316,9.33,93333.33,POINT (-89.39730996771283 43.0756230574144)
1314,49,82,43.075631,-89.397316,12.0,120000.0,POINT (-89.39730996771283 43.0756230574144)
1315,52,80,43.07607,-89.405625,5.22,52223.5,POINT (-89.40561896551391 43.07606205729214)
1316,52,81,43.07607,-89.405625,1.0,10000.0,POINT (-89.40561896551391 43.07606205729214)
1317,53,81,43.075854,-89.403802,0.33,3333.33,POINT (-89.40379596520279 43.07584605711215)
1318,56,81,43.076628,-89.407048,0.33,3333.33,POINT (-89.40704196499546 43.07662005719862)
1319,60,80,43.075914,-89.403619,1.39,13926.27,POINT (-89.40361296550596 43.07590605712405)
1320,61,80,43.070977,-89.403744,7.66,76594.47,POINT (-89.40373796648522 43.07096905843948)
1321,68,82,43.072215,-89.397524,4.67,46666.67,POINT (-89.39751796754121 43.07220705744043)
1322,70,82,43.074317,-89.400684,0.33,3333.33,POINT (-89.40067796650125 43.07430905766654)
1323,75,80,43.070914,-89.399689,52.92,529198.13,POINT (-89.39968296774644 43.07090605802932)
1324,87,82,43.074073,-89.392419,3.67,36666.67,POINT (-89.3924129688467 43.07406505692287)
1325,89,81,43.076927,-89.392177,0.67,6666.67,POINT (-89.39217096868681 43.07691905710394)
1326,99,81,43.075825,-89.400112,49.0,490000.0,POINT (-89.40010596671391 43.07581705753719)
1327,99,82,43.075825,-89.400112,69.0,690000.0,POINT (-89.40010596671391 43.07581705753719)
