OBJECTID,StopID,Route,Lat,Lon,DailyBoard,DotSize,geometry
20007,5,80,43.071061,-89.407019,322.93,3229261.32,POINT (-89.40701296564816 43.07105305839906)
20008,10,80,43.075897,-89.400235,875.26,8752643.7,POINT (-89.40022896695245 43.07588905701752)
20009,10,81,43.075897,-89.400235,79.74,797389.24,POINT (-89.40022896695245 43.07588905701752)
20010,10,82,43.075897,-89.400235,16.9,168965.0,POINT (-89.40022896695245 43.07588905701752)
20011,25,81,43.075849,-89.396996,24.06,240553.18,POINT (-89.39698996777406 43.07584105689991)
20012,39,80,43.071827,-89.397315,664.91,6649138.76,POINT (-89.39730896811234 43.07181905788557)
20013,45,81,43.078397,-89.390083,0.78,7795.7,POINT (-89.39007696898551 43.07838905593098)
20014,47,11,43.074639,-89.412718,0.22,2230.54,POINT (-89.41271196358659 43.07463105837788)
20015,47,27,43.074639,-89.412718,6.0,60000.0,POINT (-89.41271196358659 43.07463105837788)
20016,49,80,43.075631,-89.397316,701.13,7011309.38,POINT (-89.39730996771283 43.0756230574144)
20017,49,81,43.075631,-89.397316,16.93,169278.16,POINT (-89.39730996771283 43.0756230574144)
20018,49,82,43.075631,-89.397316,5.67,56692.2,POINT (-89.39730996771283 43.0756230574144)
20019,52,80,43.07607,-89.405625,263.05,2630502.45,POINT (-89.40561896551391 43.07606205729214)
20020,52,81,43.07607,-89.405625,6.35,63479.31,POINT (-89.40561896551391 43.07606205729214)
20021,56,81,43.076628,-89.407048,2.9,28955.48,POINT (-89.40704196499546 43.07662005719862)
20022,60,80,43.075914,-89.403619,166.17,1661724.05,POINT (-89.40361296550596 43.07590605712405)
20023,60,81,43.075914,-89.403619,1.67,16705.08,POINT (-89.40361296550596 43.07590605712405)
20024,61,80,43.070977,-89.403744,102.48,1024841.96,POINT (-89.40373796648522 43.07096905843948)
20025,68,82,43.072215,-89.397524,5.45,54468.98,POINT (-89.39751796754121 43.07220705744043)
20026,70,82,43.074317,-89.400684,5.11,51134.14,POINT (-89.40067796650125 43.07430905766654)
20027,75,80,43.070914,-89.399689,421.49,4214858.78,POINT (-89.39968296774644 43.07090605802932)
20028,87,1,43.074073,-89.392419,5.25,52495.96,POINT (-89.3924129688467 43.07406505692287)
20029,87,10,43.074073,-89.392419,38.9,388964.56,POINT (-89.3924129688467 43.07406505692287)
20030,87,11,43.074073,-89.392419,2.12,21190.12,POINT (-89.3924129688467 43.07406505692287)
