stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,7:00:00,7:00:00,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,0.0097
2,2324,7:00:38,7:00:38,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,0.2342
3,2522,7:01:03,7:01:03,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,0.3808
4,8418,7:01:50,7:01:50,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,0.653
5,8742,7:02:18,7:02:18,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,0.8151
6,8827,7:03:14,7:03:14,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,1.1431
7,8721,7:04:04,7:04:04,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,1.4340000000000002
8,8661,7:04:31,7:04:31,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,1.5943
9,8479,7:05:00,7:05:00,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,1.7391
10,4494,7:06:33,7:06:33,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,2.2228
11,4326,7:07:06,7:07:06,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,2.395
12,4714,7:07:41,7:07:41,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,2.5785
13,4500,7:08:09,7:08:09,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,2.7248
14,4202,7:08:38,7:08:38,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,2.8773
15,4580,7:09:06,7:09:06,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,3.025
16,4856,7:09:23,7:09:23,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,3.1162
17,4990,7:10:02,7:10:02,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,3.3224
18,4791,7:10:38,7:10:38,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,3.5135
19,4849,7:11:07,7:11:07,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,3.6643
20,4663,7:11:33,7:11:33,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,3.7994
21,4437,7:11:52,7:11:52,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,3.9023
22,4179,7:12:16,7:12:16,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,4.0309
23,4263,7:12:52,7:12:52,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,4.2212
24,4719,7:13:11,7:13:11,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,4.3234
25,4761,7:14:00,7:14:00,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,4.5292
26,4685,7:14:36,7:14:36,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,4.7317
27,4539,7:14:49,7:14:49,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,4.8057
28,4873,7:16:02,7:16:02,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,5.2113
29,4139,7:16:23,7:16:23,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,5.3291
30,4377,7:17:05,7:17:05,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,5.5647
31,4841,7:17:53,7:17:53,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,5.8338
32,4426,7:19:10,7:19:10,SOUTH TRANSFER: VIA COHO,6.2636
33,4739,7:20:00,7:20:00,SOUTH TRANSFER: VIA COHO,6.5245
34,4373,7:20:39,7:20:39,SOUTH TRANSFER: VIA COHO,6.6989
35,4443,7:21:07,7:21:07,SOUTH TRANSFER: VIA COHO,6.8261
36,4845,7:22:37,7:22:37,SOUTH TRANSFER: VIA COHO,7.2256
37,353,7:23:14,7:23:14,SOUTH TRANSFER: VIA COHO,7.3908
38,121,7:23:39,7:23:39,SOUTH TRANSFER: VIA COHO,7.5039
39,173,7:24:15,7:24:15,SOUTH TRANSFER: VIA COHO,7.6637
40,4100,7:25:00,7:25:00,DROP OFFS ONLY,7.8433
