stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,1100,6:12:00,6:12:00,SOUTH TRANSFER,0.0229
2,1324,6:12:42,6:12:42,SOUTH TRANSFER,0.1574
3,1790,6:13:19,6:13:19,SOUTH TRANSFER,0.2752
4,168,6:13:38,6:13:38,SOUTH TRANSFER,0.3376
5,274,6:14:26,6:14:26,SOUTH TRANSFER,0.4901
6,512,6:15:05,6:15:05,SOUTH TRANSFER,0.6154
7,418,6:15:36,6:15:36,SOUTH TRANSFER,0.7138
8,768,6:16:09,6:16:09,SOUTH TRANSFER,0.8214
9,516,6:16:49,6:16:49,SOUTH TRANSFER,0.9496
10,770,6:17:40,6:17:40,SOUTH TRANSFER,1.1144
11,840,6:18:45,6:18:45,SOUTH TRANSFER,1.3216
12,288,6:20:00,6:20:00,SOUTH TRANSFER,1.5465
13,174,6:20:54,6:20:54,SOUTH TRANSFER,1.7934
14,362,6:21:41,6:21:41,SOUTH TRANSFER,2.0095
15,890,6:22:12,6:22:12,SOUTH TRANSFER,2.153
16,124,6:23:00,6:23:00,SOUTH TRANSFER,2.3724
17,582,6:23:31,6:23:31,SOUTH TRANSFER,2.5140000000000002
18,730,6:24:11,6:24:11,SOUTH TRANSFER,2.6955
19,906,6:24:54,6:24:54,SOUTH TRANSFER,2.8907
20,4100,6:26:00,6:26:00,DROP OFFS ONLY,3.1734
