stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,7:01:00,7:01:00,PRAIRIE TOWNE: VIA OLD SAUK,0.0097
2,2925,7:01:53,7:01:53,PRAIRIE TOWNE: VIA OLD SAUK,0.3175
3,2401,7:02:52,7:02:52,PRAIRIE TOWNE: VIA OLD SAUK,0.6611
4,2249,7:03:29,7:03:29,PRAIRIE TOWNE: VIA OLD SAUK,0.8757
5,2669,7:04:00,7:04:00,PRAIRIE TOWNE: VIA OLD SAUK,1.0579
6,2366,7:04:30,7:04:30,PRAIRIE TOWNE: VIA OLD SAUK,1.2329999999999999
7,2228,7:04:52,7:04:52,PRAIRIE TOWNE: VIA OLD SAUK,1.3636
8,2278,7:05:12,7:05:12,PRAIRIE TOWNE: VIA OLD SAUK,1.4829
9,2196,7:05:32,7:05:32,PRAIRIE TOWNE: VIA OLD SAUK,1.5998
10,2351,7:06:00,7:06:00,PRAIRIE TOWNE: VIA OLD SAUK,1.7467
11,2385,7:06:42,7:06:42,PRAIRIE TOWNE: VIA OLD SAUK,1.9543
12,2567,7:07:35,7:07:35,PRAIRIE TOWNE: VIA OLD SAUK,2.2115
13,6678,7:08:20,7:08:20,PRAIRIE TOWNE: VIA OLD SAUK,2.4339
14,6340,7:09:33,7:09:33,PRAIRIE TOWNE: VIA OLD SAUK,2.7911
15,6784,7:10:24,7:10:24,PRAIRIE TOWNE: VIA OLD SAUK,3.0403
16,6506,7:11:08,7:11:08,PRAIRIE TOWNE: VIA OLD SAUK,3.2547
17,6176,7:11:55,7:11:55,PRAIRIE TOWNE: VIA OLD SAUK,3.487
18,6136,7:12:54,7:12:54,PRAIRIE TOWNE: VIA OLD SAUK,3.7758
19,6902,7:13:16,7:13:16,PRAIRIE TOWNE: VIA OLD SAUK,3.8865
20,6570,7:13:53,7:13:53,PRAIRIE TOWNE: VIA OLD SAUK,4.0673
21,6588,7:15:00,7:15:00,PRAIRIE TOWNE: VIA OLD SAUK,4.3658
22,6474,7:15:48,7:15:48,PRAIRIE TOWNE: VIA OLD SAUK,4.6125
23,6527,7:16:09,7:16:09,PRAIRIE TOWNE: VIA OLD SAUK,4.7195
24,6165,7:16:42,7:16:42,PRAIRIE TOWNE: VIA OLD SAUK,4.8871
25,6246,7:17:14,7:17:14,PRAIRIE TOWNE: VIA OLD SAUK,5.0534
26,6258,7:18:03,7:18:03,PRAIRIE TOWNE: VIA OLD SAUK,5.3036
27,6334,7:19:00,7:19:00,PRAIRIE TOWNE: VIA OLD SAUK,5.5847
28,6483,7:19:41,7:19:41,PRAIRIE TOWNE: VIA OLD SAUK,5.8188
29,6840,7:20:22,7:20:22,PRAIRIE TOWNE: VIA OLD SAUK,6.0531
30,6430,7:21:02,7:21:02,PRAIRIE TOWNE: VIA OLD SAUK,6.2811
31,6818,7:21:28,7:21:28,PRAIRIE TOWNE: VIA OLD SAUK,6.4335
32,6800,7:22:03,7:22:03,PRAIRIE TOWNE: VIA OLD SAUK,6.6356
33,6368,7:22:22,7:22:22,PRAIRIE TOWNE: VIA OLD SAUK,6.7453
34,6661,7:23:00,7:23:00,DROP OFFS ONLY,6.9455
