stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,1101,6:25:00,6:25:00,E TOWNE: VIA MADISON COLLEGE,0.0133
2,1787,6:25:47,6:25:47,E TOWNE: VIA MADISON COLLEGE,0.1672
3,1323,6:26:33,6:26:33,E TOWNE: VIA MADISON COLLEGE,0.3157
4,1579,6:27:33,6:27:33,E TOWNE: VIA MADISON COLLEGE,0.5108
5,1927,6:28:50,6:28:50,E TOWNE: VIA MADISON COLLEGE,0.7613
6,1565,6:29:38,6:29:38,E TOWNE: VIA MADISON COLLEGE,0.9159999999999999
7,1199,6:31:00,6:31:00,E TOWNE: VIA MADISON COLLEGE,1.17
8,1883,6:31:49,6:31:49,E TOWNE: VIA MADISON COLLEGE,1.416
9,1513,6:32:37,6:32:37,E TOWNE: VIA MADISON COLLEGE,1.6538
10,1241,6:33:22,6:33:22,E TOWNE: VIA MADISON COLLEGE,1.8765
11,1107,6:33:55,6:33:55,E TOWNE: VIA MADISON COLLEGE,2.0392
12,1141,6:34:38,6:34:38,E TOWNE: VIA MADISON COLLEGE,2.251
13,1233,6:35:28,6:35:28,E TOWNE: VIA MADISON COLLEGE,2.4988
14,1311,6:36:05,6:36:05,E TOWNE: VIA MADISON COLLEGE,2.6836
15,1269,6:37:00,6:37:00,E TOWNE: VIA MADISON COLLEGE,2.9418
16,1481,6:38:03,6:38:03,E TOWNE: VIA MADISON COLLEGE,3.1268
17,1757,6:39:03,6:39:03,E TOWNE: VIA MADISON COLLEGE,3.301
18,9339,6:40:42,6:40:42,E TOWNE: VIA MADISON COLLEGE,3.5889
19,9135,6:41:42,6:41:42,E TOWNE: VIA MADISON COLLEGE,3.7652
20,9405,6:43:07,6:43:07,E TOWNE: VIA MADISON COLLEGE,4.0144
21,9171,6:44:27,6:44:27,E TOWNE: VIA MADISON COLLEGE,4.2483
22,9101,6:46:00,6:46:00,E TOWNE: VIA MADISON COLLEGE,4.5069
23,9725,6:47:17,6:47:17,E TOWNE: VIA MADISON COLLEGE,4.8502
24,9787,6:47:45,6:47:45,E TOWNE: VIA MADISON COLLEGE,4.9771
25,9797,6:48:30,6:48:30,E TOWNE: VIA MADISON COLLEGE,5.1765
26,9182,6:49:25,6:49:25,E TOWNE: VIA MADISON COLLEGE,5.4224
27,9306,6:49:49,6:49:49,E TOWNE: VIA MADISON COLLEGE,5.5299
28,9551,6:51:30,6:51:30,E TOWNE,5.9787
29,9573,6:52:05,6:52:05,E TOWNE,6.1339
30,9491,6:53:00,6:53:00,E TOWNE,6.3814
31,9587,6:53:53,6:53:53,E TOWNE,6.6197
32,9442,6:54:56,6:54:56,E TOWNE,6.8998
33,9677,6:55:19,6:55:19,E TOWNE,7.002999999999999
34,9800,6:56:00,6:56:00,DROP OFFS ONLY,7.1606
