stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,6:30:00,6:30:00,E TOWNE: VIA MINERAL POINT: VIA HAYES,0.0097
2,2115,6:30:48,6:30:48,E TOWNE: VIA MINERAL POINT: VIA HAYES,0.3179
3,2625,6:31:13,6:31:13,E TOWNE: VIA MINERAL POINT: VIA HAYES,0.4806
4,2169,6:31:45,6:31:45,E TOWNE: VIA MINERAL POINT: VIA HAYES,0.6828
5,2701,6:32:11,6:32:11,E TOWNE: VIA MINERAL POINT: VIA HAYES,0.8509
6,2829,6:33:02,6:33:02,E TOWNE: VIA MINERAL POINT: VIA HAYES,1.1749
7,2519,6:33:32,6:33:32,E TOWNE: VIA MINERAL POINT: VIA HAYES,1.3681
8,2647,6:34:05,6:34:05,E TOWNE: VIA MINERAL POINT: VIA HAYES,1.5819
9,2975,6:34:26,6:34:26,E TOWNE: VIA MINERAL POINT: VIA HAYES,1.7205
10,2263,6:35:00,6:35:00,E TOWNE: VIA MINERAL POINT: VIA HAYES,1.9051
11,2133,6:35:39,6:35:39,E TOWNE: VIA MINERAL POINT: VIA HAYES,2.0854
12,2325,6:36:13,6:36:13,E TOWNE: VIA MINERAL POINT: VIA HAYES,2.2438
13,2737,6:36:39,6:36:39,E TOWNE: VIA HAYES,2.3644
14,2659,6:37:17,6:37:17,E TOWNE: VIA HAYES,2.5417
15,2231,6:37:46,6:37:46,E TOWNE: VIA HAYES,2.6758
16,2137,6:38:24,6:38:24,E TOWNE: VIA HAYES,2.8515
17,2377,6:39:54,6:39:54,E TOWNE: VIA HAYES,3.2648
18,2773,6:40:13,6:40:13,E TOWNE: VIA HAYES,3.3517
19,2899,6:40:42,6:40:42,E TOWNE: VIA HAYES,3.486
20,2949,6:41:09,6:41:09,E TOWNE: VIA HAYES,3.6127
21,2691,6:41:58,6:41:58,E TOWNE: VIA HAYES,3.8384
22,533,6:42:30,6:42:30,E TOWNE: VIA HAYES,3.9844
23,971,6:43:17,6:43:17,E TOWNE: VIA HAYES,4.2007
24,585,6:43:41,6:43:41,E TOWNE: VIA HAYES,4.3126
25,327,6:44:17,6:44:17,E TOWNE: VIA HAYES,4.4773
26,115,6:45:00,6:45:00,E TOWNE: VIA HAYES,4.6408
27,483,6:46:01,6:46:01,E TOWNE: VIA HAYES,4.7296
28,561,6:47:16,6:47:16,E TOWNE: VIA HAYES,4.8384
29,455,6:48:37,6:48:37,E TOWNE: VIA HAYES,4.9549
