stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,6:27:00,6:27:00,EAST TRANSFER: VIA MONROE,0.0097
2,2324,6:27:45,6:27:45,EAST TRANSFER: VIA MONROE,0.2342
3,2801,6:28:33,6:28:33,EAST TRANSFER: VIA MONROE,0.47100000000000003
4,2253,6:29:13,6:29:13,EAST TRANSFER: VIA MONROE,0.6711
5,2597,6:29:56,6:29:56,EAST TRANSFER: VIA MONROE,0.8818
6,2729,6:30:52,6:30:52,EAST TRANSFER: VIA MONROE,1.1579
7,2119,6:31:25,6:31:25,EAST TRANSFER: VIA MONROE,1.324
8,2433,6:32:04,6:32:04,EAST TRANSFER: VIA MONROE,1.5188
9,2357,6:32:41,6:32:41,EAST TRANSFER: VIA MONROE,1.7009
10,2105,6:33:09,6:33:09,EAST TRANSFER: VIA MONROE,1.8418
11,2593,6:33:36,6:33:36,EAST TRANSFER: VIA MONROE,1.9768
12,2265,6:33:57,6:33:57,EAST TRANSFER: VIA MONROE,2.0816
13,2505,6:35:00,6:35:00,EAST TRANSFER: VIA MONROE,2.3615
14,2753,6:35:54,6:35:54,EAST TRANSFER: VIA MONROE,2.5757
15,2883,6:36:43,6:36:43,EAST TRANSFER: VIA MONROE,2.7731
16,2497,6:37:17,6:37:17,EAST TRANSFER: VIA MONROE,2.909
17,2389,6:38:22,6:38:22,EAST TRANSFER: VIA MONROE,3.1660000000000004
18,2885,6:39:43,6:39:43,EAST TRANSFER: VIA MONROE,3.488
19,2255,6:40:32,6:40:32,EAST TRANSFER: VIA MONROE,3.6855
20,241,6:40:58,6:40:58,EAST TRANSFER: VIA MONROE,3.7906
21,245,6:42:56,6:42:56,EAST TRANSFER: VIA MONROE,4.2581
22,581,6:43:42,6:43:42,EAST TRANSFER: VIA MONROE,4.44
23,743,6:44:09,6:44:09,EAST TRANSFER: VIA MONROE,4.55
24,455,6:45:00,6:45:00,EAST TRANSFER,4.7327
25,435,6:46:16,6:46:16,EAST TRANSFER,4.8844
26,941,6:46:57,6:46:57,EAST TRANSFER,4.9651
27,839,6:49:03,6:49:03,EAST TRANSFER,5.2137
28,883,6:50:41,6:50:41,EAST TRANSFER,5.4077
29,1324,6:51:39,6:51:39,EAST TRANSFER,5.5233
30,1101,6:53:00,6:53:00,EAST TRANSFER,5.6782
31,1823,6:53:35,6:53:35,EAST TRANSFER,5.7916
32,1737,6:54:13,6:54:13,EAST TRANSFER,5.915
33,1839,6:55:11,6:55:11,EAST TRANSFER,6.0993
34,1509,6:56:24,6:56:24,EAST TRANSFER,6.3327
35,1167,6:57:13,6:57:13,EAST TRANSFER,6.4897
36,1615,6:57:37,6:57:37,EAST TRANSFER,6.5683
37,1959,6:58:25,6:58:25,EAST TRANSFER,6.7217
38,1505,6:59:00,6:59:00,EAST TRANSFER,6.8175
39,1559,6:59:36,6:59:36,EAST TRANSFER,6.9436
40,1689,7:00:12,7:00:12,EAST TRANSFER,7.0684
41,1213,7:01:15,7:01:15,EAST TRANSFER,7.2860000000000005
42,1645,7:01:51,7:01:51,EAST TRANSFER,7.4127
43,1935,7:02:22,7:02:22,EAST TRANSFER,7.52
44,1901,7:03:15,7:03:15,EAST TRANSFER,7.7031
45,1963,7:04:00,7:04:00,EAST TRANSFER,7.8454
46,1643,7:05:01,7:05:01,EAST TRANSFER,8.0703
47,1887,7:05:33,7:05:33,EAST TRANSFER,8.1897
48,1391,7:06:01,7:06:01,EAST TRANSFER,8.2928
49,1219,7:06:42,7:06:42,EAST TRANSFER,8.4449
50,1327,7:07:13,7:07:13,EAST TRANSFER,8.5586
51,1353,7:08:15,7:08:15,EAST TRANSFER,8.7856
52,1751,7:10:10,7:10:10,EAST TRANSFER,9.2069
53,1309,7:10:52,7:10:52,EAST TRANSFER,9.3605
54,1105,7:11:33,7:11:33,EAST TRANSFER,9.5111
55,7100,7:13:00,7:13:00,DROP OFFS ONLY,9.8115
