stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,10,16:48:00,16:48:00,TO U.W. HOSPITAL: VIA EAGLE HTS,0.0081
2,60,16:49:43,16:49:43,TO U.W. HOSPITAL: VIA EAGLE HTS,0.2635
3,52,16:50:26,16:50:26,TO U.W. HOSPITAL: VIA EAGLE HTS,0.3702
4,488,16:51:20,16:51:20,TO U.W. HOSPITAL: VIA EAGLE HTS,0.5053
5,184,16:52:22,16:52:22,TO U.W. HOSPITAL: VIA EAGLE HTS,0.6601
6,532,16:53:05,16:53:05,TO U.W. HOSPITAL: VIA EAGLE HTS,0.7676
7,2996,16:53:52,16:53:52,TO U.W. HOSPITAL: VIA EAGLE HTS,0.8845
8,2978,16:55:00,16:55:00,TO U.W. HOSPITAL: VIA EAGLE HTS,1.0467
9,2442,16:55:44,16:55:44,TO U.W. HOSPITAL: VIA EAGLE HTS,1.1983
10,2088,16:57:23,16:57:23,TO U.W. HOSPITAL: VIA EAGLE HTS,1.5375
11,2125,16:58:17,16:58:17,TO U.W. HOSPITAL: VIA EAGLE HTS,1.7236
12,2023,16:59:07,16:59:07,TO U.W. HOSPITAL: VIA EAGLE HTS,1.8941
13,2027,17:00:00,17:00:00,TO U.W. HOSPITAL: VIA EAGLE HTS,2.0662
14,2938,17:00:52,17:00:52,TO U.W. HOSPITAL: VIA EAGLE HTS,2.3378
15,2041,17:01:46,17:01:46,TO U.W. HOSPITAL: VIA EAGLE HTS,2.6184
16,2018,17:02:25,17:02:25,TO U.W. HOSPITAL: VIA EAGLE HTS,2.8219
17,2026,17:02:41,17:02:41,TO U.W. HOSPITAL: VIA EAGLE HTS,2.906
18,2082,17:03:00,17:03:00,TO U.W. HOSPITAL: VIA EAGLE HTS,3.0008
19,2054,17:03:39,17:03:39,TO U.W. HOSPITAL: VIA EAGLE HTS,3.1775
20,2039,17:04:49,17:04:49,TO U.W. HOSPITAL: VIA EAGLE HTS,3.4911
21,2061,17:05:04,17:05:04,TO U.W. HOSPITAL: VIA EAGLE HTS,3.5595
22,2071,17:05:24,17:05:24,TO U.W. HOSPITAL: VIA EAGLE HTS,3.6493
23,2014,17:06:05,17:06:05,TO U.W. HOSPITAL: VIA EAGLE HTS,3.8338
24,2034,17:06:48,17:06:48,TO U.W. HOSPITAL,4.0277
25,2048,17:07:20,17:07:20,TO U.W. HOSPITAL,4.1706
26,2881,17:08:22,17:08:22,TO U.W. HOSPITAL,4.4487
27,2050,17:09:15,17:09:15,DROP OFFS ONLY,4.6886
28,2076,17:10:00,17:10:00,DROP OFFS ONLY,4.8744
