stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,7:00:00,7:00:00,EAST TRANSFER: VIA BROADWAY,0.0074
2,3500,7:03:33,7:03:33,EAST TRANSFER: VIA BROADWAY,1.4397
3,3946,7:04:17,7:04:17,EAST TRANSFER: VIA BROADWAY,1.7355
4,3600,7:04:42,7:04:42,EAST TRANSFER: VIA BROADWAY,1.9089
5,3962,7:05:13,7:05:13,EAST TRANSFER: VIA BROADWAY,2.1171
6,3235,7:05:29,7:05:29,EAST TRANSFER: VIA BROADWAY,2.2286
7,3155,7:06:36,7:06:36,EAST TRANSFER: VIA BROADWAY,2.6834
8,3222,7:07:06,7:07:06,EAST TRANSFER: VIA BROADWAY,2.8907
9,3231,7:07:31,7:07:31,EAST TRANSFER: VIA BROADWAY,3.0624
10,3259,7:08:00,7:08:00,EAST TRANSFER: VIA BROADWAY,3.2235
11,3513,7:08:45,7:08:45,EAST TRANSFER: VIA BROADWAY,3.4641
12,3429,7:09:23,7:09:23,EAST TRANSFER: VIA BROADWAY,3.6672
13,3913,7:10:09,7:10:09,EAST TRANSFER: VIA BROADWAY,3.9128
14,3941,7:11:30,7:11:30,EAST TRANSFER: VIA BROADWAY,4.3468
15,3163,7:13:34,7:13:34,EAST TRANSFER: VIA BROADWAY,5.0112
16,3457,7:14:04,7:14:04,EAST TRANSFER: VIA BROADWAY,5.175
17,3615,7:15:17,7:15:17,EAST TRANSFER: VIA BROADWAY,5.5651
18,3841,7:15:57,7:15:57,EAST TRANSFER: VIA BROADWAY,5.7832
19,3733,7:16:26,7:16:26,EAST TRANSFER: VIA BROADWAY,5.9423
20,3301,7:17:00,7:17:00,EAST TRANSFER: VIA BROADWAY,6.1014
21,7605,7:24:00,7:24:00,EAST TRANSFER,8.0478
22,7739,7:24:45,7:24:45,EAST TRANSFER,8.222999999999999
23,7119,7:25:46,7:25:46,EAST TRANSFER,8.458
24,7107,7:26:09,7:26:09,EAST TRANSFER,8.5483
25,7663,7:27:16,7:27:16,EAST TRANSFER,8.8049
26,7729,7:28:21,7:28:21,EAST TRANSFER,9.0534
27,7115,7:28:46,7:28:46,EAST TRANSFER,9.1498
28,7328,7:29:39,7:29:39,EAST TRANSFER,9.3557
29,7838,7:30:36,7:30:36,EAST TRANSFER,9.5739
30,7152,7:31:20,7:31:20,EAST TRANSFER,9.7423
31,7388,7:32:26,7:32:26,EAST TRANSFER,9.9948
32,7215,7:33:46,7:33:46,EAST TRANSFER,10.3012
33,7379,7:34:22,7:34:22,EAST TRANSFER,10.4395
34,7745,7:34:52,7:34:52,EAST TRANSFER,10.5568
35,1225,7:35:46,7:35:46,EAST TRANSFER,10.7636
36,1785,7:36:25,7:36:25,EAST TRANSFER,10.9158
37,1809,7:36:59,7:36:59,EAST TRANSFER,11.0484
38,1153,7:37:40,7:37:40,EAST TRANSFER,11.2082
39,1105,7:38:32,7:38:32,EAST TRANSFER,11.4084
40,7100,7:40:00,7:40:00,DROP OFFS ONLY,11.7089
