stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,6:30:00,6:30:00,NORTH TRANSFER: VIA SHERMAN,0.0097
2,2925,6:31:02,6:31:02,NORTH TRANSFER: VIA SHERMAN,0.3175
3,2401,6:32:12,6:32:12,NORTH TRANSFER: VIA SHERMAN,0.6611
4,2249,6:32:55,6:32:55,NORTH TRANSFER: VIA SHERMAN,0.8757
5,2669,6:33:32,6:33:32,NORTH TRANSFER: VIA SHERMAN,1.0579
6,2201,6:34:04,6:34:04,NORTH TRANSFER: VIA SHERMAN,1.2175
7,2121,6:34:59,6:34:59,NORTH TRANSFER: VIA SHERMAN,1.4903
8,2175,6:36:00,6:36:00,NORTH TRANSFER: VIA SHERMAN,1.7755
9,2101,6:36:56,6:36:56,NORTH TRANSFER: VIA SHERMAN,1.9756
10,2395,6:37:32,6:37:32,NORTH TRANSFER: VIA SHERMAN,2.1058
11,2752,6:38:05,6:38:05,NORTH TRANSFER: VIA SHERMAN,2.2248
12,2501,6:38:55,6:38:55,NORTH TRANSFER: VIA SHERMAN,2.404
13,2741,6:39:23,6:39:23,NORTH TRANSFER: VIA SHERMAN,2.5073
14,2191,6:40:40,6:40:40,NORTH TRANSFER: VIA SHERMAN,2.7851
15,2755,6:41:31,6:41:31,NORTH TRANSFER: VIA SHERMAN,2.9684
16,2595,6:42:11,6:42:11,NORTH TRANSFER: VIA SHERMAN,3.1119
17,2945,6:43:30,6:43:30,NORTH TRANSFER: VIA SHERMAN,3.3975
18,2131,6:45:00,6:45:00,NORTH TRANSFER: VIA SHERMAN,3.7033
19,2473,6:46:20,6:46:20,NORTH TRANSFER: VIA SHERMAN,3.99
20,2349,6:47:08,6:47:08,NORTH TRANSFER: VIA SHERMAN,4.1611
21,2916,6:47:45,6:47:45,NORTH TRANSFER: VIA SHERMAN,4.2947
22,2822,6:48:30,6:48:30,NORTH TRANSFER: VIA SHERMAN,4.4562
23,2561,6:49:22,6:49:22,NORTH TRANSFER: VIA SHERMAN,4.6444
24,2605,6:50:11,6:50:11,NORTH TRANSFER: VIA SHERMAN,4.8213
25,2717,6:51:01,6:51:01,NORTH TRANSFER: VIA SHERMAN,5.001
26,2921,6:51:54,6:51:54,NORTH TRANSFER: VIA SHERMAN,5.1927
27,133,6:53:00,6:53:00,NORTH TRANSFER: VIA SHERMAN,5.4109
28,809,6:53:51,6:53:51,NORTH TRANSFER: VIA SHERMAN,5.5267
29,581,6:55:48,6:55:48,NORTH TRANSFER: VIA SHERMAN,5.7906
30,743,6:56:36,6:56:36,NORTH TRANSFER: VIA SHERMAN,5.9006
31,455,6:57:57,6:57:57,NORTH TRANSFER: VIA SHERMAN,6.0834
32,435,6:59:04,6:59:04,NORTH TRANSFER: VIA SHERMAN,6.235
33,941,6:59:39,6:59:39,NORTH TRANSFER: VIA SHERMAN,6.3158
34,839,7:01:29,7:01:29,NORTH TRANSFER: VIA SHERMAN,6.5644
35,883,7:02:55,7:02:55,NORTH TRANSFER: VIA SHERMAN,6.7583
36,1324,7:03:46,7:03:46,NORTH TRANSFER: VIA SHERMAN,6.8739
37,1101,7:05:00,7:05:00,NORTH TRANSFER: VIA SHERMAN,7.0288
38,1787,7:05:50,7:05:50,NORTH TRANSFER: VIA SHERMAN,7.1827
39,1495,7:06:25,7:06:25,NORTH TRANSFER: VIA SHERMAN,7.2926
40,1227,7:07:36,7:07:36,NORTH TRANSFER: VIA SHERMAN,7.5128
41,1831,7:08:32,7:08:32,NORTH TRANSFER: VIA SHERMAN,7.6868
42,1397,7:09:13,7:09:13,NORTH TRANSFER: VIA SHERMAN,7.8124
43,1121,7:09:41,7:09:41,NORTH TRANSFER: VIA SHERMAN,7.8999
44,1151,7:10:33,7:10:33,NORTH TRANSFER: VIA SHERMAN,8.0621
45,1209,7:12:00,7:12:00,NORTH TRANSFER: VIA SHERMAN,8.3143
46,1767,7:13:05,7:13:05,NORTH TRANSFER: VIA SHERMAN,8.5665
47,1157,7:14:03,7:14:03,NORTH TRANSFER: VIA SHERMAN,8.7937
48,1577,7:15:04,7:15:04,NORTH TRANSFER: VIA SHERMAN,9.032
49,1329,7:16:00,7:16:00,NORTH TRANSFER: VIA SHERMAN,9.2407
50,1533,7:16:59,7:16:59,NORTH TRANSFER: VIA SHERMAN,9.5502
51,1717,7:17:36,7:17:36,NORTH TRANSFER,9.7475
52,1923,7:18:16,7:18:16,NORTH TRANSFER,9.9593
53,1715,7:18:53,7:18:53,NORTH TRANSFER,10.1558
54,1561,7:19:23,7:19:23,NORTH TRANSFER,10.3179
55,1877,7:19:59,7:19:59,NORTH TRANSFER,10.5068
56,1759,7:20:20,7:20:20,NORTH TRANSFER,10.6212
57,5100,7:21:00,7:21:00,DROP OFFS ONLY,10.8134
