stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,5100,6:12:00,6:12:00,WEST TRANSFER: VIA FORDEM,0.0088
2,1504,6:13:12,6:13:12,WEST TRANSFER: VIA FORDEM,0.3425
3,1922,6:13:37,6:13:37,WEST TRANSFER: VIA FORDEM,0.4612
4,1254,6:14:02,6:14:02,WEST TRANSFER: VIA FORDEM,0.5774
5,1122,6:14:34,6:14:34,WEST TRANSFER: VIA FORDEM,0.7259
6,1156,6:15:22,6:15:22,WEST TRANSFER: VIA FORDEM,0.9471
7,1968,6:16:18,6:16:18,WEST TRANSFER: VIA FORDEM,1.2075
8,1692,6:17:00,6:17:00,WEST TRANSFER: VIA FORDEM,1.3896
9,1116,6:17:56,6:17:56,WEST TRANSFER: VIA FORDEM,1.6614
10,1892,6:18:58,6:18:58,WEST TRANSFER: VIA FORDEM,1.9603
11,1798,6:19:37,6:19:37,WEST TRANSFER: VIA FORDEM,2.1497
12,1250,6:20:09,6:20:09,WEST TRANSFER,2.3071
13,1636,6:21:00,6:21:00,WEST TRANSFER,2.5406
14,1834,6:22:26,6:22:26,WEST TRANSFER,2.7942
15,1996,6:23:07,6:23:07,WEST TRANSFER,2.9164
16,1662,6:23:59,6:23:59,WEST TRANSFER,3.0702
17,1138,6:24:32,6:24:32,WEST TRANSFER,3.1669
18,1404,6:25:20,6:25:20,WEST TRANSFER,3.3082
19,1966,6:25:50,6:25:50,WEST TRANSFER,3.3965
20,1100,6:27:00,6:27:00,WEST TRANSFER,3.5939
21,1310,6:27:48,6:27:48,WEST TRANSFER,3.7007
22,1558,6:28:30,6:28:30,WEST TRANSFER,3.7956
23,898,6:29:09,6:29:09,WEST TRANSFER,3.8832
24,252,6:29:48,6:29:48,WEST TRANSFER,3.9702
25,568,6:31:59,6:31:59,WEST TRANSFER,4.2612
26,670,6:32:40,6:32:40,WEST TRANSFER,4.3519
27,100,6:34:00,6:34:00,WEST TRANSFER,4.5216
28,234,6:34:32,6:34:32,WEST TRANSFER,4.6484
29,178,6:35:12,6:35:12,WEST TRANSFER,4.8075
30,160,6:35:42,6:35:42,WEST TRANSFER,4.9268
31,692,6:36:45,6:36:45,WEST TRANSFER,5.1739999999999995
32,2806,6:37:35,6:37:35,WEST TRANSFER,5.3717
33,2146,6:38:23,6:38:23,WEST TRANSFER,5.5634
34,2192,6:39:09,6:39:09,WEST TRANSFER,5.7439
35,2643,6:40:00,6:40:00,WEST TRANSFER,5.9314
36,2393,6:40:24,6:40:24,WEST TRANSFER,6.0285
37,2125,6:41:25,6:41:25,WEST TRANSFER,6.2699
38,2620,6:42:00,6:42:00,WEST TRANSFER,6.409
39,2770,6:42:37,6:42:37,WEST TRANSFER,6.5558
40,2576,6:43:42,6:43:42,WEST TRANSFER,6.8139
41,2698,6:44:12,6:44:12,WEST TRANSFER,6.9352
42,2270,6:45:05,6:45:05,WEST TRANSFER,7.145
43,2712,6:46:16,6:46:16,WEST TRANSFER,7.4293
44,2266,6:46:53,6:46:53,WEST TRANSFER,7.5767
45,2812,6:47:56,6:47:56,WEST TRANSFER,7.8277
46,2362,6:48:37,6:48:37,WEST TRANSFER,7.9936
47,2500,6:49:19,6:49:19,WEST TRANSFER,8.1616
48,2199,6:49:46,6:49:46,WEST TRANSFER,8.2685
49,2184,6:50:30,6:50:30,WEST TRANSFER,8.4448
50,2100,6:51:03,6:51:03,WEST TRANSFER,8.5787
51,2376,6:52:00,6:52:00,WEST TRANSFER,8.7764
52,2138,6:52:54,6:52:54,WEST TRANSFER,9.0965
53,2798,6:53:42,6:53:42,WEST TRANSFER,9.3783
54,2898,6:54:13,6:54:13,WEST TRANSFER,9.5598
55,2684,6:54:39,6:54:39,WEST TRANSFER,9.7158
56,2670,6:55:18,6:55:18,WEST TRANSFER,9.9447
57,2984,6:56:14,6:56:14,WEST TRANSFER,10.2757
58,6100,6:57:00,6:57:00,DROP OFFS ONLY,10.5327
