stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,9800,6:25:00,6:25:00,EAST TRANSFER: VIA NAKOOSA,0.0771
2,9996,6:25:47,6:25:47,EAST TRANSFER: VIA NAKOOSA,0.3434
3,9531,6:26:43,6:26:43,EAST TRANSFER: VIA NAKOOSA,0.6563
4,9204,6:28:00,6:28:00,EAST TRANSFER: VIA NAKOOSA,1.0912
5,9276,6:28:30,6:28:30,EAST TRANSFER: VIA NAKOOSA,1.2639
6,9636,6:29:03,6:29:03,EAST TRANSFER: VIA NAKOOSA,1.4499
7,9370,6:29:32,6:29:32,EAST TRANSFER: VIA NAKOOSA,1.6171
8,9420,6:29:52,6:29:52,EAST TRANSFER: VIA NAKOOSA,1.734
9,9892,6:30:20,6:30:20,EAST TRANSFER: VIA NAKOOSA,1.8909
10,9770,6:30:45,6:30:45,EAST TRANSFER: VIA NAKOOSA,2.0325
11,9844,6:31:11,6:31:11,EAST TRANSFER: VIA NAKOOSA,2.1803
12,9176,6:32:02,6:32:02,EAST TRANSFER: VIA NAKOOSA,2.4675
13,9733,6:32:48,6:32:48,EAST TRANSFER: VIA NAKOOSA,2.7272
14,9967,6:33:26,6:33:26,EAST TRANSFER: VIA NAKOOSA,2.94
15,9812,6:34:00,6:34:00,EAST TRANSFER: VIA NAKOOSA,3.0934
16,9479,6:34:31,6:34:31,EAST TRANSFER: VIA NAKOOSA,3.2413
17,7398,6:39:05,6:39:05,EAST TRANSFER,4.513
18,7100,6:40:00,6:40:00,DROP OFFS ONLY,4.7606
