stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,9800,8:04:00,8:04:00,E TOWNE: VIA E SPRINGS,0.0116
2,9783,8:04:17,8:04:17,E TOWNE: VIA E SPRINGS,0.095
3,9391,8:04:54,8:04:54,E TOWNE,0.2734
4,9351,8:05:29,8:05:29,E TOWNE,0.4412
5,9140,8:06:23,8:06:23,E TOWNE,0.6969
6,9310,8:07:01,8:07:01,E TOWNE,0.8778
7,9620,8:08:00,8:08:00,E TOWNE,1.1398
8,9863,8:09:43,8:09:43,E TOWNE,1.4452
9,9917,8:11:02,8:11:02,E TOWNE,1.6801
10,9928,8:11:42,8:11:42,E TOWNE,1.8
11,9422,8:12:32,8:12:32,E TOWNE,1.9499
12,9800,8:14:00,8:14:00,DROP OFFS ONLY,2.1994
