stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4360,6:11:00,6:11:00,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,0.0068
2,4466,6:12:13,6:12:13,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,0.4569
3,4914,6:12:44,6:12:44,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,0.653
4,4945,6:13:37,6:13:37,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,0.9845
5,4837,6:14:04,6:14:04,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,1.1503
6,4613,6:14:38,6:14:38,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,1.3597
7,4953,6:15:15,6:15:15,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,1.5877
8,4752,6:15:33,6:15:33,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,1.7041
9,4188,6:16:05,6:16:05,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,1.9026
10,4182,6:17:00,6:17:00,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,2.2171
11,4788,6:17:34,6:17:34,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,2.373
12,4699,6:18:11,6:18:11,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,2.5411
13,4707,6:18:29,6:18:29,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,2.6252
14,4941,6:19:04,6:19:04,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,2.7823
15,4637,6:19:57,6:19:57,SOUTH TRANSFER: VIA GRANDVIEW: VIA HATCHERY HILL,3.0239999999999996
16,4523,6:20:43,6:20:43,SOUTH TRANSFER,3.2312
17,4175,6:21:20,6:21:20,SOUTH TRANSFER,3.4013
18,4443,6:22:09,6:22:09,SOUTH TRANSFER,3.6218
19,4845,6:23:38,6:23:38,SOUTH TRANSFER,4.0212
20,353,6:24:14,6:24:14,SOUTH TRANSFER,4.1865
21,121,6:24:39,6:24:39,SOUTH TRANSFER,4.2996
22,173,6:25:14,6:25:14,SOUTH TRANSFER,4.4593
23,4100,6:26:00,6:26:00,DROP OFFS ONLY,4.6389
