stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,6:30:00,6:30:00,WEST TRANSFER: VIA W TOWNE,0.0097
2,2925,6:31:10,6:31:10,WEST TRANSFER: VIA W TOWNE,0.3175
3,2160,6:32:30,6:32:30,WEST TRANSFER: VIA W TOWNE,0.6697
4,6820,6:33:41,6:33:41,WEST TRANSFER: VIA W TOWNE,0.9817
5,6724,6:35:13,6:35:13,WEST TRANSFER: VIA W TOWNE,1.3875
6,6516,6:36:16,6:36:16,WEST TRANSFER: VIA W TOWNE,1.6634
7,6330,6:37:15,6:37:15,WEST TRANSFER: VIA W TOWNE,1.9237
8,6332,6:37:52,6:37:52,WEST TRANSFER: VIA W TOWNE,2.0865
9,6418,6:38:21,6:38:21,WEST TRANSFER: VIA W TOWNE,2.2139
10,6426,6:39:16,6:39:16,WEST TRANSFER: VIA W TOWNE,2.4588
11,6984,6:40:12,6:40:12,WEST TRANSFER: VIA W TOWNE,2.7074
12,6926,6:40:48,6:40:48,WEST TRANSFER: VIA W TOWNE,2.8652
13,6631,6:41:19,6:41:19,WEST TRANSFER: VIA W TOWNE,3.0045
14,6281,6:41:52,6:41:52,WEST TRANSFER: VIA W TOWNE,3.1503
15,6533,6:42:27,6:42:27,WEST TRANSFER: VIA W TOWNE,3.3064
16,6787,6:43:04,6:43:04,WEST TRANSFER: VIA W TOWNE,3.4697
17,6350,6:45:00,6:45:00,WEST TRANSFER: VIA W TOWNE,3.9488
18,6159,6:45:31,6:45:31,WEST TRANSFER,4.0824
19,6883,6:46:38,6:46:38,WEST TRANSFER,4.3677
20,6903,6:47:44,6:47:44,WEST TRANSFER,4.6473
21,6129,6:48:44,6:48:44,WEST TRANSFER,4.9034
22,6941,6:49:35,6:49:35,WEST TRANSFER,5.1196
23,2793,6:51:25,6:51:25,WEST TRANSFER,5.5856
24,2670,6:52:38,6:52:38,WEST TRANSFER,5.8941
25,2984,6:53:56,6:53:56,WEST TRANSFER,6.2251
26,6100,6:55:00,6:55:00,DROP OFFS ONLY,6.4822
