stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,7:00:00,7:00:00,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,0.0097
2,2939,7:01:02,7:01:02,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,0.2648
3,2323,7:01:57,7:01:57,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,0.4904
4,2417,7:02:24,7:02:24,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,0.6047
5,2161,7:03:25,7:03:25,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,0.8551
6,2615,7:04:10,7:04:10,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,1.0422
7,2111,7:05:05,7:05:05,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,1.2672
8,2233,7:05:43,7:05:43,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,1.4239
9,2431,7:06:19,7:06:19,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,1.5743
10,2889,7:07:00,7:07:00,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,1.7252
11,2387,7:07:27,7:07:27,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,1.8818
12,2437,7:07:56,7:07:56,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,2.0533
13,2737,7:08:25,7:08:25,E TOWNE: VIA MADISON COLLEGE,2.2254
14,2659,7:08:55,7:08:55,E TOWNE: VIA MADISON COLLEGE,2.4028
15,2231,7:09:18,7:09:18,E TOWNE: VIA MADISON COLLEGE,2.5368
16,2137,7:09:48,7:09:48,E TOWNE: VIA MADISON COLLEGE,2.7126
17,2377,7:10:59,7:10:59,E TOWNE: VIA MADISON COLLEGE,3.1258
18,2773,7:11:14,7:11:14,E TOWNE: VIA MADISON COLLEGE,3.2127
19,2899,7:11:37,7:11:37,E TOWNE: VIA MADISON COLLEGE,3.347
20,2949,7:11:58,7:11:58,E TOWNE: VIA MADISON COLLEGE,3.4738
21,2691,7:12:37,7:12:37,E TOWNE: VIA MADISON COLLEGE,3.6994
22,533,7:13:02,7:13:02,E TOWNE: VIA MADISON COLLEGE,3.8455
23,971,7:13:39,7:13:39,E TOWNE: VIA MADISON COLLEGE,4.0618
24,585,7:13:58,7:13:58,E TOWNE: VIA MADISON COLLEGE,4.1736
25,327,7:14:26,7:14:26,E TOWNE: VIA MADISON COLLEGE,4.3383
26,115,7:15:00,7:15:00,E TOWNE: VIA MADISON COLLEGE,4.5018
27,483,7:16:01,7:16:01,E TOWNE: VIA MADISON COLLEGE,4.5906
28,561,7:17:16,7:17:16,E TOWNE: VIA MADISON COLLEGE,4.6995
29,455,7:18:37,7:18:37,E TOWNE: VIA MADISON COLLEGE,4.8159
30,765,7:20:59,7:20:59,E TOWNE: VIA MADISON COLLEGE,5.0204
31,265,7:22:43,7:22:43,E TOWNE: VIA MADISON COLLEGE,5.1709
32,505,7:24:34,7:24:34,E TOWNE: VIA MADISON COLLEGE,5.3313
33,549,7:25:32,7:25:32,E TOWNE: VIA MADISON COLLEGE,5.4152
34,803,7:26:32,7:26:32,E TOWNE: VIA MADISON COLLEGE,5.5022
35,883,7:27:46,7:27:46,E TOWNE: VIA MADISON COLLEGE,5.6085
36,1324,7:29:06,7:29:06,E TOWNE: VIA MADISON COLLEGE,5.7241
37,1101,7:31:00,7:31:00,E TOWNE: VIA MADISON COLLEGE,5.879
38,1787,7:31:47,7:31:47,E TOWNE: VIA MADISON COLLEGE,6.0329999999999995
39,1323,7:32:33,7:32:33,E TOWNE: VIA MADISON COLLEGE,6.1815
40,1579,7:33:33,7:33:33,E TOWNE: VIA MADISON COLLEGE,6.3766
41,1927,7:34:50,7:34:50,E TOWNE: VIA MADISON COLLEGE,6.6271
42,1565,7:35:38,7:35:38,E TOWNE: VIA MADISON COLLEGE,6.7818
43,1199,7:37:00,7:37:00,E TOWNE: VIA MADISON COLLEGE,7.0357
44,1883,7:37:49,7:37:49,E TOWNE: VIA MADISON COLLEGE,7.2818
45,1513,7:38:37,7:38:37,E TOWNE: VIA MADISON COLLEGE,7.5195
46,1241,7:39:22,7:39:22,E TOWNE: VIA MADISON COLLEGE,7.7424
47,1107,7:39:55,7:39:55,E TOWNE: VIA MADISON COLLEGE,7.9049
48,1141,7:40:38,7:40:38,E TOWNE: VIA MADISON COLLEGE,8.1167
49,1233,7:41:28,7:41:28,E TOWNE: VIA MADISON COLLEGE,8.3646
50,1311,7:42:05,7:42:05,E TOWNE: VIA MADISON COLLEGE,8.5493
51,1269,7:43:00,7:43:00,E TOWNE: VIA MADISON COLLEGE,8.8075
52,1481,7:44:03,7:44:03,E TOWNE: VIA MADISON COLLEGE,8.9926
53,1757,7:45:03,7:45:03,E TOWNE: VIA MADISON COLLEGE,9.1667
54,9339,7:46:42,7:46:42,E TOWNE: VIA MADISON COLLEGE,9.4547
55,9135,7:47:42,7:47:42,E TOWNE: VIA MADISON COLLEGE,9.6309
56,9405,7:49:07,7:49:07,E TOWNE: VIA MADISON COLLEGE,9.8801
57,9171,7:50:27,7:50:27,E TOWNE: VIA MADISON COLLEGE,10.1141
58,9101,7:52:00,7:52:00,E TOWNE: VIA MADISON COLLEGE,10.3727
59,9725,7:53:17,7:53:17,E TOWNE: VIA MADISON COLLEGE,10.716
60,9787,7:53:45,7:53:45,E TOWNE: VIA MADISON COLLEGE,10.8428
61,9797,7:54:30,7:54:30,E TOWNE: VIA MADISON COLLEGE,11.0422
62,9182,7:55:25,7:55:25,E TOWNE: VIA MADISON COLLEGE,11.2881
63,9306,7:55:49,7:55:49,E TOWNE: VIA MADISON COLLEGE,11.3956
64,9551,7:57:30,7:57:30,E TOWNE,11.8445
65,9573,7:58:05,7:58:05,E TOWNE,11.9997
66,9491,7:59:00,7:59:00,E TOWNE,12.2472
67,9587,7:59:53,7:59:53,E TOWNE,12.4854
68,9442,8:00:56,8:00:56,E TOWNE,12.7655
69,9677,8:01:19,8:01:19,E TOWNE,12.8688
70,9800,8:02:00,8:02:00,DROP OFFS ONLY,13.0264
