stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,1787,6:10:00,6:10:00,EPIC CAMPUS: VIA VERONA,0.0274
2,1100,6:10:49,6:10:49,EPIC CAMPUS: VIA VERONA,0.1794
3,1324,6:11:32,6:11:32,EPIC CAMPUS: VIA VERONA,0.314
4,1790,6:12:09,6:12:09,EPIC CAMPUS: VIA VERONA,0.4318
5,168,6:12:29,6:12:29,EPIC CAMPUS: VIA VERONA,0.4942
6,274,6:13:18,6:13:18,EPIC CAMPUS: VIA VERONA,0.6467
7,512,6:13:58,6:13:58,EPIC CAMPUS: VIA VERONA,0.7719
8,418,6:14:29,6:14:29,EPIC CAMPUS: VIA VERONA,0.8704
9,768,6:15:03,6:15:03,EPIC CAMPUS: VIA VERONA,0.978
10,288,6:19:00,6:19:00,EPIC CAMPUS: VIA VERONA,1.7031
11,816,6:23:00,6:23:00,EPIC CAMPUS: VIA VERONA,3.2688
12,4894,6:27:00,6:27:00,EPIC CAMPUS: VIA VERONA,4.8242
13,4156,6:28:23,6:28:23,EPIC CAMPUS: VIA VERONA,5.5713
14,4240,6:31:41,6:31:41,EPIC CAMPUS: VIA VERONA,7.3581
15,4160,6:37:00,6:37:00,EPIC CAMPUS: VIA VERONA,10.2123
16,4838,6:37:57,6:37:57,EPIC CAMPUS: VIA VERONA,10.5723
17,4556,6:38:57,6:38:57,EPIC CAMPUS: VIA VERONA,10.9528
18,4732,6:40:01,6:40:01,EPIC CAMPUS: VIA VERONA,11.3543
19,4310,6:40:53,6:40:53,EPIC CAMPUS: VIA VERONA,11.6802
20,4918,6:41:41,6:41:41,EPIC CAMPUS: VIA VERONA,11.9835
21,4812,6:42:40,6:42:40,EPIC CAMPUS: VIA VERONA,12.3535
22,4401,6:46:00,6:46:00,DROP OFFS ONLY,13.5929
