stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,8:00:00,8:00:00,MIDDLETON: VIA TERRACE,0.0097
2,2509,8:03:12,8:03:12,MIDDLETON: VIA TERRACE,1.2243
3,2225,8:04:04,8:04:04,MIDDLETON: VIA TERRACE,1.5554
4,2790,8:04:45,8:04:45,MIDDLETON: VIA TERRACE,1.8187
5,2867,8:05:12,8:05:12,MIDDLETON: VIA TERRACE,1.9916
6,2193,8:05:41,8:05:41,MIDDLETON: VIA TERRACE,2.1779
7,2197,8:06:11,8:06:11,MIDDLETON: VIA TERRACE,2.3697
8,6243,8:06:42,8:06:42,MIDDLETON: VIA TERRACE,2.5717
9,6569,8:07:40,8:07:40,MIDDLETON: VIA TERRACE,2.9394
10,6439,8:08:14,8:08:14,MIDDLETON: VIA TERRACE,3.1554
11,6171,8:09:00,8:09:00,MIDDLETON: VIA TERRACE,3.4214
12,6644,8:09:31,8:09:31,MIDDLETON: VIA TERRACE,3.6119
13,6406,8:09:51,8:09:51,MIDDLETON: VIA TERRACE,3.7356
14,6142,8:10:41,8:10:41,MIDDLETON: VIA TERRACE,4.0357
15,6822,8:10:53,8:10:53,MIDDLETON: VIA TERRACE,4.1123
16,6632,8:11:20,8:11:20,MIDDLETON: VIA TERRACE,4.2798
17,6192,8:11:50,8:11:50,MIDDLETON: VIA TERRACE,4.4632
18,6900,8:12:26,8:12:26,MIDDLETON: VIA TERRACE,4.6796
19,6802,8:13:27,8:13:27,MIDDLETON: VIA TERRACE,5.047
20,6364,8:13:47,8:13:47,MIDDLETON: VIA TERRACE,5.1707
21,6345,8:14:37,8:14:37,MIDDLETON: VIA TERRACE,5.4737
22,6947,8:15:18,8:15:18,MIDDLETON: VIA TERRACE,5.7248
23,6592,8:15:36,8:15:36,MIDDLETON: VIA TERRACE,5.8343
24,6966,8:16:00,8:16:00,DROP OFFS ONLY,5.9363
