stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,7605,5:57:00,5:57:00,EAST TRANSFER,0.0249
2,7739,5:57:40,5:57:40,EAST TRANSFER,0.2003
3,7119,5:58:33,5:58:33,EAST TRANSFER,0.4352
4,7107,5:58:53,5:58:53,EAST TRANSFER,0.5255
5,7663,5:59:51,5:59:51,EAST TRANSFER,0.782
6,7729,6:00:48,6:00:48,EAST TRANSFER,1.0307
7,7115,6:01:10,6:01:10,EAST TRANSFER,1.1269
8,7328,6:01:57,6:01:57,EAST TRANSFER,1.3328
9,7838,6:02:47,6:02:47,EAST TRANSFER,1.5511
10,7152,6:03:25,6:03:25,EAST TRANSFER,1.7195
11,7388,6:04:22,6:04:22,EAST TRANSFER,1.9719
12,7215,6:05:32,6:05:32,EAST TRANSFER,2.2784
13,7379,6:06:03,6:06:03,EAST TRANSFER,2.4167
14,7745,6:06:29,6:06:29,EAST TRANSFER,2.5340000000000003
15,1225,6:07:16,6:07:16,EAST TRANSFER,2.7409
16,1785,6:07:50,6:07:50,EAST TRANSFER,2.8930000000000002
17,1809,6:08:20,6:08:20,EAST TRANSFER,3.0256
18,1153,6:08:56,6:08:56,EAST TRANSFER,3.1854
19,1105,6:09:41,6:09:41,EAST TRANSFER,3.3856
20,7100,6:11:00,6:11:00,DROP OFFS ONLY,3.6860000000000004
