stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,6:30:00,6:30:00,WEST TRANSFER: VIA COHO: VIA HAMMERSLEY,0.0074
2,4790,6:33:08,6:33:08,WEST TRANSFER: VIA COHO: VIA HAMMERSLEY,1.1386
3,4886,6:33:30,6:33:30,WEST TRANSFER: VIA COHO: VIA HAMMERSLEY,1.2743
4,4224,6:34:00,6:34:00,WEST TRANSFER: VIA COHO: VIA HAMMERSLEY,1.4492
5,4787,6:34:47,6:34:47,WEST TRANSFER: VIA COHO: VIA HAMMERSLEY,1.7101
6,4782,6:36:00,6:36:00,WEST TRANSFER: VIA COHO: VIA HAMMERSLEY,2.1114
7,4876,6:36:22,6:36:22,WEST TRANSFER: VIA HAMMERSLEY,2.2339
8,4968,6:36:55,6:36:55,WEST TRANSFER: VIA HAMMERSLEY,2.4166
9,4412,6:37:36,6:37:36,WEST TRANSFER: VIA HAMMERSLEY,2.6433
10,4776,6:37:53,6:37:53,WEST TRANSFER: VIA HAMMERSLEY,2.7381
11,4560,6:39:16,6:39:16,WEST TRANSFER: VIA HAMMERSLEY,3.1948
12,4430,6:40:00,6:40:00,WEST TRANSFER: VIA HAMMERSLEY,3.4152
13,4688,6:40:40,6:40:40,WEST TRANSFER: VIA HAMMERSLEY,3.6307
14,4456,6:41:08,6:41:08,WEST TRANSFER: VIA HAMMERSLEY,3.7835
15,4798,6:41:31,6:41:31,WEST TRANSFER: VIA HAMMERSLEY,3.9076
16,4714,6:42:06,6:42:06,WEST TRANSFER: VIA HAMMERSLEY,4.096
17,4158,6:42:30,6:42:30,WEST TRANSFER: VIA HAMMERSLEY,4.2279
18,4446,6:42:56,6:42:56,WEST TRANSFER: VIA HAMMERSLEY,4.368
19,4806,6:43:29,6:43:29,WEST TRANSFER: VIA HAMMERSLEY,4.5425
20,4847,6:43:55,6:43:55,WEST TRANSFER: VIA HAMMERSLEY,4.6835
21,4769,6:44:31,6:44:31,WEST TRANSFER: VIA HAMMERSLEY,4.8761
22,4333,6:44:49,6:44:49,WEST TRANSFER: VIA HAMMERSLEY,4.9727
23,4191,6:45:22,6:45:22,WEST TRANSFER: VIA HAMMERSLEY,5.1489
24,4861,6:45:57,6:45:57,WEST TRANSFER: VIA HAMMERSLEY,5.3337
25,4295,6:46:13,6:46:13,WEST TRANSFER: VIA HAMMERSLEY,5.4189
26,4481,6:46:38,6:46:38,WEST TRANSFER: VIA HAMMERSLEY,5.5561
27,4751,6:47:27,6:47:27,WEST TRANSFER: VIA HAMMERSLEY,5.815
28,8154,6:49:00,6:49:00,WEST TRANSFER: VIA HAMMERSLEY,6.2633
29,8770,6:49:31,6:49:31,WEST TRANSFER: VIA HAMMERSLEY,6.4398
30,8594,6:49:54,6:49:54,WEST TRANSFER: VIA HAMMERSLEY,6.5715
31,8604,6:50:49,6:50:49,WEST TRANSFER: VIA HAMMERSLEY,6.8854
32,8173,6:51:30,6:51:30,WEST TRANSFER: VIA HAMMERSLEY,7.1203
33,8633,6:52:01,6:52:01,WEST TRANSFER: VIA HAMMERSLEY,7.2988
34,8605,6:52:41,6:52:41,WEST TRANSFER: VIA HAMMERSLEY,7.5241
35,2383,6:53:38,6:53:38,WEST TRANSFER: VIA HAMMERSLEY,7.8491
36,2665,6:54:00,6:54:00,WEST TRANSFER: VIA HAMMERSLEY,7.9728
37,6100,6:55:00,6:55:00,DROP OFFS ONLY,8.2862
