stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,5100,6:30:00,6:30:00,E TOWNE: VIA AIRPORT,0.0085
2,1895,6:30:28,6:30:28,E TOWNE: VIA AIRPORT,0.1606
3,5733,6:32:30,6:32:30,E TOWNE: VIA AIRPORT,0.8139
4,9381,6:33:18,6:33:18,E TOWNE: VIA AIRPORT,1.0741
5,9107,6:33:52,6:33:52,E TOWNE: VIA AIRPORT,1.2556
6,9493,6:34:20,6:34:20,E TOWNE: VIA AIRPORT,1.4065
7,9729,6:34:45,6:34:45,E TOWNE: VIA AIRPORT,1.5426
8,9817,6:35:06,6:35:06,E TOWNE: VIA AIRPORT,1.659
9,9503,6:35:44,6:35:44,E TOWNE: VIA AIRPORT,1.865
10,9169,6:37:00,6:37:00,E TOWNE: VIA AIRPORT,2.2463
11,9340,6:38:51,6:38:51,E TOWNE: VIA AIRPORT,2.9427
12,9168,6:39:22,6:39:22,E TOWNE: VIA AIRPORT,3.1416
13,9488,6:39:35,6:39:35,E TOWNE: VIA AIRPORT,3.2241
14,9790,6:40:01,6:40:01,E TOWNE: VIA AIRPORT,3.3896
15,9847,6:40:46,6:40:46,E TOWNE: VIA AIRPORT,3.676
16,9383,6:42:30,6:42:30,E TOWNE: VIA AIRPORT,4.3309
17,9259,6:42:59,6:42:59,E TOWNE: VIA AIRPORT,4.5137
18,9675,6:43:25,6:43:25,E TOWNE: VIA AIRPORT,4.6779
19,9201,6:44:00,6:44:00,E TOWNE: VIA AIRPORT,4.8792
20,9551,6:45:55,6:45:55,E TOWNE,5.3308
21,9573,6:46:34,6:46:34,E TOWNE,5.4861
22,9685,6:47:46,6:47:46,E TOWNE,5.7684
23,9231,6:48:12,6:48:12,E TOWNE,5.8715
24,9849,6:49:06,6:49:06,E TOWNE,6.0858
25,9719,6:49:55,6:49:55,E TOWNE,6.2791
26,9677,6:51:15,6:51:15,E TOWNE,6.5952
27,9800,6:52:00,6:52:00,DROP OFFS ONLY,6.7527
