stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,5765,5:55:00,5:55:00,NORTH TRANSFER,0.0196
2,5127,5:55:27,5:55:27,NORTH TRANSFER,0.1912
3,5173,5:55:58,5:55:58,NORTH TRANSFER,0.3876
4,5625,5:56:22,5:56:22,NORTH TRANSFER,0.5424
5,5797,5:56:43,5:56:43,NORTH TRANSFER,0.6763
6,5105,5:57:01,5:57:01,NORTH TRANSFER,0.7959999999999999
7,5607,5:57:24,5:57:24,NORTH TRANSFER,0.9418
8,5865,5:57:38,5:57:38,NORTH TRANSFER,1.0354
9,5847,5:58:06,5:58:06,NORTH TRANSFER,1.2179
10,5411,5:58:28,5:58:28,NORTH TRANSFER,1.3572
11,5287,5:59:06,5:59:06,NORTH TRANSFER,1.5994
12,5888,5:59:46,5:59:46,NORTH TRANSFER,1.8577
13,5432,6:00:06,6:00:06,NORTH TRANSFER,1.9869999999999999
14,5335,6:00:34,6:00:34,NORTH TRANSFER,2.1661
15,5993,6:01:00,6:01:00,NORTH TRANSFER,2.2886
16,5244,6:02:04,6:02:04,NORTH TRANSFER,2.5783
17,5546,6:02:32,6:02:32,NORTH TRANSFER,2.7051
18,5356,6:03:14,6:03:14,NORTH TRANSFER,2.8961
19,5306,6:03:51,6:03:51,NORTH TRANSFER,3.0651
20,5109,6:04:15,6:04:15,NORTH TRANSFER,3.1747
21,5320,6:05:18,6:05:18,NORTH TRANSFER,3.4589
22,5228,6:05:51,6:05:51,NORTH TRANSFER,3.6097
23,5856,6:06:28,6:06:28,NORTH TRANSFER,3.7757
24,5420,6:07:12,6:07:12,NORTH TRANSFER,3.9746
25,1380,6:08:51,6:08:51,NORTH TRANSFER,4.4205
26,5100,6:10:00,6:10:00,DROP OFFS ONLY,4.7059
