stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,9800,11:50:00,11:50:00,E TOWNE: VIA CITY VIEW: VIA AMERICAN CENTER,0.0116
2,9783,11:50:16,11:50:16,E TOWNE: VIA CITY VIEW: VIA AMERICAN CENTER,0.095
3,9391,11:50:50,11:50:50,E TOWNE: VIA CITY VIEW: VIA AMERICAN CENTER,0.2734
4,9351,11:51:22,11:51:22,E TOWNE: VIA CITY VIEW: VIA AMERICAN CENTER,0.4412
5,9701,11:52:10,11:52:10,E TOWNE: VIA CITY VIEW: VIA AMERICAN CENTER,0.6953
6,9118,11:53:41,11:53:41,E TOWNE: VIA CITY VIEW: VIA AMERICAN CENTER,1.1723
7,9412,11:54:09,11:54:09,E TOWNE: VIA CITY VIEW: VIA AMERICAN CENTER,1.3195
8,9720,11:54:33,11:54:33,E TOWNE: VIA CITY VIEW: VIA AMERICAN CENTER,1.4486
9,9241,11:55:26,11:55:26,E TOWNE: VIA CITY VIEW: VIA AMERICAN CENTER,1.7299
10,9957,11:56:17,11:56:17,E TOWNE: VIA CITY VIEW: VIA AMERICAN CENTER,1.9989
11,9799,11:56:59,11:56:59,E TOWNE: VIA CITY VIEW: VIA AMERICAN CENTER,2.2202
12,9273,11:57:41,11:57:41,E TOWNE: VIA CITY VIEW: VIA AMERICAN CENTER,2.4429
13,9509,11:59:00,11:59:00,E TOWNE: VIA CITY VIEW: VIA AMERICAN CENTER,2.8252
14,9333,12:01:01,12:01:01,E TOWNE: VIA AMERICAN CENTER,3.4201
15,9744,12:01:41,12:01:41,E TOWNE: VIA AMERICAN CENTER,3.6188
16,9829,12:02:17,12:02:17,E TOWNE: VIA AMERICAN CENTER,3.8001
17,9717,12:03:26,12:03:26,E TOWNE: VIA AMERICAN CENTER,4.1431
18,9300,12:04:00,12:04:00,E TOWNE: VIA AMERICAN CENTER,4.2984
19,9651,12:04:53,12:04:53,E TOWNE: VIA AMERICAN CENTER,4.6974
20,9486,12:05:15,12:05:15,E TOWNE: VIA AMERICAN CENTER,4.8672
21,9932,12:06:11,12:06:11,E TOWNE: VIA AMERICAN CENTER,5.2861
22,9527,12:06:39,12:06:39,E TOWNE: VIA AMERICAN CENTER,5.4971
23,9113,12:07:03,12:07:03,E TOWNE: VIA AMERICAN CENTER,5.6772
24,9581,12:07:25,12:07:25,E TOWNE: VIA AMERICAN CENTER,5.8478
25,9901,12:07:38,12:07:38,E TOWNE: VIA AMERICAN CENTER,5.9504
26,9747,12:07:50,12:07:50,E TOWNE: VIA AMERICAN CENTER,6.044
27,9472,12:08:15,12:08:15,E TOWNE: VIA AMERICAN CENTER,6.2311
28,9520,12:11:28,12:11:28,E TOWNE: VIA AMERICAN CENTER,7.672999999999999
29,9226,12:12:22,12:12:22,E TOWNE: VIA AMERICAN CENTER,8.0818
30,9800,12:13:00,12:13:00,DROP OFFS ONLY,8.3322
