stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,7100,7:15:00,7:15:00,EAST TRANSFER: VIA THOMPSON: VIA ACEWOOD,0.0092
2,7169,7:15:41,7:15:41,EAST TRANSFER: VIA THOMPSON: VIA ACEWOOD,0.263
3,7167,7:16:16,7:16:16,EAST TRANSFER: VIA THOMPSON: VIA ACEWOOD,0.4821
4,7209,7:17:05,7:17:05,EAST TRANSFER: VIA THOMPSON: VIA ACEWOOD,0.7896
5,7633,7:17:24,7:17:24,EAST TRANSFER: VIA THOMPSON: VIA ACEWOOD,0.9103
6,7175,7:17:55,7:17:55,EAST TRANSFER,1.1029
7,7381,7:18:30,7:18:30,EAST TRANSFER,1.3205
8,7913,7:18:58,7:18:58,EAST TRANSFER,1.4995
9,7310,7:19:37,7:19:37,EAST TRANSFER,1.7431
10,7624,7:19:54,7:19:54,EAST TRANSFER,1.8491
11,7230,7:20:25,7:20:25,EAST TRANSFER,2.0421
12,7214,7:21:12,7:21:12,EAST TRANSFER,2.3342
13,7762,7:21:28,7:21:28,EAST TRANSFER,2.4365
14,7154,7:21:51,7:21:51,EAST TRANSFER,2.5796
15,7590,7:22:09,7:22:09,EAST TRANSFER,2.6928
16,7830,7:22:28,7:22:28,EAST TRANSFER,2.8136
17,7825,7:23:00,7:23:00,EAST TRANSFER,2.9756
18,7991,7:23:32,7:23:32,EAST TRANSFER,3.1521
19,7263,7:23:56,7:23:56,EAST TRANSFER,3.2845
20,7906,7:24:18,7:24:18,EAST TRANSFER,3.4091
21,7680,7:25:08,7:25:08,EAST TRANSFER,3.685
22,7840,7:25:42,7:25:42,EAST TRANSFER,3.8733
23,7610,7:26:27,7:26:27,EAST TRANSFER,4.1217
24,7984,7:27:12,7:27:12,EAST TRANSFER,4.3697
25,7213,7:27:45,7:27:45,EAST TRANSFER,4.5518
26,7766,7:28:31,7:28:31,EAST TRANSFER,4.8079
27,7916,7:29:04,7:29:04,EAST TRANSFER,4.99
28,7188,7:29:45,7:29:45,EAST TRANSFER,5.2177
29,7180,7:30:12,7:30:12,EAST TRANSFER,5.37
30,7181,7:31:08,7:31:08,EAST TRANSFER,5.6772
31,7925,7:32:00,7:32:00,EAST TRANSFER,5.9214
32,7313,7:32:28,7:32:28,EAST TRANSFER,6.0407
33,7369,7:33:04,7:33:04,EAST TRANSFER,6.1943
34,7969,7:34:00,7:34:00,EAST TRANSFER,6.4354
35,7943,7:34:50,7:34:50,EAST TRANSFER,6.6504
36,7121,7:35:48,7:35:48,EAST TRANSFER,6.8973
37,7198,7:36:26,7:36:26,EAST TRANSFER,7.0583
38,7842,7:37:01,7:37:01,EAST TRANSFER,7.2076
39,7734,7:38:07,7:38:07,EAST TRANSFER,7.4872
40,7398,7:38:58,7:38:58,EAST TRANSFER,7.7062
41,7100,7:40:00,7:40:00,DROP OFFS ONLY,7.9538
