stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4801,7:57:00,7:57:00,WEST TRANSFER: VIA ORCHARD POINT,0.0244
2,4887,7:57:52,7:57:52,WEST TRANSFER: VIA ORCHARD POINT,0.2583
3,4282,7:58:18,7:58:18,WEST TRANSFER: VIA ORCHARD POINT,0.3764
4,4824,7:59:10,7:59:10,WEST TRANSFER: VIA ORCHARD POINT,0.6133
5,4163,8:00:17,8:00:17,WEST TRANSFER: VIA ORCHARD POINT,0.9187
6,4301,8:01:00,8:01:00,WEST TRANSFER: VIA ORCHARD POINT,1.1024
7,4436,8:01:44,8:01:44,WEST TRANSFER: VIA ORCHARD POINT,1.3094
8,4197,8:02:04,8:02:04,WEST TRANSFER: VIA ORCHARD POINT,1.4039
9,4592,8:03:41,8:03:41,WEST TRANSFER: VIA ORCHARD POINT,1.8607
10,4476,8:04:58,8:04:58,WEST TRANSFER: VIA ORCHARD POINT,2.2211
11,4842,8:06:25,8:06:25,WEST TRANSFER: VIA ORCHARD POINT,2.6319
12,4240,8:08:34,8:08:34,WEST TRANSFER: VIA ORCHARD POINT,3.2348
13,4260,8:09:49,8:09:49,WEST TRANSFER: VIA ORCHARD POINT,3.5891
14,4822,8:10:27,8:10:27,WEST TRANSFER: VIA ORCHARD POINT,3.77
15,4138,8:11:13,8:11:13,WEST TRANSFER: VIA ORCHARD POINT,3.9867
16,4201,8:12:00,8:12:00,WEST TRANSFER: VIA ORCHARD POINT,4.1844
17,4379,8:12:25,8:12:25,WEST TRANSFER,4.3372
18,4541,8:13:38,8:13:38,WEST TRANSFER,4.7724
19,4993,8:14:00,8:14:00,WEST TRANSFER,4.8905
20,4450,8:14:41,8:14:41,WEST TRANSFER,5.0739
21,4589,8:15:44,8:15:44,WEST TRANSFER,5.354
22,4171,8:16:42,8:16:42,WEST TRANSFER,5.6116
23,4643,8:17:22,8:17:22,WEST TRANSFER,5.7919
24,8297,8:18:40,8:18:40,WEST TRANSFER,6.1396
25,2665,8:23:46,8:23:46,WEST TRANSFER,7.496
26,6100,8:25:00,8:25:00,DROP OFFS ONLY,7.8094
