stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,7:31:00,7:31:00,PRAIRIE TOWNE: VIA W TOWNE,0.0097
2,6296,7:32:09,7:32:09,PRAIRIE TOWNE: VIA W TOWNE,0.3337
3,6952,7:32:48,7:32:48,PRAIRIE TOWNE: VIA W TOWNE,0.5185
4,6154,7:33:09,7:33:09,PRAIRIE TOWNE: VIA W TOWNE,0.6213
5,6188,7:33:44,7:33:44,PRAIRIE TOWNE: VIA W TOWNE,0.7893
6,6266,7:34:50,7:34:50,PRAIRIE TOWNE: VIA W TOWNE,1.1
7,6382,7:35:54,7:35:54,PRAIRIE TOWNE: VIA W TOWNE,1.401
8,6638,7:36:30,7:36:30,PRAIRIE TOWNE: VIA W TOWNE,1.5719
9,6159,7:37:00,7:37:00,PRAIRIE TOWNE: VIA W TOWNE,1.7149
10,6350,7:38:00,7:38:00,PRAIRIE TOWNE: VIA W TOWNE,1.9778
11,6422,7:38:40,7:38:40,PRAIRIE TOWNE: VIA W TOWNE,2.1589
12,6938,7:40:08,7:40:08,PRAIRIE TOWNE: VIA W TOWNE,2.5532
13,6464,7:40:54,7:40:54,PRAIRIE TOWNE: VIA W TOWNE,2.7626
14,6720,7:41:30,7:41:30,PRAIRIE TOWNE: VIA W TOWNE,2.9263
15,6204,7:42:05,7:42:05,PRAIRIE TOWNE: VIA W TOWNE,3.0862
16,6630,7:43:00,7:43:00,PRAIRIE TOWNE: VIA W TOWNE,3.319
17,6504,7:43:43,7:43:43,PRAIRIE TOWNE: VIA W TOWNE,3.5289
18,6842,7:44:15,7:44:15,PRAIRIE TOWNE: VIA W TOWNE,3.6839999999999997
19,6455,7:45:04,7:45:04,PRAIRIE TOWNE: VIA W TOWNE,3.9196
20,6923,7:46:14,7:46:14,PRAIRIE TOWNE: VIA W TOWNE,4.2577
21,6457,7:47:04,7:47:04,PRAIRIE TOWNE: VIA W TOWNE,4.501
22,6164,7:48:00,7:48:00,DROP OFFS ONLY,4.7554
