stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,22:30:00,22:30:00,TO FOREST RUN: VIA MINERAL POINT: VIA HAYES,0.0097
2,2115,22:30:48,22:30:48,TO FOREST RUN: VIA MINERAL POINT: VIA HAYES,0.3179
3,2625,22:31:13,22:31:13,TO FOREST RUN: VIA MINERAL POINT: VIA HAYES,0.4806
4,2169,22:31:45,22:31:45,TO FOREST RUN: VIA MINERAL POINT: VIA HAYES,0.6828
5,2701,22:32:11,22:32:11,TO FOREST RUN: VIA MINERAL POINT: VIA HAYES,0.8509
6,2829,22:33:02,22:33:02,TO FOREST RUN: VIA MINERAL POINT: VIA HAYES,1.1749
7,2519,22:33:32,22:33:32,TO FOREST RUN: VIA MINERAL POINT: VIA HAYES,1.3681
8,2647,22:34:05,22:34:05,TO FOREST RUN: VIA MINERAL POINT: VIA HAYES,1.5819
9,2975,22:34:26,22:34:26,TO FOREST RUN: VIA MINERAL POINT: VIA HAYES,1.7205
10,2263,22:35:00,22:35:00,TO FOREST RUN: VIA MINERAL POINT: VIA HAYES,1.9051
11,2133,22:35:39,22:35:39,TO FOREST RUN: VIA MINERAL POINT: VIA HAYES,2.0854
12,2325,22:36:13,22:36:13,TO FOREST RUN: VIA MINERAL POINT: VIA HAYES,2.2438
13,2737,22:36:39,22:36:39,TO FOREST RUN: VIA HAYES,2.3644
14,2659,22:37:17,22:37:17,TO FOREST RUN: VIA HAYES,2.5417
15,2231,22:37:46,22:37:46,TO FOREST RUN: VIA HAYES,2.6758
16,2137,22:38:24,22:38:24,TO FOREST RUN: VIA HAYES,2.8515
17,2377,22:39:54,22:39:54,TO FOREST RUN: VIA HAYES,3.2648
18,2773,22:40:13,22:40:13,TO FOREST RUN: VIA HAYES,3.3517
19,2899,22:40:42,22:40:42,TO FOREST RUN: VIA HAYES,3.486
20,2949,22:41:09,22:41:09,TO FOREST RUN: VIA HAYES,3.6127
21,2691,22:41:58,22:41:58,TO FOREST RUN: VIA HAYES,3.8384
22,533,22:42:30,22:42:30,TO FOREST RUN: VIA HAYES,3.9844
23,971,22:43:17,22:43:17,TO FOREST RUN: VIA HAYES,4.2007
24,585,22:43:41,22:43:41,TO FOREST RUN: VIA HAYES,4.3126
25,327,22:44:17,22:44:17,TO FOREST RUN: VIA HAYES,4.4773
26,115,22:45:00,22:45:00,TO FOREST RUN: VIA HAYES,4.6408
27,483,22:45:38,22:45:38,TO FOREST RUN: VIA HAYES,4.7296
28,561,22:46:25,22:46:25,TO FOREST RUN: VIA HAYES,4.8384
29,455,22:47:15,22:47:15,TO FOREST RUN: VIA HAYES,4.9549
30,765,22:48:44,22:48:44,TO FOREST RUN: VIA HAYES,5.1594
31,265,22:49:49,22:49:49,TO FOREST RUN: VIA HAYES,5.3099
32,505,22:50:58,22:50:58,TO FOREST RUN: VIA HAYES,5.4702
33,549,22:51:34,22:51:34,TO FOREST RUN: VIA HAYES,5.5542
34,803,22:52:11,22:52:11,TO FOREST RUN: VIA HAYES,5.6412
35,883,22:52:57,22:52:57,TO FOREST RUN: VIA HAYES,5.7474
36,1324,22:53:47,22:53:47,TO FOREST RUN: VIA HAYES,5.8629999999999995
37,1101,22:55:00,22:55:00,TO FOREST RUN: VIA HAYES,6.018
38,1787,22:55:39,22:55:39,TO FOREST RUN: VIA HAYES,6.1719
39,1323,22:56:17,22:56:17,TO FOREST RUN: VIA HAYES,6.3205
40,1579,22:57:07,22:57:07,TO FOREST RUN: VIA HAYES,6.5156
41,1927,22:58:11,22:58:11,TO FOREST RUN: VIA HAYES,6.7661
42,1565,22:58:51,22:58:51,TO FOREST RUN: VIA HAYES,6.9207
43,1199,23:00:00,23:00:00,TO FOREST RUN: VIA HAYES,7.1747
44,1883,23:00:41,23:00:41,TO FOREST RUN: VIA HAYES,7.4208
45,1513,23:01:21,23:01:21,TO FOREST RUN: VIA HAYES,7.6585
46,1241,23:01:58,23:01:58,TO FOREST RUN: VIA HAYES,7.8813
47,1107,23:02:25,23:02:25,TO FOREST RUN: VIA HAYES,8.0439
48,1141,23:03:00,23:03:00,TO FOREST RUN: VIA HAYES,8.2557
49,1233,23:03:41,23:03:41,TO FOREST RUN: VIA HAYES,8.5035
50,1311,23:04:12,23:04:12,TO FOREST RUN: VIA HAYES,8.6883
51,1269,23:05:00,23:05:00,TO FOREST RUN: VIA HAYES,8.9464
52,1481,23:05:28,23:05:28,TO FOREST RUN: VIA HAYES,9.1315
53,1757,23:05:54,23:05:54,TO FOREST RUN: VIA HAYES,9.3057
54,9339,23:06:37,23:06:37,TO FOREST RUN: VIA HAYES,9.5937
55,9135,23:07:03,23:07:03,TO FOREST RUN: VIA HAYES,9.77
56,9897,23:07:33,23:07:33,TO FOREST RUN: VIA HAYES,9.972999999999999
57,9133,23:07:48,23:07:48,TO FOREST RUN: VIA HAYES,10.0755
58,9225,23:08:04,23:08:04,TO FOREST RUN: VIA HAYES,10.1847
59,9551,23:08:40,23:08:40,TO FOREST RUN: VIA HAYES,10.4269
60,9573,23:09:03,23:09:03,TO FOREST RUN: VIA HAYES,10.5821
61,9491,23:09:40,23:09:40,TO FOREST RUN: VIA HAYES,10.8297
62,9587,23:10:16,23:10:16,TO FOREST RUN: VIA HAYES,11.0679
63,9975,23:11:02,23:11:02,TO FOREST RUN: VIA HAYES,11.3752
64,9207,23:11:32,23:11:32,TO FOREST RUN: VIA HAYES,11.5774
65,9116,23:12:00,23:12:00,TO FOREST RUN: VIA HAYES,11.7123
66,9670,23:12:20,23:12:20,TO FOREST RUN: VIA HAYES,11.8422
67,9146,23:12:40,23:12:40,TO FOREST RUN: VIA HAYES,11.9714
68,9143,23:13:20,23:13:20,TO FOREST RUN: VIA HAYES,12.23
69,9723,23:13:34,23:13:34,TO FOREST RUN: VIA HAYES,12.3244
70,9939,23:14:13,23:14:13,TO FOREST RUN: VIA HAYES,12.5723
71,9715,23:14:51,23:14:51,TO FOREST RUN: VIA HAYES,12.8144
72,9633,23:15:29,23:15:29,TO FOREST RUN: VIA HAYES,13.0596
73,9549,23:15:50,23:15:50,TO FOREST RUN: VIA HAYES,13.1948
74,9153,23:16:21,23:16:21,TO FOREST RUN: VIA HAYES,13.3915
75,9842,23:17:00,23:17:00,TO FOREST RUN: VIA HAYES,13.6389
76,9480,23:17:34,23:17:34,TO FOREST RUN: VIA HAYES,13.8583
77,9144,23:18:00,23:18:00,TO FOREST RUN: VIA HAYES,13.9961
78,9198,23:18:17,23:18:17,TO FOREST RUN: VIA HAYES,14.1072
79,9252,23:18:43,23:18:43,DROP OFFS ONLY,14.2749
80,9520,23:19:15,23:19:15,DROP OFFS ONLY,14.479000000000001
