stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,9800,7:02:00,7:02:00,NORTH TRANSFER: VIA AIRPORT,0.0771
2,9996,7:02:58,7:02:58,NORTH TRANSFER: VIA AIRPORT,0.3434
3,9220,7:04:07,7:04:07,NORTH TRANSFER: VIA AIRPORT,0.6582
4,9192,7:04:49,7:04:49,NORTH TRANSFER: VIA AIRPORT,0.8528
5,9524,7:05:35,7:05:35,NORTH TRANSFER: VIA AIRPORT,1.0658
6,9984,7:06:07,7:06:07,NORTH TRANSFER: VIA AIRPORT,1.2148
7,9554,7:07:01,7:07:01,NORTH TRANSFER: VIA AIRPORT,1.4615
8,9874,7:07:28,7:07:28,NORTH TRANSFER: VIA AIRPORT,1.5862
9,9200,7:09:00,7:09:00,NORTH TRANSFER: VIA AIRPORT,1.9927
10,9438,7:09:27,7:09:27,NORTH TRANSFER: VIA AIRPORT,2.1767
11,9724,7:10:03,7:10:03,NORTH TRANSFER: VIA AIRPORT,2.4199
12,9532,7:10:24,7:10:24,NORTH TRANSFER: VIA AIRPORT,2.5613
13,9666,7:12:07,7:12:07,NORTH TRANSFER: VIA AIRPORT,3.2462
14,9107,7:12:26,7:12:26,NORTH TRANSFER: VIA AIRPORT,3.3756
15,9493,7:12:48,7:12:48,NORTH TRANSFER: VIA AIRPORT,3.5266
16,9729,7:13:08,7:13:08,NORTH TRANSFER: VIA AIRPORT,3.6627
17,9817,7:13:25,7:13:25,NORTH TRANSFER: VIA AIRPORT,3.779
18,9503,7:13:56,7:13:56,NORTH TRANSFER: VIA AIRPORT,3.9851
19,9169,7:15:00,7:15:00,NORTH TRANSFER: VIA AIRPORT,4.3664
20,9340,7:17:49,7:17:49,NORTH TRANSFER: VIA AIRPORT,5.0627
21,9168,7:18:37,7:18:37,NORTH TRANSFER: VIA AIRPORT,5.2617
22,9488,7:18:57,7:18:57,NORTH TRANSFER: VIA AIRPORT,5.3442
23,9790,7:19:37,7:19:37,NORTH TRANSFER: VIA AIRPORT,5.5097
24,9562,7:20:12,7:20:12,NORTH TRANSFER: VIA AIRPORT,5.6568
25,5856,7:21:11,7:21:11,NORTH TRANSFER: VIA AIRPORT,5.901
26,5420,7:21:59,7:21:59,NORTH TRANSFER: VIA AIRPORT,6.0998
27,1380,7:23:47,7:23:47,NORTH TRANSFER,6.5457
28,5100,7:25:00,7:25:00,DROP OFFS ONLY,6.8311
