stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,5142,5:53:00,5:53:00,NORTH TRANSFER,0.0932
2,5178,5:53:42,5:53:42,NORTH TRANSFER,0.3207
3,5260,5:54:08,5:54:08,NORTH TRANSFER,0.4636
4,5796,5:54:36,5:54:36,NORTH TRANSFER,0.6146
5,5342,5:55:01,5:55:01,NORTH TRANSFER,0.7513
6,5536,5:55:29,5:55:29,NORTH TRANSFER,0.9023
7,5950,5:56:04,5:56:04,NORTH TRANSFER,1.0912
8,5197,5:56:45,5:56:45,NORTH TRANSFER,1.3087
9,5203,5:57:24,5:57:24,NORTH TRANSFER,1.5206
10,5657,5:58:00,5:58:00,NORTH TRANSFER,1.6840000000000002
11,5835,5:58:38,5:58:38,NORTH TRANSFER,1.8786
12,5397,5:59:15,5:59:15,NORTH TRANSFER,2.0664
13,5715,6:00:08,6:00:08,NORTH TRANSFER,2.3335
14,5421,6:01:03,6:01:03,NORTH TRANSFER,2.6136
15,5663,6:01:30,6:01:30,NORTH TRANSFER,2.7507
16,5815,6:02:16,6:02:16,NORTH TRANSFER,2.9832
17,5149,6:03:16,6:03:16,NORTH TRANSFER,3.2849
18,5899,6:04:02,6:04:02,NORTH TRANSFER,3.5159
19,5162,6:04:50,6:04:50,NORTH TRANSFER,3.7584
20,5382,6:05:45,6:05:45,NORTH TRANSFER,4.0368
21,5358,6:06:31,6:06:31,NORTH TRANSFER,4.2705
22,5748,6:07:24,6:07:24,NORTH TRANSFER,4.5383
23,5304,6:07:46,6:07:46,NORTH TRANSFER,4.6489
24,1877,6:08:34,6:08:34,NORTH TRANSFER,4.8932
25,1759,6:08:56,6:08:56,NORTH TRANSFER,5.0076
26,5100,6:10:00,6:10:00,DROP OFFS ONLY,5.2948
