stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,7:30:00,7:30:00,FITCHBURG: VIA ORCHARD POINT,0.0097
2,2522,7:31:04,7:31:04,FITCHBURG: VIA ORCHARD POINT,0.3808
3,8428,7:35:00,7:35:00,FITCHBURG: VIA ORCHARD POINT,1.7325
4,4654,7:36:05,7:36:05,FITCHBURG: VIA ORCHARD POINT,1.9945
5,4972,7:37:07,7:37:07,FITCHBURG: VIA ORCHARD POINT,2.2454
6,4258,7:38:03,7:38:03,FITCHBURG: VIA ORCHARD POINT,2.4721
7,4151,7:39:04,7:39:04,FITCHBURG: VIA ORCHARD POINT,2.7186
8,4836,7:40:06,7:40:06,FITCHBURG: VIA ORCHARD POINT,2.9692
9,4984,7:40:34,7:40:34,FITCHBURG: VIA ORCHARD POINT,3.0817
10,4510,7:42:26,7:42:26,FITCHBURG: VIA ORCHARD POINT,3.5342
11,4200,7:43:00,7:43:00,FITCHBURG: VIA ORCHARD POINT,3.6573
12,4641,7:43:26,7:43:26,FITCHBURG: VIA ORCHARD POINT,3.8334
13,4711,7:43:54,7:43:54,FITCHBURG: VIA ORCHARD POINT,4.0280000000000005
14,4995,7:44:12,7:44:12,FITCHBURG,4.1531
15,4755,7:45:19,7:45:19,FITCHBURG,4.6088
16,4337,7:46:48,7:46:48,FITCHBURG,5.2122
17,4935,7:47:49,7:47:49,FITCHBURG,5.6243
18,4241,7:48:42,7:48:42,FITCHBURG,5.9841
19,4963,7:49:43,7:49:43,FITCHBURG,6.3973
20,4900,7:51:00,7:51:00,FITCHBURG,6.8934
21,4862,7:52:10,7:52:10,FITCHBURG,7.309
22,4936,7:52:45,7:52:45,FITCHBURG,7.5152
23,4767,7:53:38,7:53:38,FITCHBURG,7.8306
24,4801,7:54:00,7:54:00,DROP OFFS ONLY,7.9518
