stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6661,6:32:00,6:32:00,WEST TRANSFER: VIA W TOWNE,0.0198
2,6860,6:32:55,6:32:55,WEST TRANSFER: VIA W TOWNE,0.3015
3,6748,6:33:32,6:33:32,WEST TRANSFER: VIA W TOWNE,0.49200000000000005
4,6863,6:34:57,6:34:57,WEST TRANSFER: VIA W TOWNE,0.9258
5,6193,6:35:43,6:35:43,WEST TRANSFER: VIA W TOWNE,1.1623
6,6237,6:36:06,6:36:06,WEST TRANSFER: VIA W TOWNE,1.2790000000000001
7,6105,6:37:00,6:37:00,WEST TRANSFER: VIA W TOWNE,1.5412
8,6123,6:38:11,6:38:11,WEST TRANSFER: VIA W TOWNE,1.7616
9,6979,6:38:54,6:38:54,WEST TRANSFER: VIA W TOWNE,1.8956
10,6199,6:39:57,6:39:57,WEST TRANSFER: VIA W TOWNE,2.0894
11,6269,6:41:09,6:41:09,WEST TRANSFER: VIA W TOWNE,2.3122
12,6159,6:43:32,6:43:32,WEST TRANSFER: VIA W TOWNE,2.7537
13,6350,6:45:00,6:45:00,WEST TRANSFER: VIA W TOWNE,3.0166
14,6685,6:45:36,6:45:36,WEST TRANSFER: VIA W TOWNE,3.154
15,6357,6:46:10,6:46:10,WEST TRANSFER: VIA W TOWNE,3.2814
16,6223,6:47:06,6:47:06,WEST TRANSFER: VIA W TOWNE,3.4919
17,6241,6:48:10,6:48:10,WEST TRANSFER: VIA W TOWNE,3.7341
18,6169,6:49:33,6:49:33,WEST TRANSFER: VIA W TOWNE,4.0449
19,6319,6:50:13,6:50:13,WEST TRANSFER: VIA W TOWNE,4.1959
20,6265,6:50:54,6:50:54,WEST TRANSFER: VIA W TOWNE,4.3524
21,6423,6:51:20,6:51:20,WEST TRANSFER: VIA W TOWNE,4.4514
22,6100,6:53:00,6:53:00,DROP OFFS ONLY,4.8083
